resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
25,19,5,1,23,8,3.0,3,3,6.0,56,+38.450,5517005.0,19.0,7.0,1:35.922,208.031,1
279,31,10,7,12,9,11.0,11,11,0.0,53,+58.888,5266382.0,53.0,8.0,1:29.948,231.853,1
482,41,5,4,4,22,4.0,4,4,5.0,70,+6.729,6258021.0,67.0,13.0,1:18.368,200.331,1
848,57,18,11,12,6,,R,18,0.0,28,,,9.0,13.0,1:34.042,197.069,5
1382,83,11,16,4,10,8.0,8,8,1.0,69,,,45.0,7.0,1:22.399,191.405,11
1452,86,30,6,1,6,,R,18,0.0,13,,,10.0,13.0,1:57.444,213.834,3
1470,87,33,17,18,11,,R,16,0.0,55,,,41.0,16.0,1:15.113,206.52,26
1682,98,47,18,21,19,8.0,8,8,1.0,70,,,39.0,16.0,1:14.097,203.668,13
1789,103,47,18,21,18,,R,15,0.0,28,,,25.0,16.0,1:51.031,226.185,4
1905,109,43,7,21,11,11.0,11,11,0.0,55,,,,,,,11
1925,110,22,6,2,1,,R,11,0.0,47,,,,,,,69
2473,136,19,18,22,20,,R,17,0.0,58,,,,,,,20
2559,141,22,6,2,2,3.0,3,3,4.0,58,+33.491,5940024.0,,,,,1
5782,280,69,26,22,22,,R,18,0.0,28,,,,,,,22
5906,285,117,3,2,1,12.0,12,12,0.0,48,,,,,,,5
5923,286,71,3,0,1,3.0,3,3,4.0,71,+8.206,5574515.0,,,,,1
5943,286,88,29,10,16,,R,23,0.0,27,,,,,,,6
6038,290,84,22,20,4,,R,14,0.0,47,,,,,,,5
6104,292,127,17,33,17,,R,20,0.0,24,,,,,,,20
6763,313,100,27,26,26,,R,19,0.0,22,,,,,,,5
6773,313,99,39,17,0,,F,29,0.0,0,,,,,,,81
6870,316,94,18,23,10,,R,24,0.0,8,,,,,,,20
7748,10,153,5,11,19,15.0,15,15,0.0,69,,,69.0,16.0,1:23.444,189.008,11
7934,357,77,6,28,5,,R,23,0.0,3,,,,,,,3
8093,361,138,32,12,0,,F,27,0.0,0,,,,,,,81
8487,371,146,49,34,0,,F,33,0.0,0,,,,,,,97
9134,393,123,22,20,5,,R,18,0.0,31,,,,,,,5
9592,411,105,6,27,9,8.0,8,8,0.0,78,,,,,,,12
9600,411,166,25,4,17,,R,16,0.0,43,,,,,,,42
9619,412,156,49,14,22,9.0,9,9,0.0,69,,,,,,,16
9871,422,173,32,11,3,1.0,1,1,9.0,60,1:34:35.955,5675955.0,,,,,1
10523,447,137,34,1,1,2.0,2,2,6.0,51,+23.525,4896376.0,,,,,1
10831,458,123,21,30,10,7.0,7,7,0.0,59,,,,,,,11
11359,476,197,45,31,18,,R,21,0.0,2,,,,,,,4
11572,483,216,21,30,0,,F,28,0.0,0,,,,,,,81
11597,484,192,56,21,22,,R,24,0.0,0,,,,,,,4
11729,489,187,1,7,4,3.0,3,3,4.0,80,+0.58,6395590.0,,,,,1
12366,511,137,34,5,2,,R,17,0.0,25,,,,,,,20
12585,519,233,54,9,0,,W,25,0.0,0,,,,,,,54
12887,530,211,63,18,0,,W,23,0.0,0,,,,,,,3
14053,572,238,37,10,8,1.0,1,1,9.0,52,1:30:35.6,5435600.0,,,,,1
15828,640,330,200,22,19,,R,19,0.0,11,,,,,,,10
15950,645,333,198,10,0,,F,17,0.0,0,,,,,,,81
16369,666,345,6,12,15,7.0,7,7,0.0,63,,,,,,,12
16521,674,360,1,2,16,13.0,13,13,0.0,13,,,,,,,11
16791,688,235,167,21,16,,R,11,0.0,45,,,,,,,25
16800,689,356,191,1,5,2.0,2,2,6.0,65,+1:25.36,7254060.0,,,,,1
16895,694,347,167,30,13,7.0,7,7,0.0,84,,,,,,,16
17056,702,346,181,36,14,6.0,6,6,1.0,39,,,,,,,11
17102,704,370,176,34,17,12.0,12,12,0.0,77,,,,,,,13
17176,708,345,6,14,14,7.0,7,7,0.0,62,,,,,,,13
17399,719,408,170,8,10,5.0,5,5,2.0,98,,,,,,,12
17855,738,427,167,42,16,7.0,7,7,0.0,95,,,,,,,15
17938,741,453,170,44,18,,R,26,0.0,4,,,,,,,25
18166,749,507,106,22,0,,W,21,0.0,0,,,,,,,54
18199,751,376,170,36,15,,R,14,0.0,18,,,,,,,7
18901,785,625,128,4,11,6.0,6,6,0.0,88,,,,,,,55
19028,790,483,6,14,17,,R,19,0.0,0,,,,,,,5
