country,organization,type
США,МОТ,Член
РБ,ЮНИДО,Член
АНГ,ООН,Член
GQ,АККТ,Член
МПГ,АзБР,региональный член
RO,WTRO,Член
ОК,АфБР,нерегиональный член
Новой Зеландии,МФК,Член
ЕТ,AL,Член
RO,ВМО,Член
ТА,ИСО,Член
БГ,WFTU,Член
РСС,ЮНИДО,Член
ЕАТ,ВКЛ,Член
РЭ,РКРТ,Член
E,ВОТ,Член
АГ,Группа 77,Член
ЭАК,ВПС,Член
CI,МСЭ,Член
RO,ВОЗ,Член
ГР,МЭА,Член
CY,Группа 77,Член
SF,МЭА,Член
Ру,МОМ,Член
ИРК,МОК,Национальный олимпийский комитет
KWT,ВМО,Член
BF,АККТ,Член
Ил,ИКАО,Член
ARM,МАР,Часть II
SK,КМООНА III,Член
СУД,КАЕУ,Член
ZW,ИСО,Член
B,ВОТ,Член
МВт,МАР,Часть II
НКА,ВМО,Член
