city,province,country,river,lake,sea
Мостаганем,Алжир,DZ,,,Средиземное море
Петропавль,Солтустик Казакстан,KAZ,Ишим,,
Нью-Хейвен,Коннектикут,США,,,Атлантический океан
Стинкер,Норд Тронделаг,Н,,,Норвежское море
Сан-Висенте,Сан-Паулу,КР,,,Атлантический океан
Чтение,Беркшир,ГБ,Темба,,
Висбаден,Гессен,D,Рейн,,
Брайла,Брайла,RO,Донау,,
Кызылорда,Кызылорда,KAZ,Сирдарья,,
Хабаровский,Хабаровский крей,Р,Амур,,
Чжэньцзян,Цзянсу,ТДж,Янгце,,
Ярославл,Ярославская область,Р,Волга,,
Гальмстад,Хэлланд,И,,,Каттегат
Эрзурум,Эрзурум,ТR,Карасу,,
Порт-Вила,Вануату,БУ,,,Тихоокеанский океан
Эль-Пасо,Техас,США,&lt; &lt; Рио Гранде &gt; &gt;,,
Тель-Авив,Тель-Авив,Ил,,,Средиземное море
Хайфа,Хайфа,Ил,,,Средиземное море
Город Джефферсон,Миссури,США,Миссури,,
Хэджу,Северная Корея,Норк,,,Желтое море
Порт-Судан,Шаркия,СУД,,,Красное море
Газа,Сектор Газа,Газа,,,Средиземное море
Цинциннати,Огайо,США,Ривер Огайо,,
Нуэво Ларедо,Тамаулипас,МЕКС,&lt; &lt; Рио Гранде &gt; &gt;,,
Аликанте,Валенсия,E,,,Средиземное море
Иньчуань,Нинксиа Хуидзу,ТДж,Хванхо,,
Замбоанга,Филиппины,РП,,,Море Сулавеси
Нью-Йорк,Нью-Йорк,США,Гудзон Ривер,,Атлантический океан
Марса Матрух,Матрух,ЕТ,,,Средиземное море
Тайтунг,Тайвань,КР,,,Тихоокеанский океан
Хобарт,Тасмания,AUS,,,Тихоокеанский океан
Ла-Лагуна,Канарские острова,E,,,Атлантический океан
Рим,Лацио,I,Тибер,,
Жоао Пессоа,Парайба,КР,,,Атлантический океан
Сантарем,Сантарем,Р,Таджо,,
Солнечное побережье,Новый Южный Уэльс,AUS,,,Тихоокеанский океан
Корфу,Иониои Нисои,ГР,,,Средиземное море
Штутгарт,Баден Вуртемберг,D,Некар,,
Тетуан,Марокко,МЭТ,,,Средиземное море
Дзержинск,Нижегородская область,Р,Хорошо.,,
Сопротивление,Чако,РЭ,Парана,,
Рейноза,Тамаулипас,МЕКС,&lt; &lt; Рио Гранде &gt; &gt;,,
Бамако,Мали,РММ,Нигер,,
Сент-Джордж,Гренада,РГ,,,Карибское море
Шаффхаузен,Шшш,CH,Рейн,,
Мужской,Мальдивские Острова,МВ,,,Индийский океан
Ингольштадт,Байерн,D,Донау,,
Шарлотта Амали,Виргинские острова,ВИРГ,,,Карибское море
Квебек,Квебек,КН,Река Святого Лоуренса,,
Манаус,Амазонки,КР,Рио-Негро,,
Усть-Илимск,Иркутская область,Р,Ангара,,
Нантонг,Цзянсу,ТДж,Янгце,,
Пномпень,Камбоджа,К,Меконг,,
Наталь,&lt; &lt; Рио Гранде до Норте &gt; &gt;,КР,,,Атлантический океан
Молде,Moere og Romsdal,Н,,,Норвежское море
Комсомолск na Amure,Хабаровский крей,Р,Амур,,
Сидней,Новый Южный Уэльс,AUS,,,Тихоокеанский океан
Паликир,Микронезия,ФШМ,,,Тихоокеанский океан
Сафи,Марокко,МЭТ,,,Атлантический океан
Бандар Лампунг,Индонезия,РИ,,,Индийский океан
Магдебург,Саксен Анхальт,D,Эльба,,
Иокогама,Канагава,J,,,Тихоокеанский океан
Дрезден,Саксен,D,Эльба,,
Ниигата,Ниигата,J,,,Японское море
Охотск,Магаданская область,Р,,,Охотское море
Панкал Пинанг,Индонезия,РИ,,,Южно-Китайское море
Пул,Дорсет,ГБ,,,Канал
Фарем,Гэмпшир,ГБ,,,Канал
Ингку,Ляонирование,ТДж,,,Желтое море
Венеция,Венето,I,,,Средиземное море
Аомори,Аомори,J,,,Японское море
Шизуока,Шизуока,J,,,Тихоокеанский океан
Стэмфорд,Коннектикут,США,,,Атлантический океан
Маскат,Оман,РОУ,,,Оманский залив
Lappenrenta,Кими,SF,,Саймаа,
Алгесирас,Андалусия,E,,,Средиземное море
Гдыня,Гданьское,PL,,,Балтийское море
Галати,Галати,RO,Донау,,
Туры,Центр,F,Луар,,
Черкаси,Шеркаска,UA,Днепр,,
Брисбен,Квинсленд,AUS,,,Тихоокеанский океан
Архангелск,Архангельская область,Р,Северная Двина,,Море Баренцев
Эрмуполи,Звук Айяон,ГР,,,Средиземное море
Петропавловский Камчатский,Камчатская область,Р,,,Тихоокеанский океан
Кристианы,Вест Агдер,Н,,,Скагеррак
Банда Ачех,Индонезия,РИ,,,Андаманское море
Хельван,Эль-Кахира,ЕТ,Нил,,
