river,country,province
Нил,СУД,Аль-Хартум
Лех,A,Ворарльберг
Молдау,CZ,Джихокески
Марн,F,Шампанское Арден
Иллер,A,Ворарльберг
Паатшоки,SF,Лаппия
Саскачеванская река,КН,Альберта
Alz,D,Байерн
Лаген,Н,Оппленд
Рио Сан-Франциско,КР,Минас-Жерайс
Интенсивность,CH,ГР
Маникуаган,КН,Квебек
Рузизи,РВА,Руанда
Гвадалкивир,E,Андалусия
Эннс,A,Верхняя Австрия
Бахр-эль-Джебель/Альберт-Нил,ЕАС,Уганда
Вааг,SK,Словакия
Хорошо.,Р,Орхольская область
Унасджоки,SF,Лаппия
Арувими,ЗРЕ,Верхний Заир
Амударья,AFG,Афганистан
Амур,Р,Читинская область
Рио Мадейра,БОЛ,Боливия
Гаронн,E,Каталония
Драу,I,Трентино Альто Адиге
Пьэндш,TAD,Бадахшони Куни
Сохранить,SLO,Словения
Рио-Лерма,МЕКС,Наярит
Кемийоки,SF,Лаппия
Руки,ЗРЕ,Уравнение
Кимижоки,SF,Хеме
Ньюа,Р,Ленинградская область
Тьорса,ИУ,Италия
Кура,ТR,Автомобили
Дорогая Ривер,AUS,Квинсленд
Вёрм,D,Байерн
Джокулса Фьоэллум,ИУ,Италия
Река Святого Лоуренса,КН,Квебек
Сомнения,F,Фрэнше Комте
Рейн,CH,ГР
Миссисипи,США,Миннесота
Нигер,RG,Гвинея
