country,name,percentage
БВИР,Протестанты,86.0
C,Римская католическая,85.0
АМСА,Христианский конгрегационалист,50.0
BS,Англиканский,20.0
ТТ,Индуистский,24.3
ВАЛ,Кристиан,10.0
РП,Мусульмане,5.0
ARM,Христианская православная,94.0
НЬЮ,Римская католическая,7.2
МВт,Протестанты,55.0
РП,Протестанты,9.0
ТВЧ,Адвентист седьмого дня,1.4
WD,Римская католическая,77.0
BS,Римская католическая,19.0
ЗРЕ,Мусульмане,10.0
ТТ,Протестанты,14.0
СИН,Сикх,2.0
ЗРЕ,Протестанты,20.0
Р,Римская католическая,97.0
БД,Индуистский,16.0
COCO,Кристиан,20.0
РИ,Протестанты,6.0
США,Протестанты,56.0
BF,Кристиан,10.0
ЕС,Римская католическая,95.0
AFG,Мусульмане,99.0
БИ,Кристиан,67.0
СИН,Индуистский,80.0
БУ,Церковь Христос,3.8
ТВЧ,Бахаи,1.0
ГБЦ,Римская католическая,74.0
УР,Кристиан,60.0
Парень,Кристиан,57.0
Нл,Протестанты,25.0
CO,Римская католическая,95.0
МВ,Мусульмане,100.0
XMAS,Буддисты,36.0
ГБЦ,Протестанты,11.0
ОК,Чондогио,0.2
ГРАД,Протестанты,1.0
V,Римская католическая,100.0
Ру,Римская католическая,66.0
МСП,Протестанты,25.2
К,Кристиан,100.0
HCA,Римская католическая,97.0
ДК,Римская католическая,2.0
НИК,Римская католическая,95.0
РЭ,Римская католическая,90.0
J,Буддисты,84.0
Мэйо,Мусульмане,97.0
МЕКС,Протестанты,6.0
МСП,Мусульмане,19.6
TN,Еврейский,1.0
