river,country,province
Рааб,Н,Ваз
Исар,A,Тирол
Санга,КБК,Конго
Волга,Р,Самарская область
Карун,IR,Хузестан
Токантины,КР,Гоиас
Сена,F,Достоинство Нормандии
Вестердалаэльв,И,Даларна
Рейн,D,Нордрхейн Вестфален
Сенегал,РИМ,Мавритания
Лулуа,ЗРЕ,Шаба/Катанга
Нил,СУД,Эш Шамалия
Амур,Р,Читинская область
Тигр,ТR,Сирнак
Иравадди,МЬЯ,Мандалай
Лимат,CH,ZH
Замбези,Z,Западный
Петшора,Р,Репозиция Коми
Иордания,JOR,Иордания
Рааб,A,Штирия
Рузизи,ЗРЕ,Киву
Тибер,I,Тоскана
Миссури,США,Небраска
Мюррей Ривер,AUS,Виктория
Ольт,RO,Ольт
Оранье,RSA,Северный мыс
Вейксель,PL,Гданьское
Рио Сан-Франциско,КР,Минас-Жерайс
Брахмапутра,СИН,Аруначал-Прадеш
Касаи,АНГ,Лунда Сул
Чатанга,Р,Красноярский крей
Сомнения,CH,JU
март,SK,Словакия
Днестр,UA,Черновецкая
Бахр-эль-Гасаль,СУД,Бахр-эль-Газаль
Эльба,CZ,Праха
Волга,Р,Республика Татарстан
Рио Магдалена,CO,Бойяка
Река Юкон,КН,Территория Юкон
Рейн,A,Ворарльберг
Po,I,Венето
