desert,country,province
Пустыня Симпсон,AUS,Квинсленд
Танезруфт,DZ,Алжир
Нефуд,С.А.,Саудовская Аравия
Mojave,США,Невада
Азауад,РН,Нигер
Эрг Чеч,РММ,Мали
Красный центр,AUS,Северная территория
Танами,AUS,Северная территория
Великий Эрг Эст,TN,Тунис
Пустыня в Нижней Калифорнии,МЕКС,Нижняя Калифорния
Пустыня,AUS,Новый Южный Уэльс
Сирийская пустыня,ИРК,Аль-Анбар
Сирийская пустыня,С.А.,Саудовская Аравия
Рин,Р,Астраханская область
Ust Urt,KAZ,Мангистау
Эрг Ребиана,ЛАР,Ливия
Сирийская пустыня,СИР,Сирия
Большая песчаная пустыня,AUS,Западная Австралия
Сонора,МЕКС,Чиуауа
Кысилкум,KAZ,Кызылорда
Дашт-е-Кавир,IR,Семнан
Ливийская пустыня,ЕТ,Бени Сюф
Руб аль-Чали,РОУ,Оман
Кум Таг,ТДж,Синьцзян Уйгур
Эрг Мактейр,РИМ,Мавритания
Руб аль-Чали,ОАЭ,Аль-Фуджайра
Атакама,RCH,Чили
Тенере,TCH,Чад
Mojave,США,Калифорния
Thar,СИН,Раджастан
Каракум,ТМ,Дашхауз
