mountain,island
Гунунг Бинайя,Церам
Гилуве,Новая Гвинея
Андрингитра,Мадагаскар
Leuser,Суматра
Снэфелл,Италия
Кракатау,Кракатау
Пинатубо,Лузон
Пели,Мартиника
Пико Дуарти,Испаньола
Гора Апо,Минданао
Халекала,Мауи
Тамбора,Сумбава
Панчак Джая,Новая Гвинея
Пулог,Лузон
Мерапи,Ява
Сильвисили,Саваи
Монт-Орохена,Таити
Керинчи,Суматра
Piton de la Fournaise,Воссоединение
Мауна Луа,Гавайи
Жима,Олкхон
Королева Марис Пик,Тристан-да-Кунья
Голубая гора,Чили
Серро-де-Пунта,Пуэрто-Рико
Диаблотины морна,Доминика
Барбо Пик,Остров Эллесмир
Пико,Пико
Г-н Один,Остров Баффин
Гунунг Агунг,Бали
Кинабалу,Борнео
Монте Синто,Корс
Пико Руиво,Мадейра
Вильгельм,Новая Гвинея
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Ла-Пальма
Суфриер Хиллз,Монтсеррат
Пико де Тейд,Тенерифа
Oraefajokull,Италия
Tatamailau,Тимор
Пико Туркино,Куба
Ринджани,Ломбок
Концепция,Айла да Ометепе
Ла Суфриер,Басс-Терре
Попоманасей,Гвадалканал
Канлаон,Негры
Псилорит,Крета
Руапеху,Те Ика-а-Мауи (Северный остров)
