lake,country,province
Озеро Женезарет,СИР,Сирия
Балатон,Н,Сомоги
Озеро Танганджика,ЗРЕ,Шаба/Катанга
Соль Makarikari Pan,РБ,Ботсвана
Каспийское море,Р,Республика Калмикия
Озеро Виннипег,КН,Манитоба
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Сантьяго-де-Эстеро
Озеро Малави,МПК,Ньяса
Валенерн,И,Skaraborg
Веттерн,И,Остерготленд
Чимси,D,Байерн
Балатон,Н,Веспрем
Озеро Виктория,ЕАС,Уганда
Каспийское море,KAZ,Атырау
Озеро Руква,ЕАТ,Табора
Озеро Танганджика,БИ,Бурунди
Ozero Onega,Р,Вологодская область
Озеро Айр,AUS,Южная Австралия
Озеро Ван,ТR,Битлис
Каллавеси,SF,Куопио
Озеро Виктория,ЭАК,Ньянза
Жуй Бахир,ЭТО,Эфиопия
Озеро Маниту,КН,Онтарио
Лаго Трасимено,I,Умбриа
Ozero Chanka,Р,Приморский крей
Озеро Чикамауга,США,Теннесси
Озеро Преспа,ГР,Дхитики Македония
Озеро Вольта,GH,Гана
Озеро Эри,КН,Онтарио
Ozero Ladoga,Р,Ленинградская область
Озеро Каинджи,ВАН,Нигерия
Озеро Кариба,ZW,Зимбабве
Атлинское озеро,КН,Территория Юкон
Озеро Маракайбо,YV,Трухильо
Каспийское море,IR,Мазандаран
озеро Сакакавеа,США,Монтана
Озеро Виктория,ЕАТ,Кагера
Озеро Танганджика,ЕАТ,Мбея
Озеро Мверу,ЗРЕ,Шаба/Катанга
Озеро Танганджика,ЕАТ,Кигома
Ozero Tschany,Р,Новосибирская область
Кентуккиское озеро,США,Теннесси
Бодензе,D,Баден Вуртемберг
&lt; &lt; Полиция &gt; &gt;,I,Ломбардия
Бодензе,CH,ТГ
Хамун и Джаз Мурьян,IR,Керман
Ozero Balchash,KAZ,Жамбил
Каспийское море,AZ,Азербайджан
Озеро Шампанское,США,Нью-Йорк
Озеро Кебан,ТR,Малатья
Лох-Ломонд,ГБ,Нагорья
Лак Леман,F,Рон-Алпес
Ozero Baykal,Р,Иркутская область
Ozero Taimir,Р,Красноярский крей
Лак Леман,CH,ГЭ
Озеро Тахо,США,Невада
Озеро Женезарет,Ил,Север
Мертвое море,Ил,Южное
Vierwaldstattersee,CH,УР
Озеро Киву,ЗРЕ,Киву
Ozero Onega,Р,Респондент Карелии
Пейджаенн,SF,Суоми
Маеларен,И,Стокгольм
Ozero Aral,Юзеф,Каракальпогистон
Озеро Хьюм,AUS,Виктория
Озеро Скутари,МНП,Черногория
Ozero Balchash,KAZ,Тальдюкорган
