mountain,country,province
Манаслу,NEP,Непал
Саректжокко,И,Норрботтен
Ю Шан,КР,Тайвань
Аконкагуа,РЭ,Мендоса
Большой Баллон,F,Alsace
Гунунг Агунг,РИ,Индонезия
Монте Фальтерона,I,Тоскана
Мантальингаджан,РП,Филиппины
Кораб,AL,Австралия
Герлаховский Стит,SK,Словакия
Шникоппе,PL,Уолбржицкий
Фудзисан,J,Яманаши
Монблан,F,Рон-Алпес
Охос-дель-Саладо,РЭ,Тукуман
Сулитжелма,И,Норрботтен
Г-н Богонг,AUS,Виктория
Кеня,ЭАК,Восточная
Gasherbrum II,ТДж,Синьцзян Уйгур
Снуэхетта,Н,Оппленд
Чанбай Шан,Норк,Северная Корея
Рантекомбола,РИ,Индонезия
Макалу,NEP,Непал
Канчендзонга,NEP,Непал
Рувензори,ЗРЕ,Киву
Невадо дель Уила,CO,Уила
Gasherbrum I,ПК,Пакистан
Зард Кух,IR,Чахар Махал и Бахтиари
Гран-Парадисо,I,Валье dAosta
Успокойся.,ПЭ,Куско
Халтиатунтури,SF,Лаппия
Фудзисан,J,Шизуока
Пико Дуарти,ДОМ,Доминиканская Республика
Марси,США,Нью-Йорк
Мт МакКинли,США,Аляска
Кораб,MK,Чешская Республика
Pico Basile,GQ,Экваториальная Гвинея
&lt; &lt; Защитник экрунов &gt; &gt;,F,Рон-Алпес
Попокатепетл,МЕКС,Пуэбла
Коропуна,ПЭ,Арекипа
Элгон,ЕАС,Уганда
Джебель Шуайб,ДА,Йемен
Пидуруталагала,Кл,Шри-Ланка
