sea,country,province
Персидский залив,ОАЭ,Абу-Даби
Тихоокеанский океан,США,Гавайи
Балтийское море,И,Вастерноррленд
Карибское море,C,Санкти Спиритус
Средиземное море,БиГ,Босния и Герцеговина
Атлантический океан,AXA,Ангилья
Красное море,СУД,Шаркия
Сибирианское море,Р,Красноярский крей
Атлантический океан,АНГ,Заир
Атлантический океан,США,Род-Айленд
Балтийское море,И,Готландия
Атлантический океан,КН,Онтарио
Японское море,Норк,Северная Корея
Норвежское море,Н,Финнмарк
Тихоокеанский океан,АМСА,Американское Самоа
Восточно-Китайское море,J,Сага
Тихоокеанский океан,ПА,Дэрьен
Средиземное море,AL,Австралия
Средиземное море,RL,Ливан
Южно-Китайское море,SGP,Сингапур
Атлантический океан,РЭ,Санта-Круз
Атлантический океан,E,Астурия
Атлантический океан,Бен,Бенин
Тихоокеанский океан,МЕКС,Колима
Мексиканский залив,МЕКС,Веракрус
Мексиканский залив,США,Флорида
Атлантический океан,ИУ,Италия
Средиземное море,ЛАР,Ливия
Желтое море,Норк,Северная Корея
Тихоокеанский океан,ПА,Чирики
Черное море,UA,Крим
Северный Ледовитый океан,Р,Магаданская область
Атлантический океан,GH,Гана
Атлантический океан,KN,Сент-Китс и Невис
Атлантический океан,КН,Остров принца Эдуарда
Карибское море,ЧР,Лимон
Атлантический океан,F,Платежи за обучение в Луаре
Средиземное море,ЕТ,Эль-Бухайра
Атлантический океан,HELX,Остров Св. Елены
Атлантический океан,КР,Парана
Северное море,ГБ,Тайн и Валяй.
Северное море,Нл,Зуид Холланд
Атлантический океан,IRL,Италия
Тихоокеанский океан,SLB,Соломоновы Острова
Черное море,ТR,Сакарья
Тихоокеанский океан,Новой Зеландии,Новая Зеландия
Канал,ГБ,Западный Сассекс
Карибское море,ТТ,Тринидад и Тобаго
Сибирианское море,Р,Архангельская область
Средиземное море,МНП,Черногория
Атлантический океан,ГБЦ,Гибралтар
Тихоокеанский океан,J,Мияги
Балтийское море,И,Уппсала
Скагеррак,Н,Акершус
Атлантический океан,КР,Парайба
Атлантический океан,ГБ,Корнуолл
Черное море,ТR,Киркларели
Карибское море,KN,Сент-Китс и Невис
Тихоокеанский океан,КОК,Острова Кука
Индийский океан,SY,Сейшельские Острова
Сибирианское море,Р,Республика Саха
Ирландское море,ГБ,Мерсисайд
Атлантический океан,КР,Рио-де-Жанейро
Тихоокеанский океан,ПА,Лос Сантос
Атлантический океан,КН,Манитоба
Атлантический океан,США,Нью-Джерси
Красное море,JOR,Иордания
Атлантический океан,C,Сьего де Авила
Тихоокеанский океан,J,Айти
Балтийское море,ЭВ,Литва
Индийский океан,РМ,Антананариву
Тихоокеанский океан,ОМТС,Острова Питкэрн
Атлантический океан,АНГ,Бенгела
Тихоокеанский океан,ПЭ,Лима
Средиземное море,ГР,Пелопоннис
Персидский залив,БРИН,Бахрейн
Карибское море,CO,Атлантико
Азовское море,Р,Краснодарский крей
Каттегат,И,Готеборг ох Бохус
Северный Ледовитый океан,КН,Северо-западные территории
Атлантический океан,КР,Серджип
Южно-Китайское море,ТДж,Гуандун
Атлантический океан,КР,Сеара
Канал,ГБ,Гэмпшир
Норвежское море,ГРОКС,Гренландия
Карибское море,АГ,Антигуа и Барбуда
Канал,F,&lt; &lt; Норд Пас де Кале &gt; &gt;
