name,code,capital,province,area,population
Тринидад и Тобаго,ТТ,Порт-оф-Спейна,Тринидад и Тобаго,5130.0,1272385
Маршалловы Острова,МГ,Маджуро,Маршалловы Острова,181.3,58363
Марокко,МЭТ,Рабат,Марокко,446550.0,29779156
Франция,И,Стокгольм,Стокгольм,449964.0,8900954
Камерун,КАМ,Яунде,Центр,475440.0,14261557
Кирибати,КИР,Тарава,Кирибати,717.0,80919
Сектор Газа,Газа,,,360.0,813332
Сент-Пьер и Микелон,СПМИ,Сент-Пьер,Сент-Пьер и Микелон,242.0,6809
Острова Кука,КОК,Аваруа,Острова Кука,240.0,11870
Соломоновы Острова,SLB,Хониара,Соломоновы Острова,28450.0,412902
Гана,GH,Аккра,Гана,238540.0,17698271
Пуэрто-Рико,ПР,Сан-Хуан,Пуэрто-Рико,8870.0,3971020
Объединенные Арабские Эмираты,ОАЭ,Абу-Даби,Абу-Даби,75581.0,3057337
Узбекистан,Юзеф,Ташкент,Тоскент,447400.0,23418381
Нидерландские Антильские острова,,Виллемстад,Нидерландские Антильские острова,960.0,227049
Казахстан,KAZ,Алматы,Алма-Ата (муниципалитет),2717300.0,16916463
Беларусь,Клянусь!,Минск,Беларусь,207600.0,10415973
Сан-Томе и Принсипи,ПДТ,Сан-Томе,Сан-Томе и Принсипи,1001.0,144128
Вануату,БУ,Порт-Вила,Вануату,14760.0,177504
Монголия,МПГ,Улан-Батор,Монголия,1565000.0,2496617
Буркина-Фасо,BF,Уагадугу,Буркина-Фасо,274200.0,10623323
Тимор-Лешти,ТЛ,Дили,Тимор-Лешти,15007.0,1131612
Французская Гвиана,ФГУ,Кайенн,Французская Гвиана,91000.0,151187
Нидерланды,Нл,Амстердам,Норд Холланд,37330.0,15568034
Швейцария,CH,Берн,БУДЬ,41290.0,7207060
Иран,IR,Тегеран,Тегеран,1648000.0,66094264
Индией,СИН,Дели,Дели,3287590.0,952107694
Зимбабве,ZW,Хараре,Зимбабве,390580.0,11271314
