country,independence,dependent,government
ТТ,1962-08-31,,парламентская демократия
ДЖА,1962-08-06,,парламентская демократия
ПНГ,1975-09-16,,парламентская демократия
БВ,1949-08-08,,монархия
БиГ,1992-04-01,,Формирующаяся демократия
НЬЮ,1974-10-19,,свободного объединения с Новой Зеландией
AXA,,ГБ,Британские заморские территории
SVAX,,Н,"Норвегией, управляемой министерством промышленности"
ЭВ,1991-09-06,,Республика
ДК,,,конституционная монархия
Новой Зеландии,1907-09-26,,парламентская демократия
ЧП,1993-05-27,,переходное правительство
КБК,1960-08-15,,Республика
ЭТО,,,Федеративная республика
БГ,1908-09-22,,Формирующаяся демократия
И ДОЛЖНОСТНЫЕ ЛИЦА,,,"Парламентская демократия, которая сохраняет в качестве глав государств принцип взаимности"
WV,1979-10-27,,конституционная монархия
Бен,1960-08-01,,Республика под многопартийным демократическим правлением отказалась от марксизма Ленинизма в декабре 1989 года
СУА,1821-09-15,,Республика
ОАЭ,1971-12-02,,"Федерация, наделенная конкретными полномочиями, делегированными центральному правительству ОАЭ, и другие полномочия, зарезервированные за эмиратами-членами"
МНТ,,ГБ,Британские заморские территории
WD,1978-11-03,,парламентская демократия
РИ,1945-08-17,,Республика
ВАН,1960-10-01,,военного правительства
ЗАХОД,,,
SF,1917-12-06,,Республика
ГБГ,,ГБ,British Kone Industice (иждивенчество британской кроны)
SLB,1978-07-07,,парламентская демократия
МЕКС,1810-09-16,,"Федеральная республика, действующая под централизованным правительством"
ГУАМ,,США,организован
ФГУ,,F,Министерство иностранных дел Франции
Юзеф,1991-08-31,,Республика
TCH,1960-08-11,,Республика
ЕАТ,1964-04-26,,Республика
РЭ,1816-07-09,,Республика
ВИРГ,,,организован
КН,1867-07-01,,Конфедерация с парламентской демократией
МВт,1964-07-06,,Многосторонняя демократия
ГРАД,,F,Министерство иностранных дел Франции
РВА,1962-07-01,,Республика
,,Нл,часть нидерландского королевства
СПМИ,,F,территориальная коллективность Франции
ГНБ,1974-09-10,,Республика
МАКХ,,ТДж,и специальной административной области в Китае
HCA,1821-09-15,,Республика
ТВЧ,1978-10-01,,демократии
ПАЛ,1994-10-01,,конституционное правительство в свободной ассоциации с США
Z,1964-10-24,,Республика
