name,country,population,area,capital,capprov
Судоэст,КАМ,838000,24471.0,Буэа,Судоэст
Дорсет,ГБ,662900,2654.0,Дорчестер,Дорсет
Кустанай,KAZ,1055300,113900.0,Кустанай,Кустанай
Би,АНГ,1125000,70314.0,Би,Би
Моксико,АНГ,316000,223023.0,Луена,Моксико
Хордаланд,Н,399702,,Берген,Хордаланд
&lt; &lt; Тьерра дель Фуэго &gt; &gt;,РЭ,69369,21571.0,Ушуайя,&lt; &lt; Тьерра дель Фуэго &gt; &gt;
Миссури,США,5402058,180514.0,Город Джефферсон,Миссури
Гэмпшир,ГБ,1578700,3777.0,Винчестер,Гэмпшир
Текирдаг,ТR,468842,6218.0,Текирдаг,Текирдаг
Сан-Хосе,ЧР,1163943,4960.0,Сан-Хосе,Сан-Хосе
Валье dAosta,I,118000,3262.0,&lt; &lt; Аоста &gt; &gt;,Валье dAosta
Хэлланд,И,257874,5454.0,Гальмстад,Хэлланд
Нигер,РН,9113001,,Ниамей,Нигер
Зальцбург,A,501000,7154.0,Зальцбург,Зальцбург
Колима,МЕКС,488028,5455.0,Колима,Колима
Белиз,BZ,219296,,Бельмопан,Белиз
Венето,I,4415000,18364.0,Венеция,Венето
Дашхауз,ТМ,738000,73600.0,Ташаус,Дашхауз
Калифорния,США,32268301,411047.0,Сакраменто,Калифорния
Саарленд,D,1084201,2570.0,Саарбрукен,Саарленд
Баликешир,ТR,973314,14292.0,Баликешир,Баликешир
Канаккале,ТR,432263,9737.0,Канаккале,Канаккале
Каолак,SN,816400,16010.0,Каолак,Каолак
Саскачеван,КН,990237,651900.0,Регина,Саскачеван
Рио-Негро,РЭ,506772,203013.0,Вьедма,Рио-Негро
Эррера,ПА,108700,2341.0,Читр,Эррера
Чешская Республика,MK,2104035,,Скопье,Чешская Республика
Куандо Кубинго,АНГ,130000,199049.0,Менонг,Куандо Кубинго
Кая,МЬЯ,168400,11733.0,Лойкау,Кая
Бедфордшир,ГБ,534300,1235.0,Бедфорд,Бедфордшир
Минас-Жерайс,КР,16660691,588383.0,Бело Горизонт,Минас-Жерайс
Мавритания,РИМ,2336048,,Нуакшот,Мавритания
Алжир,DZ,29183032,,Алгье,Алжир
Глостершир,ГБ,538800,2643.0,Глостер,Глостершир
Мадхья Прадеш,СИН,66181170,443446.0,Бхопаль,Мадхья Прадеш
Нижняя Калифорния,МЕКС,2112140,70113.0,Mexicali,Нижняя Калифорния
Мерида,YV,680503,11300.0,Мерида,Мерида
Саравак,ТЗА,1648217,124449.0,Крючок,Саравак
Астраханская область,Р,1028900,44100.0,Астрахан,Астраханская область
Танга,ЕАТ,1283600,26808.0,Танга,Танга
