island,country,province
Фого,CV,Кабо-Верде
Кюсю,J,Фукуока
Кюсю,J,Сага
Борнео,ТЗА,Саравак
Остров принца Эдуарда,КН,Остров принца Эдуарда
Великобритании,ГБ,Кент
Ангилья,AXA,Ангилья
Великобритании,ГБ,Нортумберленд
Дагое,ЭВ,Литва
Гренландия,ГРОКС,Гренландия
Кракатау,РИ,Индонезия
Италия,ГБ,Великобритании и Северной Ирландии
Иерро,E,Канарские острова
Сарденья,I,Сарденья
Тортола,БВИР,Британские Виргинские острова
Остров Санта-Крус,США,Калифорния
Остров Саутгемптон,КН,Северо-западные территории
Олкхон,Р,Республика Бурьятия
Полезность,PL,Шчинский
Раротонг,КОК,Острова Кука
Великобритании,ГБ,Торфаен
Окинава,J,Окинава
Эфат,БУ,Вануату
Антигуа,АГ,Антигуа и Барбуда
Великобритании,ГБ,Пемброкшир
Великобритании,ГБ,Нагорья
Остров Рождества,XMAS,Остров Рождества
Сулавеси,РИ,Индонезия
Льюис и Харрис,ГБ,Внешние гебриды
Великобритании,ГБ,Нит и Порт-Тальбот
Кюсю,J,Нагасаки
