name,area,depth,altitude,type,river,longitude,latitude
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,5770.0,19.0,71.0,соль,,-62.67,-30.5
Озеро Виктория,68870.0,85.0,1134.0,,Виктория Нил,33.0,-1.0
Озеро Чикамауга,147.0,,,,Теннесси,-85.0,35.4
&lt; &lt; Инари &gt; &gt;,1040.0,92.0,119.0,,Паатшоки,27.7,68.95
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Озеро Гурон,59600.0,229.0,176.0,,Река Детройт,-82.44,44.795
Великолепное медвежье озеро,31792.0,446.0,156.0,,,-120.6,65.9
Чимси,80.0,73.0,518.0,,Alz,12.4,47.9
Озеро Маникуаган,1942.0,,350.0,последствия,,-68.7,51.4
Ozero Balchash,18428.0,26.0,342.0,соль,,74.88,46.55
Сторуман,173.0,139.0,419.0,,Умеэльв,16.88,65.22
Озеро Май Ндомбе,8200.0,10.0,300.0,,Фими,18.3,-2.05
Озеро Айаси,1050.0,,1030.0,соль,,35.0,-3.6
Цюрихсэ,88.0,136.0,406.0,,Лимат,8.23631,47.5018
Соль Makarikari Pan,12000.0,0.0,,соль,,21.0,-25.5
Соль &lt; &lt; Этоша &gt; &gt;,6133.0,0.0,1000.0,соль,,16.0,-18.8
Озеро Тана,3000.0,14.0,1830.0,,Синий Нил,37.3,12.0
Vierwaldstattersee,113.7,214.0,434.0,,Реус,8.4,47.0
Ozero Pskovskoje,3555.0,14.6,30.0,,Нарва,27.49,58.68
Оулуярви,928.0,35.0,123.0,,Оулуйоки,27.25,64.3
Рутанзиге/Эдардзе,2325.0,112.0,920.0,,Семлики,29.6,-0.35
Кратерское озеро,53.2,594.0,1883.0,Кальдера,,-122.1,42.9
Иссык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
озеро Никарагуа,8157.0,45.0,31.0,,Рио Сан-Хуан,-85.35,11.6
Лаго Маггиоре,216.0,372.0,193.0,,Тичино,8.6,45.95
Мьоза-Смотри.,368.0,449.0,123.0,,Лаген,11.0,60.65
Озеро Натрон,1040.0,2.0,600.0,соль,,36.0,-2.4
Пирамидское озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Озеро Кабора-Басса,2800.0,,326.0,искусственные,Замбези,32.7,-15.6
Озеро Виннипесауке,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
озеро Сакакавеа,1578.0,55.0,,искусственные,Миссури,-101.42,47.48
Лак Леман,581.0,310.0,372.0,,Роун,6.5,46.5
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Салар де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Арресо,40.2,5.6,,,,12.1,56.0
Лаго-ди-Комо,146.0,425.0,197.0,,Adda,9.3,46.0
Франклин Д. Рузвельтское озеро,337.0,,,искусственные,Река Колумбия,-119.0,47.95
Озеро Сесе Секо/Альбертзе,5347.0,48.0,619.0,,Бахр-эль-Джебель/Альберт-Нил,30.9,1.7
Каспийское море,386400.0,995.0,-28.0,соль,,51.0,41.0
Озеро Руква,5760.0,5.0,800.0,соль,,32.35,-8.0
Озеро Ван,3740.0,457.0,1719.0,соль,,42.9,38.6
Лахер Маар,3.3,53.0,275.0,Кальдера,,7.3,50.4
Барьер &lt; &lt; Мбакау &gt; &gt;,,,,искусственные,Санага,12.75,6.4
Верхнее озеро,82103.0,405.0,184.0,,,-87.37,47.7675
Озеро Маниту,104.0,,,,,-82.0,45.76
Озеро Вольта,8502.0,130.0,,искусственные,Вольта,0.5,6.3
Атлинское озеро,798.0,283.0,668.0,,Река Юкон,-133.75,59.5
Озеро Пауэлл,645.0,171.0,1127.0,искусственные,Колорадо,-111.5,36.9
Озеро Ньос,,208.0,,Кальдера,,10.3,6.44
