country1,country2,length
PL,SK,444.0
БГ,ГР,494.0
ЕТ,ЛАР,1150.0
МПК,МВт,1569.0
БД,МЬЯ,193.0
Клянусь!,Р,959.0
F,I,488.0
КР,PY,1290.0
МЕКС,США,3326.0
ЕАС,РВА,169.0
ДН,РБ,1360.0
ДСО,ЧП,113.0
DZ,TN,965.0
Ил,RL,79.0
МВт,Z,837.0
BF,РММ,1000.0
B,D,167.0
CO,ЕС,590.0
A,SLO,324.0
CZ,PL,658.0
BF,РТ,126.0
DZ,РММ,1376.0
KOS,ОПП,352.0
Н,Р,167.0
БВ,ТДж,470.0
Бен,BF,306.0
ИРК,С.А.,814.0
KGZ,TAD,870.0
Клянусь!,PL,605.0
Н,SF,729.0
БГ,RO,608.0
A,Н,366.0
РОУ,ОАЭ,410.0
БИ,ЕАТ,451.0
ЕАТ,МПК,756.0
К,VN,1228.0
A,CH,164.0
Норк,ОК,238.0
БОЛ,RCH,861.0
МПК,УР,105.0
G,GQ,350.0
ГЭ,ТR,252.0
Парень,МСП,600.0
CH,F,573.0
A,CZ,362.0
АНГ,КБК,201.0
Клянусь!,ЛВ,141.0
D,PL,456.0
KAZ,ТМ,379.0
ФГУ,МСП,510.0
ARM,AZ,787.0
DZ,МЭТ,1559.0
МПК,ZW,1231.0
AL,KOS,112.0
РЭ,RCH,5150.0
KWT,С.А.,222.0
