sea1,sea2
Карибское море,Мексиканский залив
Атлантический океан,Ирландское море
Арабское море,Индийский океан
Северный Ледовитый океан,Атлантический океан
Северный Ледовитый океан,Норвежское море
Восточно-Китайское море,Желтое море
Северный Ледовитый океан,Море Баренцев
Южно-Китайское море,Море Сулавеси
Атлантический океан,Северное море
Японское море,Охотское море
Северное море,Норвежское море
Северное море,Скагеррак
Атлантический океан,Карибское море
Тихоокеанский океан,Японское море
Черное море,Средиземное море
Андаманское море,Малаккский пролив
Балтийское море,Северное море
Северный Ледовитый океан,Беременное море
Японское море,Желтое море
Восточно-Китайское море,Южно-Китайское море
Северное море,Канал
Бенгальский залив,Тихоокеанский океан
Арабское море,Оманский залив
Атлантический океан,Мексиканский залив
Аденский залив,Индийский океан
Атлантический океан,Индийский океан
Северный Ледовитый океан,Сибирианское море
Каттегат,Скагеррак
Малаккский пролив,Южно-Китайское море
Черное море,Азовское море
Оманский залив,Индийский океан
Атлантический океан,Тихоокеанский океан
Восточно-Китайское море,Тихоокеанский океан
Южно-Китайское море,Сундское море
Индийский океан,Сундское море
