abbreviation,name,city,country,province,established
БКИ,Центральноамериканский банк экономической интеграции,Тегусигальпа,HCA,Франциско Моразан,1960-12-13
МАБР,Межамериканский банк развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1959-04-08
РКРТ,Режим контроля за ракетной технологией,,,,1987-04-16
МКСП,Международная конфедерация свободных профсоюзов,Брюссель,B,Брабант,1949-12-01
МООНРЗС,Миссия Организации Объединенных Наций по проведению референдума в Западной Сахаре,Нью-Йорк,США,Нью-Йорк,1991-04-29
ОЭС,Организация экономического сотрудничества,Тегеран,IR,Тегеран,1985-01-01
О-3,Группа 3,,,,1990-10-01
ЮНКТАД,Конференция Организации Объединенных Наций по торговле и развитию,Женева,CH,ГЭ,1964-12-30
ВСООНК,Вооруженные силы Организации Объединенных Наций на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
БИС,Банк международных расчетов,Базель,CH,BS,1930-01-20
Меркосур,Общий рынок стран Южного Конуса,Буэнос-Айрес,РЭ,Федеральный департамент,1991-03-26
ОИК,Организация Исламская конференция,Джидда,С.А.,Саудовская Аравия,1969-09-22
МБРР,Международный банк реконструкции и развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1944-07-22
АКТ,"Страны Африки, Карибского бассейна и Тихоокеанского региона",Брюссель,B,Брабант,1976-04-01
КАСМ,Центральноамериканский общий рынок,Город Гватемала,СУА,Гватемала,1960-12-13
ГВНООНИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
ЗЕС,Западноевропейский союз,Брюссель,B,Брабант,1954-10-23
ИБР,Исламский банк развития,Джидда,С.А.,Саудовская Аравия,1973-12-15
Группа 15,Группа 15,Женева,CH,ГЭ,
Группа &lt; &lt; Меконг &gt; &gt;,Группа АСЕАН по вопросам развития бассейна реки Меконг,,,,1995-12-01
НИБ,Скандинавский инвестиционный банк,Хельсинки,SF,Уусимаа,1975-12-04
САДК,Сообщество по вопросам развития стран юга Африки,Габороне,РБ,Ботсвана,1992-08-17
ВПС,Всемирный почтовый союз,Берн,CH,БУДЬ,1874-10-09
Спартека,Южнотихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
МФСР,Международный фонд сельскохозяйственного развития,Рим,I,Лацио,1974-11-01
ЛАС,Латиноамериканская экономическая система,Каракас,YV,Федеральный департамент,1975-10-17
МВФ,Международный валютный фонд,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1944-07-22
AL,Лига арабских государств,Каир,ЕТ,Эль-Кахира,1945-03-22
ТСЮА,Таможенный союз южной части Африки,Претория,RSA,Гаутенг,1969-12-11
МОМ,Международная организация по миграции,Женева,CH,ГЭ,1951-12-05
ЮНИТАР,Учебный и научно-исследовательский институт Организации Объединенных Наций,,,,1963-12-11
ПСФ,Южнотихоокеанский форум,Сува,ФСО,Фиджи,1971-08-05
ВОЗ,Всемирная организация здравоохранения,Женева,CH,ГЭ,1946-07-22
АККТ,Агентство по культурному и техническому сотрудничеству,Париж,F,Иль де Франция,1970-03-21
СНГ,Содружество Независимых Государств,Минск,Клянусь!,Беларусь,1991-12-08
ЭН,Агентство по ядерной энергии,,,,1958-01-01
Инмарсат,Международная организация подвижной спутниковой связи,Лондон,ГБ,Большой Лондон,1976-09-03
МФК,Международная финансовая корпорация,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1955-05-25
ЭКА,Экономическая комиссия для Африки,Аддис-Абеба,ЭТО,Эфиопия,1958-04-29
C,Содружество,Лондон,ГБ,Большой Лондон,1931-12-31
ОНВУП,Организация Объединенных Наций по наблюдению за выполнением условий перемирия,Иерусалим,Ил,Центральный,1948-05-01
ЕАСТ,Европейская ассоциация свободной торговли,Женева,CH,ГЭ,1960-01-04
АТЭС,Азиатско-тихоокеанское экономическое сотрудничество,Сингапур,SGP,Сингапур,1989-11-07
Группа 24,Группа 24,Брюссель,B,Брабант,1972-01-01
Интелсат,Международная организация спутниковой связи,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1971-08-20
AMU,Союз арабского Магриба,Рабат,МЭТ,Марокко,1989-02-17
АФЭСР,Арабский фонд экономического и социального развития,,,,1968-05-16
ЕАБР,Восточноафриканский банк развития,Кампала,ЕАС,Уганда,1967-06-06
КСП,Южнотихоокеанская комиссия,Нумеа,НКА,Новая Каледония,1947-02-06
ООН,В настоящий отчет могут вноситься поправки.,Нью-Йорк,США,Нью-Йорк,1945-06-26
УВКБ,Управление Верховного комиссара Организации Объединенных Наций по делам беженцев,Женева,CH,ГЭ,1949-12-03
МОК,Международный олимпийский комитет,Лозанна,CH,VD,1894-06-23
ВКЛ,Всемирная конфедерация труда,Брюссель,B,Брабант,1920-06-19
МАР,Международная ассоциация развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1960-01-26
АМП,Арабский валютный фонд,Абу-Даби,ОАЭ,Абу-Даби,1976-04-27
МНООНЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
УООН,Университет Организации Объединенных Наций,,,,1973-12-06
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,РИ,Индонезия,1967-08-09
ВСООНЛ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
ОПЕК,Организация стран-экспортеров нефти,Вена,A,Вена,1960-09-14
ГЯП,Группа ядерных поставщиков,Вена,A,Вена,
НС,Совет северных стран,Стокгольм,И,Стокгольм,1952-03-16
СЕ,Совет Европы,Страсбург,F,Alsace,1949-05-05
СБС,Совет государств Балтийского моря,,,,1992-03-05
ВОИС,Всемирная организация интеллектуальной собственности,Женева,CH,ГЭ,1967-07-14
МООННГ,Миссия Организации Объединенных Наций по наблюдению в Грузии,Нью-Йорк,США,Нью-Йорк,
О-9,Группа 9,,,,
ИКМООНН,Ирако-кувейтская миссия Организации Объединенных Наций по наблюдению,Нью-Йорк,США,Нью-Йорк,1991-04-09
ССЗ,Совет сотрудничества стран Залива,Эр-Рияд,С.А.,Саудовская Аравия,1981-05-25
ЮНИДО,Организация Объединенных Наций по промышленному развитию,Вена,A,Вена,1966-11-17
ЭКОВАС,Экономическое сообщество западноафриканских государств,Лагос,ВАН,Нигерия,1975-05-28
МЭА,Международное энергетическое агентство,Париж,F,Иль де Франция,1974-11-15
АНК,Совет сотрудничества в Северной Атлантике,Брюссель,B,Брабант,1991-11-08
Г-10,Группа 10,Париж,F,Иль де Франция,1962-10-01
СООНО,Силы Организации Объединенных Наций по охране,Нью-Йорк,США,Нью-Йорк,1992-02-28
WFTU,Всемирная федерация профсоюзов,Прага,CZ,Праха,1945-10-03
ЛАИА,Латиноамериканская ассоциация интеграции,Монтевидео,Ру,Уругвай,1980-08-12
СПРООН,Силы превентивного развертывания Организации Объединенных Наций,,,,1995-03-31
КМООНА III,Контрольная миссия Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
ОООНВД,Операция Организации Объединенных Наций по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
FZ,Зона франка,Париж,F,Иль де Франция,1945-12-20
МООНГ,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
ВАБР,Западноафриканский банк развития,Лом,РТ,Того,1973-11-14
