name,mountains,height,type,longitude,latitude
Мерапи,,2914.0,вулкан,110.4,-7.5
Клингонские куполы,Аппапалачен,2025.0,,-83.2,35.3
Охос-дель-Саладо,Анды,6893.0,вулкан,-68.5,-27.1
Мт Бона,Диапазон Элайаса,5005.0,,-141.75,61.4
Касбек,Каукасус,5033.0,вулканическое,44.31,42.42
Мт Рейнье,Диапазон каскадов,4392.0,вулкан,-121.75,46.5
Монкайо,Кордильера Иберика,2313.0,,1.85,41.8
Мармолата,Альпы,3343.0,,11.85,46.4
М. Кук,Новозеландские Альпы,3754.0,,170.2,-43.6
Большой Баллон,Влагалище,1424.0,,7.1,47.9
Ключевская Сопка,Камчатка,4750.0,вулкан,160.6,56.1
Фудзисан,,3776.0,вулкан,139.0,35.0
Котопакси,Анды,5897.0,вулкан,-78.4,-0.7
Диаблотины морна,,1447.0,вулкан,-61.4,15.5
Зард Кух,Загрос,4550.0,,50.1,32.35
Гора Апо,,2954.0,вулканическое,125.45,7.0
Тупангато,Анды,6550.0,вулкан,-69.87,-33.35
Тамбора,,2850.0,вулкан,118.0,-8.2
Монте Роза,Альпы,4634.0,,7.9,45.9
Попоманасей,,2335.0,вулканическое,160.1,-9.7
Ампато,Анды,6288.0,вулкан,-71.9,-15.8
Ллульяльяко,Анды,6739.0,вулкан,-68.5,-24.7
Монте Писсис,Анды,6795.0,вулканическое,-68.85,-27.8
Тахат,Ахаггер,3003.0,вулканическое,5.5,23.3
Гора Эверест,Гималаи,8848.0,,86.9,28.0
Пико де Сан-Томе,,2024.0,вулканическое,6.6,0.2
Tarrekaise,,1850.0,,17.3,67.0
Мт МакКинли,Диапазон Аляски,6193.0,,-151.0,63.1
Шоколадный костюм,Альпы,2862.0,,13.75,47.3
Pico de Alamanzor,Центральный Кордильера,2648.0,,-5.3,40.25
Мт Логан,Диапазон Элайаса,5959.0,,-140.4,60.6
Рантекомбола,,3455.0,вулканическое,120.0,-3.6
Циафаявона,,2642.0,вулканическое,47.2,-19.3
Аконкагуа,Анды,6962.0,,-70.0,-32.65
Пико,Азоры,2351.0,вулкан,-28.4,38.5
Гросслокнер,Альпы,3797.0,,12.5,47.0
Mt. Balbi,,2715.0,вулканическое,155.0,-5.9
Джебель Аурес,Риф,2456.0,,-6.5,35.5
Торр де Эстрела,Центральный Кордильера,1993.0,,-7.6,40.3
Халекала,Гавайи,3055.0,вулкан,-156.25,20.7
Монблан,Альпы,4808.0,,6.8,45.8
Ла Суфриер,,1467.0,вулкан,-61.65,16.05
Кинабалу,,4101.0,Гранит,116.5,6.1
Додабетта,Западные Гаты,2636.0,,76.7,11.4
Жостедальсбре,,2083.0,,5.5,61.4
Пик Револузия,Памир,6974.0,,72.2,38.3
Канчендзонга,Гималаи,8586.0,,88.1,27.7
Ликанкабур,Анды,5920.0,вулкан,-67.9,-22.8
Oraefajokull,,2110.0,вулкан,64.0,16.39
Дхаулагири,Гималаи,8167.0,,83.5,28.7
Аннапурна,Гималаи,8091.0,,83.8,28.6
Катла,,1450.0,вулкан,-19.0,63.6
Саректжокко,,2090.0,,17.4,67.3
Чанбай Шан,Чанбай,2744.0,,128.1,42.0
Г-н Один,Пенни Хайлендс,2147.0,,-65.6,66.55
Невадо де Колима,Кордильера Вулканика,4330.0,вулкан,-104.0,20.0
&lt; &lt; Защитник экрунов &gt; &gt;,Альпы,4101.0,,6.3,44.9
Уаскаран,Кордильера Бланка,6768.0,,-77.3,-9.0
Улуру,,869.0,монолит,131.0,-25.3
Олимп,,2917.0,,22.35,40.1
Бен Невис,Грампийцы,1344.0,,-5.0,56.8
Мусала,Балканские острова,2925.0,,23.6,42.2
Халтиатунтури,,1328.0,,21.4,67.0
