country,continent,percentage
ГНБ,Африка,100.0
ВАН,Африка,100.0
Р,Европа,100.0
Q,Азия,100.0
RL,Азия,100.0
ПР,Америки,100.0
МВт,Африка,100.0
Р,Европа,20.0
ТМ,Азия,100.0
AXA,Америки,100.0
ЭТО,Африка,100.0
ГЭ,Азия,100.0
НОРФ,Австралия/Океания,100.0
CV,Африка,100.0
XMAS,Австралия/Океания,100.0
GBJ,Европа,100.0
TAD,Азия,100.0
НМИС,Австралия/Океания,100.0
SN,Африка,100.0
ДК,Европа,100.0
ТА,Азия,100.0
И,Европа,100.0
ТДж,Азия,100.0
IRL,Европа,100.0
KWT,Азия,100.0
KOS,Европа,100.0
G,Африка,100.0
J,Азия,100.0
V,Европа,100.0
ЕТ,Африка,90.0
ТТ,Америки,100.0
PL,Европа,100.0
БИ,Африка,100.0
RG,Африка,100.0
ГБГ,Европа,100.0
RSA,Африка,100.0
Мэйо,Африка,100.0
МГ,Австралия/Океания,100.0
YV,Америки,100.0
ТR,Азия,95.0
ЕАС,Африка,100.0
К,Азия,100.0
С.А.,Азия,100.0
ГРАД,Америки,100.0
ФПОЛ,Австралия/Океания,100.0
БУ,Австралия/Океания,100.0
РММ,Африка,100.0
РН,Африка,100.0
AUS,Австралия/Океания,100.0
L,Европа,100.0
MD,Европа,100.0
СУД,Африка,100.0
БРУ,Азия,100.0
ВАФА,Австралия/Океания,100.0
Норк,Азия,100.0
Юзеф,Азия,100.0
АМСА,Австралия/Океания,100.0
ТЛ,Азия,100.0
АГ,Америки,100.0
МПГ,Азия,100.0
РТ,Африка,100.0
SLB,Австралия/Океания,100.0
МЬЯ,Азия,100.0
МНП,Европа,100.0
ЭАК,Африка,100.0
РИ,Австралия/Океания,20.0
SLO,Европа,100.0
Ру,Америки,100.0
ТR,Европа,5.0
D,Европа,100.0
ФШМ,Австралия/Океания,100.0
ОПП,Европа,100.0
RCH,Америки,100.0
ТВЧ,Австралия/Океания,100.0
JOR,Азия,100.0
ВАЛ,Африка,100.0
МЕКС,Америки,100.0
CZ,Европа,100.0
РГ,Америки,100.0
ARU,Америки,100.0
TN,Африка,100.0
ЗАХОД,Азия,100.0
