country,population_growth,infant_mortality
FARX,-1.8,7.2
С.А.,3.45,46.4
WS,2.37,34.3
JOR,2.65,31.5
IR,2.21,52.7
ВАН,3.05,72.4
ДСО,1.5,106.7
КБК,2.19,108.1
ЭАК,2.27,55.3
SLO,-0.27,7.3
Р,0.02,7.6
RCH,1.24,13.6
ГР,0.42,7.4
COCO,,
,0.73,9.09
ИРК,3.69,60.0
И ДОЛЖНОСТНЫЕ ЛИЦА,2.96,2.2
ЭВ,-1.13,17.4
WV,0.64,16.8
СИР,3.37,40.0
МПГ,1.69,69.7
ZW,1.41,72.8
J,0.21,4.4
BF,2.53,117.8
SY,0.76,12.5
НОРФ,,
SF,0.1,4.9
HELX,0.45,17.63
TN,1.81,35.1
ПНГ,2.29,60.1
CZ,-0.03,8.4
TAD,1.54,113.1
Газа,4.55,30.6
Мэйо,3.32,56.29
РТ,3.56,84.3
