charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
12391,9906,476,8,1999-08-20T10:44:33,1729.0,19906,
1389256,9427,446,10,1999-08-16T10:50:30,198.0,19427,
1171107,2980,469,3,1999-08-26T10:49:05,2072.0,12980,
824589,8343,494,5,1999-09-27T10:45:30,1000.0,28343,
605631,5625,462,9,1999-07-31T10:44:02,4751.0,5625,
1737816,3418,496,2,1999-06-30T10:46:32,2734.0,3418,
4346,7290,485,8,1999-09-10T10:43:57,1186.0,17290,
1543378,9663,486,3,1999-07-05T10:46:57,3727.0,9663,
1915,8952,487,8,1999-09-11T10:43:46,3662.0,18952,
636738,9027,433,6,1999-07-17T10:46:27,1361.0,9027,
1634835,9986,465,2,1999-08-14T10:46:18,958.0,19986,
556219,8869,496,2,1999-07-26T10:47:56,2063.0,8869,
1208290,3833,487,9,1999-08-17T10:44:14,3001.0,13833,
795120,2321,469,2,1999-07-30T10:50:57,4790.0,2321,
757013,6961,498,7,1999-07-29T10:48:00,2714.0,6961,
680468,9367,500,3,1999-09-08T10:49:49,3997.0,19367,
747326,6852,499,7,1999-09-14T10:47:15,3330.0,26852,
781473,7022,325,9,1999-08-24T10:49:54,1439.0,17022,
672355,6591,348,2,1999-07-18T10:49:11,3602.0,6591,
1685386,6089,493,8,1999-07-08T10:50:12,1390.0,6089,
1315665,2376,427,5,1999-10-03T10:44:47,1791.0,22376,
1367738,8143,486,9,1999-07-20T10:48:49,742.0,8143,
722259,9755,496,5,1999-07-21T10:45:18,2990.0,9755,
542421,8750,493,7,1999-08-20T10:46:53,2547.0,18750,
1082011,1407,410,6,1999-09-20T10:49:56,1764.0,21407,
6909,7559,441,3,1999-07-18T10:44:08,2459.0,7559,
1610058,8356,492,6,1999-08-20T10:44:22,2515.0,18356,
51075,5165,497,6,1999-07-28T10:47:33,562.0,5165,
1875570,8927,496,9,1999-09-04T10:49:26,4907.0,18927,
1205589,7030,414,8,1999-09-22T10:44:02,3854.0,27030,
1603914,8531,478,6,1999-07-01T10:43:55,2852.0,8531,
1577994,7310,495,2,1999-07-11T10:49:37,2516.0,7310,
1966937,9994,478,10,1999-06-21T10:48:46,3179.0,9994,
1602137,9462,477,10,1999-09-09T10:43:47,1001.0,19462,
1856225,2536,215,8,1999-08-04T10:47:57,4625.0,2536,
1927146,7377,445,10,1999-07-19T10:45:42,3353.0,7377,
630511,4090,494,6,1999-09-21T10:45:57,160.0,24090,
1368569,8730,231,2,1999-07-30T10:48:54,4822.0,8730,
950159,4937,429,4,1999-08-25T10:47:29,904.0,14937,
774046,6879,477,7,1999-10-09T10:49:19,3514.0,26879,
1663051,4427,372,9,1999-07-30T10:48:27,52.0,4427,
1814924,4411,494,8,1999-07-26T10:44:44,2901.0,4411,
762723,4557,496,8,1999-08-16T10:48:26,1193.0,14557,
1635099,7534,327,9,1999-07-22T10:46:19,2330.0,7534,
