schoolid,schoolname,schoolcity,schoolstate,schoolnick
viterbowi,Viterbo University,LaCrosse,WI,Hawks
gaswestern,Georgia Southwestern State University,Americus,GA,Hurricanes
baylor,Baylor University,Waco,TX,Bears
evansville,University of Evansville,Evansville,IN,Purple Aces
scarolina,University of South Carolina,Columbia,SC,Gamecocks
indianapa,Indiana University of Pennsylvania,Indiana,PA,Indians
umass,University of Massachusetts Amherst,Amherst,MA,Minutemen
stthomasmn,University of St. Thomas,St. Paul,MN,Tommies
harding,Harding University,Searcy,AR,Bison
philly,Philadelphia University,Philadelphia,PA,Rams
hawaiihilo,University of Hawaii at Hilo,Hilo,HI,Vulcans
troyst,Troy State University,Troy,AL,Trojans
stedwardtx,St. Edward's University,Austin,TX,Hilltoppers
nycortland,State University of New York College at Cortland,Cortland,NY,Red Dragons
nebkearney,University of Nebraska at Kearney,Kearney,NE,Lopers
elon,Elon University,Elon,NC,Phoenix
loyolachi,Loyola University of Chicago,Chicago,IL,Ramblers
creighton,Creighton University,Omaha,NE,Bluejays
kansas,University of Kansas,Lawrence,KS,Jayhawks
scstate,South Carolina State University,Orangeburg,SC,Bulldogs
navy,United States Naval Academy,Annapolis,MD,Midshipmen
ohio,Ohio University,Athens,OH,Bobcats
cflorida,University of Central Florida,Orlando,FL,Golden Knights
lambuthtn,Lambuth University,Jackson,TN,Eagles
samhouston,Sam Houston State University,Huntsville,TX,Bearkats
erskine,Erskine College,Due West,SC,Flying Fleet
nmhighland,New Mexico Highlands University,Las Vegas,NM,Cowboys
trinityct,Trinity College,Hartford,CT,Bantams
miamioh,Miami University,Oxford,OH,Red Hawks
georgemas,George Mason University,Fairfax,VA,Patriots
mtunionoh,Mount Union College,Alliance,OH,Raiders
ilcollege,Illinois College,Jacksonville,IL,Blueboys
almami,Alma College,Alma,MI,Scots
rhodestn,Rhodes College,Memphis,TN,Lynx
unc,University of North Carolina,Chapel Hill,NC,Tarheels
txwesleyan,Texas Wesleyan University,Fort Worth,TX,Rams
villanova,Villanova University,Villanova,PA,Wildcats
wflorida,University of West Florida,Pensacola,FL,Argonauts
grinnellia,Grinnell College,Grinnell,IA,Pioneers
colbyme,Colby College,Waterville,ME,Mules
highpoint,High Point University,High Point,NC,Panthers
hendrixar,Hendrix College,Conway,AR,Warriors
staugustne,Saint Augustine's College,Raleigh,NC,Falcons
