franchid,franchname,active,naassoc
BUF,Buffalo Bisons,N,
ANA,Los Angeles Angels of Anaheim,Y,
MLU,Milwaukee Brewers,N,
NYI,New York Giants,N,
PBS,Pittsburgh Rebels,N,
COR,Cincinnati Outlaw Reds,N,
BNA,Boston Red Stockings,NA,ATL
CLI,Cleveland Infants,N,
NNA,New York Mutuals,NA,NYU
HAR,Hartford Dark Blues,N,HNA
KCP,Kansas City Packers,N,
TLM,Toledo Maumees,N,
LOU,Louisville Colonels,N,
MAR,Baltimore Marylands,NA,
ATL,Atlanta Braves,Y,BNA
BRA,Brooklyn Atlantics,NA,
CKK,Cincinnati Kelly's Killers,N,
BLU,Baltimore Monumentals,N,
BLC,Baltimore Canaries,NA,
PHI,Philadelphia Phillies,Y,
SYR,Syracuse Stars,N,
SEA,Seattle Mariners,Y,
CHH,Chicago Whales,N,
BWW,Brooklyn Ward's Wonders,N,
RIC,Richmond Virginians,N,
SLI,St. Louis Terriers,N,
CLS,Columbus Solons,N,
WST,Washington Statesmen,N,
BLT,Baltimore Terrapins,N,
ALT,Altoona Mountain City,N,
CPI,Chicago/Pittsburgh (Union League),N,
CHP,Chicago Pirates,N,
SNA,St. Louis Brown Stockings,NA,SBS
BFB,Buffalo Bisons,N,
MLG,Milwaukee Grays,N,
NEW,Newark Pepper,N,
WIL,Wilmington Quicksteps,N,
NYY,New York Yankees,Y,
SBS,St. Louis Brown Stockings,N,SNA
PNA,Philadelphia Athletics,NA,ATH
IBL,Indianapolis Blues,N,
TEX,Texas Rangers,Y,
MAN,Middletown Mansfields,NA,
LAD,Los Angeles Dodgers,Y,
RES,Elizabeth Resolutes,NA,
KCN,Kansas City Cowboys,N,
IHO,Indianapolis Hoosiers,N,
TRT,Troy Trojans,N,
FLA,Florida Marlins,Y,
COL,Colorado Rockies,Y,
MLA,Milwaukee Brewers,N,
DTN,Detroit Wolverines,N,
HNA,Hartford Dark Blues,NA,HAR
WAS,Washington Senators,N,
WBL,Washington Blue Legs,NA,
WES,Keokuk Westerns,NA,
MIN,Minnesota Twins,Y,
SLM,St. Louis Maroons,N,
BAL,Baltimore Orioles,Y,
BRD,Boston Reds,N,
PHA,Philadelphia Athletics,N,
CNR,Cincinnati Reds,N,
ATH,Philadelphia Athletics,N,PNA
WNA,Washington Nationals,N,
SLR,St. Louis Red Stockings,NA,
OLY,Washington Olympics,NA,
NYM,New York Mets,Y,
WSN,Washington Nationals,Y,
NHV,New Haven Elm Citys,NA,
KEK,Fort Wayne Kekiongas,NA,
SDP,San Diego Padres,Y,
IND,Indianapolis Hoosiers,N,
BOS,Boston Red Sox,Y,
CLE,Cleveland Indians,Y,
BFL,Buffalo Bisons,N,
KCR,Kansas City Royals,Y,
SFG,San Francisco Giants,Y,
PHK,Philadelphia Keystones,N,
SYS,Syracuse Stars,N,
CIN,Cincinnati Reds,Y,
BRS,Boston Reds,N,
NYP,New York Metropolitans,N,
CBL,Cleveland Blues,N,
TOR,Toronto Blue Jays,Y,
CFC,Cleveland Forest Citys,NA,
CLV,Cleveland Spiders,N,
BTT,Brooklyn Tip-Tops,N,
CBK,Columbus Buckeyes,N,
KCC,Kansas City Cowboys,N,
CEN,Philadelphia Centennials,NA,
CHC,Chicago Cubs,Y,CNA
WOR,Worcester Ruby Legs,N,
DET,Detroit Tigers,Y,
NYU,New York Mutuals,N,NNA
ROC,Rochester Broncos,N,
HOU,Houston Astros,Y,
WNT,Washington Nationals,NA,
ECK,Brooklyn Eckfords,NA,
PRO,Providence Grays,N,
NAT,Washington Nationals,NA,
CNA,Chicago White Stockings,NA,CHC
PIT,Pittsburgh Pirates,Y,
LGR,Louisville Grays,N,
PBB,Pittsburgh Burghers,N,
KCU,Kansas City Cowboys,N,
BLO,Baltimore Orioles,N,
PHQ,Philadelphia Athletics,N,
TOL,Toledo Blue Stockings,N,
ARI,Arizona Diamondbacks,Y,
TRO,Troy Haymakers,NA,
STP,St. Paul Apostles,N,
MIL,Milwaukee Brewers,Y,
WNL,Washington Nationals,N,
PWS,Philadelphia White Stockings,NA,
STL,St. Louis Cardinals,Y,
BRG,Brooklyn Gladiators,N,
OAK,Oakland Athletics,Y,
CHW,Chicago White Sox,Y,
TBD,Tampa Bay Rays,Y,
ROK,Rockford Forest Citys,NA,
