lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
38,acklefr01,,,1937.0,4.0,10.0,USA,WI,Hayward,2002.0,5.0,22.0,USA,MN,Duluth,Fritz,Ackley,,Florian Frederick,,202.0,73.0,L,R,9/21/1963,5/9/1964,,acklefr01,acklefr01,acklf101,acklefr01,acklefr01
47,adamsac01,,,1910.0,3.0,2.0,USA,CA,Willows,2006.0,2.0,26.0,USA,GA,Albany,Ace,Adams,,Ace Townsend,,182.0,70.0,R,R,4/15/1941,4/24/1946,,adamsac01,adamsac01,adama101,adamsac01,adamsac01
69,adamssp02,,,1898.0,6.0,21.0,USA,UT,Layton,1970.0,11.0,24.0,USA,UT,Salt Lake City,Spencer,Adams,,Spencer Dewey,,158.0,69.0,L,R,5/8/1923,10/2/1927,,adamssp02,adamssp02,adams102,adamssp02,adamssp02
77,adducji01,,,1959.0,8.0,9.0,USA,IL,Chicago,,,,,,,Jim,Adduci,,James David,,200.0,77.0,L,L,9/12/1983,7/26/1989,Southern Illinois,adducji01,adducji01,adduj001,adducji01,adducji01
78,addybo01,addybo01m,,1845.0,2.0,,USA,NY,Rochester,1910.0,4.0,9.0,USA,ID,Pocatello,Bob,Addy,,Robert Edward,Magnet,160.0,68.0,L,L,5/6/1871,,,addybo01,addybo01,addyb101,addybo01,addybo01
86,adlesda01,,,1943.0,7.0,15.0,USA,CA,Long Beach,,,,,,,Dave,Adlesh,,David George,,187.0,72.0,R,R,5/12/1963,9/28/1968,,adlesda01,adlesda01,adled101,adlesda01,adlesda01
90,agganha01,,,1929.0,4.0,20.0,USA,MA,Lynn,1955.0,6.0,27.0,USA,MA,Cambridge,Harry,Agganis,,Aristotle George,The Golden Greek,200.0,74.0,L,L,4/13/1954,6/2/1955,,agganha01,agganha01,aggah101,agganha01,agganha01
103,aitchra01,,,1887.0,12.0,5.0,USA,SD,Tyndall,1958.0,9.0,26.0,USA,KS,Columbus,Raleigh,Aitchison,,Raleigh Leonidas,,175.0,71.0,R,L,4/19/1911,6/20/1915,,aitchra01,aitchra01,aitcr101,aitchra01,aitchra01
107,akerfda01,,,1962.0,6.0,12.0,USA,CO,Denver,,,,,,,Darrel,Akerfelds,,Darrel Wayne,,210.0,74.0,R,R,8/1/1986,7/2/1991,Arkansas,akerfda01,akerfda01,akerd001,akerfda01,akerfda01
113,alberbu01,,,1950.0,5.0,4.0,USA,PA,Williamsport,,,,,,,Butch,Alberts,,Francis Burt,,205.0,74.0,R,R,9/7/1978,9/28/1978,Cincinnati,alberbu01,alberbu01,albeb101,alberbu01,alberbu01
