yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1904,CHN,NL,schulfr01,20,,20,20,0,0,0,0,0,0,20,0,0,20,,
1895,CL4,NL,youngcy01,47,,47,47,47,0,0,0,0,0,0,0,0,0,,
1994,ML4,AL,mieskma01,84,69.0,84,80,0,0,0,0,0,0,6,0,80,80,0.0,2.0
1919,WS1,AL,davidcl01,2,,2,2,0,0,0,0,2,0,0,0,0,0,,
1988,BAL,AL,bautijo01,33,0.0,0,33,33,0,0,0,0,0,0,0,0,0,0.0,0.0
1975,ATL,NL,devinad01,5,2.0,5,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0
1894,BRO,NL,griffmi01,108,,108,108,0,0,0,0,0,0,0,107,0,107,,
1984,MON,NL,raineti01,160,158.0,160,160,0,0,0,2,0,0,0,160,0,160,0.0,1.0
2002,BOS,AL,floydcl01,47,44.0,47,26,0,0,0,0,0,0,21,0,6,26,19.0,3.0
2002,BAL,AL,singlch01,136,111.0,136,126,0,0,0,0,0,0,0,126,0,126,0.0,9.0
1980,NYN,NL,maddoel01,130,112.0,130,119,0,0,2,0,115,0,0,3,1,4,0.0,15.0
1917,SLA,AL,prattde01,123,,123,123,0,0,2,119,0,0,0,0,0,0,,
1911,BRO,NL,dahlebi01,1,,1,1,0,0,0,0,0,1,0,0,0,0,,
2010,NYN,NL,santajo01,29,29.0,27,29,29,0,0,0,0,0,0,0,0,0,0.0,0.0
1955,CIN,NL,blackjo02,32,,32,32,32,0,0,0,0,0,0,0,0,0,,
1905,BOS,AL,dinnebi01,31,,31,31,31,0,0,0,0,0,0,0,0,0,,
2001,NYN,NL,whiteri01,55,0.0,52,55,55,0,0,0,0,0,0,0,0,0,0.0,0.0
1949,PHA,AL,valoel01,150,,150,150,0,0,0,0,0,0,150,0,0,150,,
1975,HOU,NL,metzgro01,127,123.0,127,126,0,0,0,0,0,126,0,0,0,0,0.0,2.0
1964,DET,AL,freehbi01,144,,144,144,0,141,1,0,0,0,0,0,0,0,,
1984,SFN,NL,mullifr01,57,30.0,57,54,0,0,0,5,28,28,0,0,0,0,0.0,3.0
1928,PHA,AL,shorebi01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
1989,PIT,NL,robinje01,50,19.0,50,50,50,0,0,0,0,0,0,0,0,0,0.0,0.0
1921,CHA,AL,collied01,139,,139,139,0,0,0,136,0,0,0,0,0,0,,
1888,BSN,NL,hinesmi01,4,,4,4,0,1,0,0,0,0,2,0,1,3,,
1967,CLE,AL,demetdo01,51,,51,51,0,0,0,0,1,0,13,28,1,35,,
1909,CHN,NL,zimmehe01,65,,65,65,0,0,0,31,4,12,0,0,0,0,,
1995,SEA,AL,johnsra05,30,0.0,0,30,30,0,0,0,0,0,0,0,0,0,0.0,0.0
1971,CLE,AL,camillo01,39,,39,39,0,0,0,16,0,23,0,0,0,0,,
2009,FLO,NL,koronjo01,2,2.0,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0
1980,CHN,NL,randlle01,130,118.0,130,121,0,0,0,17,111,0,3,2,0,5,0.0,8.0
2002,CIN,NL,stinnke01,34,27.0,34,30,0,30,0,0,0,0,0,0,0,0,0.0,4.0
1952,SLN,NL,hahnfr01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,
1984,CHA,AL,spillda01,23,0.0,1,22,22,0,0,0,0,0,0,0,0,0,0.0,0.0
1991,SLN,NL,hudlere01,101,48.0,101,67,0,0,12,5,0,0,27,21,11,58,0.0,33.0
1975,PIT,NL,otted01,5,0.0,5,2,0,2,0,0,0,0,0,0,0,0,0.0,4.0
1931,BOS,AL,mcmanma01,17,,17,17,0,0,0,7,11,0,0,0,0,0,,
1938,SLN,NL,shouncl01,40,,40,40,40,0,0,0,0,0,0,0,0,0,,
1885,CHN,NL,ryanji01,3,,3,3,0,0,0,0,0,2,0,1,0,1,,
1923,BRO,NL,wheatza01,98,,98,98,0,0,0,0,0,0,85,0,2,87,,
1990,MON,NL,barnebr01,4,4.0,4,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0
1966,MIN,AL,siebldw01,23,,23,23,23,0,0,0,0,0,0,0,0,0,,
1937,CIN,NL,grissle01,51,,51,51,50,0,0,0,0,0,0,0,0,0,,
1996,CAL,AL,harripe01,11,0.0,0,11,11,0,0,0,0,0,0,0,0,0,0.0,0.0
1952,DET,AL,priddje01,75,,75,75,0,0,0,75,0,0,0,0,0,0,,
1961,CHN,NL,heistal01,109,,109,109,0,0,0,0,0,0,0,99,0,99,,
1946,CLE,AL,hayesfr01,51,,51,51,0,50,0,0,0,0,0,0,0,0,,
1984,BOS,AL,riceji01,159,159.0,159,157,0,0,0,0,0,0,157,0,0,157,2.0,0.0
1961,WS2,AL,sturdto01,15,,15,15,15,0,0,0,0,0,0,0,0,0,,
2006,PIT,NL,marteda01,75,0.0,72,75,75,0,0,0,0,0,0,0,0,0,0.0,0.0
1989,SFN,NL,wilsotr01,14,4.0,14,14,14,0,0,0,0,0,0,0,0,0,0.0,0.0
1960,KC1,AL,kutynma01,51,,51,51,51,0,0,0,0,0,0,0,0,0,,
1879,BSN,NL,orourjo01,72,,72,72,0,0,0,0,0,0,0,70,1,71,,
1963,KC1,AL,monteau01,4,,4,4,4,0,0,0,0,0,0,0,0,0,,
1950,NY1,NL,krameja01,35,,35,35,35,0,0,0,0,0,0,0,0,0,,
1991,SDN,NL,motajo01,17,10.0,17,16,0,0,0,13,0,3,0,0,0,0,0.0,1.0
1983,CAL,AL,curtijo01,37,0.0,0,37,37,0,0,0,0,0,0,0,0,0,0.0,0.0
1891,CHN,NL,merribi01,11,,11,11,0,11,1,0,0,0,0,0,0,0,,
1930,DET,AL,greenha01,1,,1,1,0,0,0,0,0,0,0,0,0,0,,
1901,BOS,AL,wintege01,28,,28,28,28,0,0,0,0,0,0,0,0,0,,
1994,MON,NL,aloumo01,107,106.0,107,106,0,0,0,0,0,0,63,0,45,106,0.0,1.0
1941,NY1,NL,hadlebu01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
2008,TEX,AL,vazqura01,105,77.0,105,99,0,0,1,11,70,26,0,0,0,0,0.0,15.0
2003,OAK,AL,mcmilbi01,66,35.0,66,39,0,0,3,0,0,0,36,0,1,37,8.0,29.0
1904,BRO,NL,koukajo01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,
1903,SLA,AL,powelja01,40,,40,40,38,0,0,0,0,0,0,0,0,0,,
1920,PIT,NL,adamsba01,35,,35,35,35,0,0,0,0,0,0,0,0,0,,
2010,LAN,NL,taschja01,3,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
1960,CHN,NL,schular01,12,,12,12,0,0,1,0,0,0,4,0,0,4,,
1974,HOU,NL,metzgro01,143,143.0,143,143,0,0,0,0,0,143,0,0,0,0,0.0,0.0
1929,CIN,NL,shanewa01,13,,13,13,0,0,8,0,0,0,2,0,0,2,,
2010,TBA,AL,navardi01,48,36.0,48,46,0,46,0,0,0,0,0,0,0,0,0.0,4.0
1997,DET,AL,pughti01,2,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0
1918,BOS,AL,leonadu01,16,,16,16,16,0,0,0,0,0,0,0,0,0,,
1883,DTN,NL,houcksa01,101,,101,101,0,0,0,0,0,101,0,0,0,0,,
1972,SDN,NL,kendafr01,91,,91,91,0,82,1,0,0,0,0,0,0,0,,
1952,BSN,NL,torgeea01,122,,122,122,0,0,105,0,0,0,2,0,3,5,,
2000,ANA,AL,erstada01,157,156.0,157,136,0,0,3,0,0,0,112,30,0,136,20.0,1.0
2000,BAL,AL,morame01,53,52.0,53,53,0,0,0,1,0,52,0,0,0,0,0.0,0.0
1954,PIT,NL,smithdi01,12,,12,12,0,0,0,0,9,0,0,0,0,0,,
1977,ATL,NL,beardmi01,4,0.0,4,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0
1930,CLE,AL,hardeme01,36,,36,36,36,0,0,0,0,0,0,0,0,0,,
1994,CIN,NL,boonebr01,108,101.0,108,107,0,0,0,106,2,0,0,0,0,0,0.0,3.0
1992,MON,NL,caldeiv01,48,45.0,48,46,0,0,0,0,0,0,46,0,0,46,0.0,3.0
1994,CIN,NL,fernato01,104,98.0,104,104,0,0,0,5,93,9,0,0,0,0,0.0,5.0
1931,BSN,NL,sherdbi01,27,,27,27,27,0,0,0,0,0,0,0,0,0,,
1890,CL6,AA,eastehe01,58,,58,58,0,0,0,0,0,58,0,0,0,0,,
1873,ELI,NA,swandma01,2,,2,2,0,0,2,0,0,0,0,0,0,0,,
2012,CHA,AL,riosal01,157,156.0,157,156,0,0,0,0,0,0,0,0,156,156,0.0,1.0
1958,CHN,NL,gablega01,3,,3,3,0,0,0,0,0,0,0,0,0,0,,
1929,PHA,AL,millebi02,147,,147,147,0,0,0,0,0,0,9,4,133,145,,
1969,SE1,AL,pattima01,39,,39,39,34,0,0,0,0,0,0,0,0,0,,
1961,WS2,AL,burnspe01,33,,33,33,33,0,0,0,0,0,0,0,0,0,,
1998,FLO,NL,jacksry01,111,62.0,111,72,0,0,44,0,0,0,10,0,23,32,5.0,38.0
1968,NYA,AL,robinbi02,107,,107,107,0,0,0,0,0,0,6,51,44,98,,
2001,MON,NL,urbinug01,45,0.0,42,45,45,0,0,0,0,0,0,0,0,0,0.0,0.0
1997,CIN,NL,sandede02,115,111.0,115,113,0,0,0,0,0,0,37,77,0,113,0.0,4.0
1972,CHA,AL,allendi01,148,,148,148,0,0,143,0,2,0,0,0,0,0,,
1922,CHN,NL,weisbu01,2,,2,2,0,0,0,0,0,0,0,0,0,0,,
1957,ML1,NL,trowbbo01,32,,32,32,32,0,0,0,0,0,0,0,0,0,,
1934,SLN,NL,daviski01,16,,16,16,0,0,0,0,0,0,0,9,0,9,,
1934,PIT,NL,graceea01,95,,95,95,0,83,1,0,0,0,0,0,0,0,,
1967,CAL,AL,knoopbo01,159,,159,159,0,0,0,159,0,0,0,0,0,0,,
1946,CLE,AL,rossdo01,55,,55,55,0,0,0,0,41,0,0,0,2,2,,
1906,PHI,NL,gleaski01,135,,135,135,0,0,0,135,0,0,0,0,0,0,,
1987,ATL,NL,olwined01,27,0.0,27,27,27,0,0,0,0,0,0,0,0,0,0.0,0.0
1885,BSN,NL,collvbi01,1,,1,1,0,0,0,0,0,0,0,0,1,1,,
1884,CL5,AA,manseto01,23,,23,23,0,0,0,0,0,0,23,0,0,23,,
2000,ANA,AL,karlsc01,6,0.0,0,6,6,0,0,0,0,0,0,0,0,0,0.0,0.0
1999,SFN,NL,deltomi01,14,0.0,14,14,14,0,0,0,0,0,0,0,0,0,0.0,0.0
1997,SEA,AL,blowemi01,68,45.0,68,64,0,0,49,0,10,0,5,0,1,6,0.0,18.0
1883,PHI,NL,harbibi01,73,,73,73,0,7,0,9,5,11,8,36,0,44,,
1981,NYN,NL,backmwa01,26,5.0,26,12,0,0,0,11,1,0,0,0,0,0,0.0,13.0
2007,CLE,AL,westbja01,25,1.0,1,25,25,0,0,0,0,0,0,0,0,0,0.0,0.0
1930,BRO,NL,mossra01,36,,36,36,36,0,0,0,0,0,0,0,0,0,,
1931,BOS,AL,sweenbi03,131,,131,131,0,0,124,0,0,0,0,0,0,0,,
2008,FLO,NL,treanma01,65,60.0,65,65,0,65,0,0,0,0,0,0,0,0,0.0,0.0
1971,CHN,NL,kessido01,155,,155,155,0,0,0,0,0,154,0,0,0,0,,
2005,MIN,AL,hunteto01,98,97.0,98,93,0,0,0,0,0,0,0,93,0,93,5.0,1.0
1919,PIT,NL,bigbeca01,125,,125,125,0,0,0,0,0,0,50,75,0,124,,
1971,ATL,NL,priddbo01,40,,40,40,40,0,0,0,0,0,0,0,0,0,,
1910,SLN,NL,corrifr01,30,,30,30,30,0,0,0,0,0,0,0,0,0,,
1960,CHN,NL,ricede01,18,,18,18,0,18,0,0,0,0,0,0,0,0,,
1882,BL2,AA,waittch01,72,,72,72,0,0,0,0,0,0,60,0,12,72,,
1962,LAN,NL,drysddo01,43,,43,43,43,0,0,0,0,0,0,0,0,0,,
1917,NY1,NL,roberda01,142,,142,142,0,0,0,0,0,0,0,1,140,140,,
1995,LAN,NL,parrajo01,8,0.0,8,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0
1976,PIT,NL,dilonmi01,16,3.0,16,3,0,0,0,0,0,0,1,2,0,3,0.0,4.0
1962,CLE,AL,alvisma01,12,,12,12,0,0,0,0,12,0,0,0,0,0,,
1978,TOR,AL,bosetri01,136,135.0,136,135,0,0,0,0,0,0,0,135,0,135,0.0,0.0
1992,NYN,NL,gallada01,98,34.0,98,76,0,0,0,0,0,0,22,13,48,76,0.0,36.0
1895,PHI,NL,lampehe01,7,,7,7,7,0,0,0,0,0,0,0,0,0,,
1971,DET,AL,seelbch01,5,,5,5,5,0,0,0,0,0,0,0,0,0,,
1975,BAL,AL,palmeji01,39,0.0,0,39,39,0,0,0,0,0,0,0,0,0,0.0,0.0
1982,BOS,AL,denmabr01,9,0.0,0,9,9,0,0,0,0,0,0,0,0,0,0.0,0.0
1985,ML4,AL,readyra01,48,45.0,48,46,0,0,0,3,7,0,36,0,3,37,1.0,2.0
2007,HOU,NL,whiteri01,23,0.0,20,23,23,0,0,0,0,0,0,0,0,0,0.0,0.0
1935,CLE,AL,carsoki01,16,,16,16,0,0,0,0,0,0,0,0,4,4,,
1949,CHA,AL,kuzavbo01,29,,29,29,29,0,0,0,0,0,0,0,0,0,,
1976,CIN,NL,flynndo01,93,52.0,93,91,0,0,0,54,24,20,0,0,0,0,0.0,1.0
1933,WS1,AL,sewellu01,141,,141,141,0,141,0,0,0,0,0,0,0,0,,
1939,BRO,NL,caseyhu01,40,,40,40,40,0,0,0,0,0,0,0,0,0,,
1944,CHN,NL,hughero01,126,,126,126,0,0,0,0,66,52,0,0,0,0,,
1998,MON,NL,batismi01,56,13.0,51,56,56,0,0,0,0,0,0,0,0,0,0.0,0.0
1875,NH1,NA,ryanjo01,37,,37,37,10,4,0,0,0,1,30,0,0,30,,
2003,SLN,NL,simonja01,48,14.0,46,46,46,0,0,0,0,0,0,0,0,0,0.0,0.0
1980,HOU,NL,forscke01,32,32.0,32,32,32,0,0,0,0,0,0,0,0,0,0.0,0.0
1917,NYA,AL,nunamle01,104,,104,104,0,91,0,0,0,0,0,0,0,0,,
2002,KCA,AL,mayda02,30,2.0,2,30,30,0,0,0,0,0,0,0,0,0,0.0,0.0
1919,CHN,NL,kildupe01,31,,31,31,0,0,0,8,14,7,0,0,0,0,,
2000,DET,AL,gonzaju03,115,114.0,115,66,0,0,0,0,0,0,0,0,66,66,48.0,1.0
1904,DET,AL,bevilmo01,54,,54,54,0,30,24,0,0,0,0,0,0,0,,
1994,SDN,NL,beanbi01,84,20.0,84,53,0,0,16,0,0,0,17,7,15,39,0.0,35.0
1998,SLN,NL,eversbr01,8,0.0,8,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0
1983,NYN,NL,allenne01,21,4.0,21,21,21,0,0,0,0,0,0,0,0,0,0.0,0.0
1919,BSN,NL,whitesa01,1,,1,1,0,1,0,0,0,0,0,0,0,0,,
1934,DET,AL,crowdal01,9,,9,9,9,0,0,0,0,0,0,0,0,0,,
1959,CHA,AL,raymocl01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
2011,TEX,AL,tomkobr01,8,0.0,1,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0
1983,NYN,NL,darliro01,5,5.0,5,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0
1957,SLN,NL,mcdanli01,31,,31,31,30,0,0,0,0,0,0,0,0,0,,
2010,MIN,AL,pavanca01,32,32.0,2,32,32,0,0,0,0,0,0,0,0,0,0.0,0.0
1991,ML4,AL,ignasmi01,4,0.0,0,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0
2009,CHN,NL,dempsry01,31,30.0,30,31,31,0,0,0,0,0,0,0,0,0,0.0,0.0
2006,CHA,AL,riskeda01,33,0.0,4,33,33,0,0,0,0,0,0,0,0,0,0.0,0.0
2001,NYN,NL,leiteal01,29,27.0,27,29,29,0,0,0,0,0,0,0,0,0,0.0,0.0
1973,PIT,NL,ziskri01,103,,103,103,0,0,0,0,0,0,22,0,65,84,,
1936,SLN,NL,martipe01,143,,143,143,1,0,0,0,15,0,0,3,124,127,,
1922,PIT,NL,adamsba01,27,,27,27,27,0,0,0,0,0,0,0,0,0,,
1973,CHA,AL,kellypa01,144,,144,144,0,0,0,0,0,0,0,3,138,141,,
1989,CLE,AL,olinst01,25,0.0,0,25,25,0,0,0,0,0,0,0,0,0,0.0,0.0
1942,PHA,AL,chrisru01,30,,30,30,30,0,0,0,0,0,0,0,0,0,,
1992,DET,AL,pettiga01,48,45.0,48,46,0,0,0,0,0,0,0,46,0,46,0.0,1.0
1998,ARI,NL,delluda01,124,103.0,124,117,0,0,0,0,0,0,95,19,15,117,0.0,15.0
1963,NYN,NL,bautaed01,9,,9,9,9,0,0,0,0,0,0,0,0,0,,
1887,BR3,AA,greered01,91,,91,91,0,16,0,0,0,0,76,0,0,76,,
1984,MIN,AL,castibo01,10,0.0,0,10,10,0,0,0,0,0,0,0,0,0,0.0,0.0
1942,DET,AL,wilsoja01,9,,9,9,9,0,0,0,0,0,0,0,0,0,,
2003,CIN,NL,castrju01,113,83.0,113,107,0,0,1,56,30,24,0,0,0,0,0.0,10.0
1907,CHA,AL,tannele01,33,,33,33,0,0,0,0,31,2,0,0,0,0,,
2000,HOU,NL,biggicr01,101,100.0,101,101,0,0,0,101,0,0,0,0,0,0,0.0,1.0
1984,PHI,NL,wilsogl01,132,79.0,132,112,0,0,0,0,4,0,92,3,18,109,0.0,24.0
1942,PHA,AL,valoel01,133,,133,133,0,0,0,0,0,0,1,1,120,122,,
1985,CAL,AL,polidgu01,2,0.0,2,2,0,0,0,0,0,1,0,0,1,1,0.0,0.0
