playerid,yearid,stint,glf,gcf,grf
rosenla01,1940,1,68.0,15.0,11.0
beardte01,1950,1,1.0,21.0,27.0
howarde01,1907,2,0.0,3.0,6.0
mcginjo01,1899,1,1.0,0.0,1.0
janowvi01,1954,1,1.0,0.0,0.0
tayloja01,1896,1,0.0,1.0,1.0
veachbo01,1925,3,4.0,0.0,7.0
veachbo01,1919,1,138.0,0.0,0.0
ruthba01,1928,1,55.0,0.0,99.0
mostijo01,1923,1,0.0,135.0,8.0
kesslhe01,1876,1,0.0,2.0,14.0
conwape01,1885,1,0.0,0.0,2.0
barnibi01,1874,1,0.0,4.0,25.0
mcneeea01,1924,1,0.0,42.0,2.0
hollibu01,1894,1,109.0,5.0,8.0
evansst01,1915,2,0.0,0.0,88.0
wilsoch01,1912,1,0.0,87.0,69.0
bellfe01,1939,1,15.0,46.0,7.0
chambel01,1892,1,0.0,0.0,1.0
gleaski01,1895,1,4.0,0.0,0.0
grigsde01,1925,1,21.0,15.0,3.0
marsaar01,1917,2,0.0,25.0,0.0
kellyre01,1910,1,0.0,0.0,14.0
dorseje02,1911,1,0.0,1.0,0.0
nelsoca01,1872,1,0.0,3.0,0.0
adamssp01,1923,1,0.0,0.0,1.0
cravebi01,1873,1,0.0,7.0,0.0
cuyleki01,1926,1,62.0,79.0,18.0
smithbo02,1925,1,0.0,1.0,0.0
barneed01,1916,1,20.0,20.0,0.0
kellyki01,1879,1,0.0,2.0,27.0
rosemch01,1887,3,0.0,0.0,1.0
eastepa01,1938,1,0.0,1.0,0.0
gedneco01,1875,1,67.0,0.0,1.0
schweal01,1911,1,9.0,8.0,51.0
durstce01,1923,1,4.0,5.0,1.0
clintji01,1874,1,0.0,1.0,0.0
willite01,1950,1,86.0,0.0,0.0
sheckji01,1902,2,0.0,4.0,0.0
lindejo01,1948,1,72.0,1.0,7.0
manseto01,1884,2,23.0,0.0,0.0
shubage01,1953,1,43.0,0.0,1.0
spalddi01,1928,1,8.0,0.0,3.0
wilmowa01,1888,1,119.0,0.0,0.0
flemito01,1899,1,0.0,22.0,0.0
doughpa01,1904,1,49.0,0.0,0.0
cullero01,1942,3,0.0,0.0,19.0
miggila01,1952,1,23.0,0.0,2.0
schulfr01,1913,1,1.0,0.0,129.0
thomafr03,1952,1,0.0,5.0,0.0
wanerpa01,1929,1,0.0,0.0,143.0
fisheto01,1904,1,0.0,6.0,0.0
powelja03,1940,1,3.0,2.0,2.0
ruckejo01,1946,1,0.0,50.0,6.0
eganji01,1882,1,2.0,16.0,0.0
clackbo01,1874,1,1.0,30.0,0.0
finnelo01,1942,1,3.0,1.0,92.0
burkeje01,1891,1,6.0,2.0,35.0
zettlge01,1876,1,0.0,1.0,0.0
derryru01,1945,1,10.0,44.0,15.0
cobbty01,1919,1,0.0,123.0,0.0
peelho01,1934,1,0.0,8.0,2.0
smithja03,1929,1,2.0,4.0,3.0
evansja01,1884,1,23.0,0.0,53.0
barrysh01,1907,1,0.0,0.0,81.0
woodlge01,1943,1,0.0,1.0,5.0
adamsbu01,1943,1,0.0,6.0,0.0
nolanth01,1884,1,0.0,1.0,3.0
shankho01,1916,1,72.0,3.0,13.0
durbiki01,1908,1,0.0,11.0,0.0
coumbfr01,1921,1,0.0,0.0,1.0
hafeybu01,1936,1,0.0,18.0,10.0
gessldo01,1906,2,0.0,19.0,2.0
gumbead01,1888,1,1.0,0.0,1.0
williar01,1902,1,4.0,0.0,22.0
bondto01,1884,2,0.0,1.0,1.0
roweja01,1881,1,0.0,1.0,4.0
bladera01,1923,1,81.0,1.0,3.0
healyfr01,1934,1,0.0,0.0,1.0
humphal01,1911,1,0.0,7.0,1.0
frazijo01,1947,1,0.0,0.0,5.0
