playerid,awardid,yearid,lgid,tie,notes
koufasa01,Hutch Award,1966,ML,,
oneilst01,Baseball Magazine All-Star,1921,ML,,C
walkela01,Gold Glove,1993,NL,,OF
jeterde01,Lou Gehrig Memorial Award,2010,ML,,
fonsele01,Baseball Magazine All-Star,1929,AL,,1B
gehrich01,Baseball Magazine All-Star,1936,ML,,2B
kurowwh01,Baseball Magazine All-Star,1946,NL,,3B
maddugr01,Cy Young Award,1993,NL,,
alexape01,Baseball Magazine All-Star,1925,NL,,P2
foxxji01,Most Valuable Player,1933,AL,,
bollifr01,Gold Glove,1958,AL,,2B
simmoal01,Baseball Magazine All-Star,1931,AL,,LF
stephve01,Baseball Magazine All-Star,1944,AL,,SS
izturce01,Gold Glove,2004,NL,,SS
burksel01,TSN All-Star,1990,AL,,OF
kellyge01,Baseball Magazine All-Star,1921,NL,,1B
pinsova01,Gold Glove,1961,NL,,OF
greenha01,Baseball Magazine All-Star,1935,AL,,1B
koufasa01,TSN All-Star,1966,NL,,P
roberro01,TSN All-Star,1953,ML,,P
cobbty01,Baseball Magazine All-Star,1917,AL,,OF
stanlmi02,TSN All-Star,1993,AL,,C
perezto01,Lou Gehrig Memorial Award,1980,ML,,
gehrilo01,Baseball Magazine All-Star,1934,ML,,1B
edmonji01,Gold Glove,2002,NL,,OF
glavito02,TSN All-Star,1998,NL,,LHP
robinja02,TSN All-Star,1950,ML,,2B
brosisc01,Gold Glove,1999,AL,,3B
parneme01,TSN All-Star,1949,ML,,P
dropowa01,TSN All-Star,1950,ML,,1B
garvest01,Gold Glove,1977,NL,,1B
willima04,TSN All-Star,1993,NL,,3B
suzukic01,Most Valuable Player,2001,AL,,
applilu01,TSN All-Star,1940,ML,,SS
wertzvi01,Baseball Magazine All-Star,1949,ML,,RF
bondsba01,Gold Glove,1990,NL,,OF
speaktr01,Baseball Magazine All-Star,1918,ML,,OF
venturo01,Gold Glove,1992,AL,,3B
daubeja01,Baseball Magazine All-Star,1914,ML,,1B
bunniji01,TSN All-Star,1964,NL,,P
collied01,Baseball Magazine All-Star,1911,ML,,2B
santibe01,Silver Slugger,1991,NL,,C
boudrlo01,Baseball Magazine All-Star,1946,AL,,SS
wilsoha01,Baseball Magazine All-Star,1929,ML,,CF
boggswa01,Silver Slugger,1989,AL,,3B
deandi01,TSN Guide MVP,1934,NL,,
willima04,Gold Glove,1993,NL,,3B
guidrro01,Gold Glove,1985,AL,,P
tananfr01,TSN All-Star,1976,AL,,LHP
fostege01,Most Valuable Player,1977,NL,,
rolliji01,Gold Glove,2009,NL,,SS
musiast01,Baseball Magazine All-Star,1948,NL,,RF
richabo01,TSN All-Star,1962,AL,,2B
hamptmi01,Silver Slugger,2001,NL,,P
gonzaju03,Silver Slugger,1993,AL,,OF
madlobi01,TSN All-Star,1975,NL,,3B
yountro01,TSN Player of the Year,1982,AL,,
voisebi01,TSN Pitcher of the Year,1944,NL,,
schilcu01,TSN All-Star,2002,NL,,RHP
oneilst01,Baseball Magazine All-Star,1918,AL,,C
grissma02,ALCS MVP,1997,AL,,
fingero01,TSN Fireman of the Year,1981,AL,,
hunteto01,Gold Glove,2004,AL,,OF
hornsro01,Baseball Magazine All-Star,1923,NL,,2B
dickebi01,TSN All-Star,1933,ML,,C
gwynnto01,Roberto Clemente Award,1999,ML,,
coopemo01,TSN Guide MVP,1942,NL,,
griffke02,All-Star Game MVP,1992,ML,,
foxpe01,Baseball Magazine All-Star,1935,AL,,RF
hallaro01,TSN All-Star,2003,AL,,RHP
buhneja01,Gold Glove,1996,AL,,OF
hafeych01,Baseball Magazine All-Star,1929,NL,,LF
furilca01,TSN All-Star,1953,ML,,OF
mattido01,Silver Slugger,1985,AL,,1B
boggswa01,TSN All-Star,1994,AL,,3B
pujolal01,Lou Gehrig Memorial Award,2009,ML,,
simmoal01,TSN All-Star,1927,ML,,OF
belanma01,Gold Glove,1977,AL,,SS
rosepe01,TSN All-Star,1981,NL,,1B
grovele01,Baseball Magazine All-Star,1930,AL,,P4
mazerbi01,TSN All-Star,1960,ML,,2B
johnsra05,Cy Young Award,1999,NL,,
griffke02,Silver Slugger,1996,AL,,OF
carltst01,Cy Young Award,1980,NL,,
mantlmi01,Gold Glove,1962,AL,,OF
sheffga01,Silver Slugger,2004,AL,,OF
mathech01,Pitching Triple Crown,1908,NL,,
whitalo01,Gold Glove,1983,AL,,2B
gehrich01,Baseball Magazine All-Star,1932,ML,,2B
helmsto01,Gold Glove,1970,NL,,2B
seaveto01,TSN Pitcher of the Year,1969,NL,,
mcdowja01,TSN Pitcher of the Year,1993,AL,,
greenha01,Most Valuable Player,1935,AL,,
rodriiv01,Silver Slugger,1998,AL,,C
beltrca01,Rookie of the Year,1999,AL,,
suttodo01,Lou Gehrig Memorial Award,1976,ML,,
jackstr01,Baseball Magazine All-Star,1927,ML,,SS
bondsba01,Hank Aaron Award,2001,NL,,OF
lasorto01,Branch Rickey Award,2006,ML,,
garcino01,TSN All-Star,1999,AL,,SS
wagneho01,Baseball Magazine All-Star,1911,ML,,SS
duganjo01,Baseball Magazine All-Star,1924,AL,,3B
roushed01,Baseball Magazine All-Star,1924,NL,,CF
coneda01,TSN All-Star,1994,AL,,RHP
turlebo01,Cy Young Award,1958,ML,,
fingero01,TSN Fireman of the Year,1978,NL,,
dickebi01,Baseball Magazine All-Star,1937,AL,,C
hafeych01,Baseball Magazine All-Star,1928,NL,,OF
maricju01,All-Star Game MVP,1965,ML,,
chaveer01,Gold Glove,2005,AL,,3B
jacksre01,TSN All-Star,1969,AL,,OF
kubekto01,TSN All-Star,1961,AL,,SS
saberbr01,TSN Pitcher of the Year,1989,AL,,
musiast01,TSN All-Star,1958,ML,,1B
speaktr01,Baseball Magazine All-Star,1910,AL,,CF
coombja01,Baseball Magazine All-Star,1911,AL,,P5
templga01,TSN All-Star,1977,NL,,SS
schilcu01,Branch Rickey Award,2001,ML,,
johnsda02,Gold Glove,1969,AL,,2B
strawda01,Silver Slugger,1988,NL,,OF
grimebu01,Baseball Magazine All-Star,1921,NL,,P1
crowdal01,TSN All-Star,1933,ML,,P
sandbry01,TSN All-Star,1988,NL,,2B
tenacge01,Babe Ruth Award,1972,AL,,C
vanslan01,Gold Glove,1990,NL,,OF
mattido01,Gold Glove,1986,AL,,1B
spahnwa01,Baseball Magazine All-Star,1947,NL,,P3
elliobo01,TSN All-Star,1948,ML,,3B
whitalo01,Gold Glove,1985,AL,,2B
wheatza01,Baseball Magazine All-Star,1918,NL,,OF
maddugr01,TSN Pitcher of the Year,1995,NL,,
brownji03,Baseball Magazine All-Star,1942,NL,,2B
wrighda03,TSN All-Star,2006,NL,,3B
biggicr01,Silver Slugger,1994,NL,,2B
cochrmi01,TSN All-Star,1928,ML,,C
francju01,All-Star Game MVP,1990,ML,,
griffke02,TSN Major League Player of the Year,1997,ML,,
medwijo01,Baseball Magazine All-Star,1937,ML,,LF
pearsal02,Rookie of the Year,1958,AL,,
caminke01,Most Valuable Player,1996,NL,,
dimagjo01,TSN Guide MVP,1941,AL,,
killeha01,Most Valuable Player,1969,AL,,
winfida01,Silver Slugger,1992,AL,,DH
sandbry01,TSN All-Star,1991,NL,,2B
rommeed01,TSN All-Star,1925,ML,,P
simmoal01,Baseball Magazine All-Star,1933,ML,,LF
stonest01,TSN All-Star,1980,AL,,RHP
santajo01,Cy Young Award,2006,AL,,
glavito02,Babe Ruth Award,1995,NL,,P
castijo01,Rookie of the Year,1979,AL,Y,
davenji01,Gold Glove,1962,NL,,3B
clarkfr01,Baseball Magazine All-Star,1909,NL,,LF
santajo01,Gold Glove,2007,AL,,P
blackew01,Baseball Magazine All-Star,1947,NL,,P1
larkiba01,Silver Slugger,1999,NL,,SS
mayswi01,All-Star Game MVP,1963,ML,,
