playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
justida01,1990,1,ATL,NL,127,127.0,439.0,76.0,124.0,23.0,2.0,28.0,78.0,11.0,6.0,64.0,92.0,4.0,0.0,0.0,1.0,2.0,127.0
weavesa01,1878,1,ML2,NL,48,48.0,170.0,15.0,34.0,4.0,1.0,0.0,3.0,,,11.0,14.0,,,,,,48.0
burnsto01,1890,1,CHN,NL,139,139.0,538.0,86.0,149.0,17.0,6.0,5.0,86.0,44.0,,57.0,45.0,,2.0,,,,139.0
stephri01,1922,1,CLE,AL,86,86.0,233.0,47.0,79.0,24.0,5.0,2.0,32.0,3.0,0.0,27.0,18.0,,6.0,1.0,,,86.0
beebefr01,1911,1,PHI,NL,12,12.0,19.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,,1.0,2.0,,0.0,0.0,,,12.0
strawda01,1996,1,NYA,AL,63,63.0,202.0,35.0,53.0,13.0,0.0,11.0,36.0,6.0,5.0,31.0,55.0,5.0,1.0,0.0,3.0,3.0,63.0
diehler01,1906,1,BSN,NL,3,3.0,11.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,3.0
kreutch01,1988,1,TEX,AL,16,16.0,51.0,3.0,14.0,2.0,1.0,1.0,5.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,1.0,16.0
fieldce01,1997,1,NYA,AL,98,98.0,361.0,40.0,94.0,15.0,0.0,13.0,61.0,0.0,0.0,51.0,87.0,3.0,7.0,0.0,6.0,14.0,98.0
skafffr01,1935,1,BRO,NL,6,6.0,11.0,4.0,6.0,1.0,1.0,0.0,3.0,0.0,,0.0,2.0,,0.0,0.0,,1.0,6.0
hamilda02,2001,1,NYN,NL,52,52.0,126.0,15.0,27.0,7.0,1.0,1.0,5.0,3.0,1.0,19.0,20.0,3.0,2.0,2.0,2.0,2.0,52.0
lapoida01,1984,1,SLN,NL,33,33.0,59.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,19.0,0.0,0.0,9.0,1.0,2.0,33.0
kingmbr01,1980,1,OAK,AL,32,0.0,,,,,,,,,,,,,,,,,32.0
ausmubr01,2006,1,HOU,NL,139,139.0,439.0,37.0,101.0,16.0,1.0,2.0,39.0,3.0,1.0,45.0,71.0,2.0,6.0,9.0,3.0,21.0,139.0
bergebo01,1937,1,CHA,AL,52,52.0,130.0,19.0,31.0,5.0,0.0,5.0,13.0,1.0,1.0,15.0,24.0,,1.0,6.0,,,52.0
wangch01,2012,1,WAS,NL,10,,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,
podsesc01,2007,1,CHA,AL,62,62.0,214.0,30.0,52.0,13.0,4.0,2.0,11.0,12.0,5.0,13.0,36.0,0.0,4.0,4.0,0.0,9.0,62.0
busbymi01,1996,1,SLN,NL,1,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
kauffdi01,1915,1,SLA,AL,37,37.0,124.0,9.0,32.0,8.0,2.0,0.0,14.0,0.0,3.0,5.0,27.0,,2.0,2.0,,,37.0
colemra01,1948,2,PHA,AL,68,68.0,210.0,32.0,51.0,6.0,6.0,0.0,21.0,4.0,3.0,31.0,17.0,,0.0,8.0,,11.0,68.0
hackewa01,1885,1,BSN,NL,35,35.0,125.0,8.0,23.0,3.0,0.0,0.0,9.0,,,3.0,22.0,,,,,,35.0
titusjo01,1908,1,PHI,NL,149,149.0,539.0,75.0,154.0,24.0,5.0,2.0,48.0,27.0,,53.0,,,14.0,31.0,,,149.0
nitkocj01,2000,1,DET,AL,67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
zimmehe01,1909,1,CHN,NL,65,65.0,183.0,23.0,50.0,9.0,2.0,0.0,21.0,7.0,,3.0,,,0.0,4.0,,,65.0
soltemo01,1935,2,SLA,AL,127,127.0,552.0,79.0,182.0,39.0,6.0,18.0,104.0,10.0,1.0,34.0,35.0,,0.0,2.0,,,127.0
alvarlu01,1974,3,CLE,AL,61,61.0,114.0,12.0,25.0,2.0,0.0,0.0,12.0,1.0,1.0,6.0,14.0,0.0,0.0,4.0,1.0,3.0,61.0
