territoryid,territorydescription,regionid
33607,Тампа,4
2903,Приведение,1
98052,Редмонд,2
19713,Ньюард,1
7960,Мористон,1
2139,Камбридж,1
6897,Виллтон,1
80909,Колорадо Прессы,2
60601,Чикаго,2
40222,Луисвилл,1
94105,Сан-Франциско,2
8837,Эдисон,1
27403,Грейсборо,1
95008,Кэмпбель,2
1833,Георгий,1
30346,Атланда,4
32859,Орландо,4
95060,Санта-Круз,2
78759,Аустин,4
14450,Файпорт,1
55439,Миннеси́да,3
11747,Мелливи,1
80202,Денвер,2
85014,Феникс,2
20852,Роквидл,1
3049,Холлис,3
53404,Ракин,3
3801,Порт-Симпсон,3
90405,Санта-Моника,2
94025,Менло-парк,2
2116,Бостон,1
95054,Санта-Клара,2
1730,Бедфорд,1
48304,Блумфилд-горы,3
19428,Филадельфия,3
60179,Хофман Власти,2
10019,Нью-Йорк,1
27511,Кари,1
85251,Скоттсвалл,2
75234,Даллас,4
55113,Розефилд,3
98004,Беллвей,2
31406,Саванна,4
72716,Бентонвилл,4
48084,Трои,3
2184,Браintree,1
29202,Колумбия,4
44122,Бейчвуд,3
10038,Нью-Йорк,1
45839,Финлай,3
48075,Южный Филд,3
1581,Вестборн,1
98104,Сиэтл,2
