orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10248,VINET,5,1996-07-04 00:00:00,1996-08-01,1996-07-16 00:00:00,3,32.38,Вина и алкогольные напитки Шевалье,59 улица Аббати,Реймс,,51100,Франция
10249,TOMSP,6,1996-07-05 00:00:00,1996-08-16 00:00:00,10 июля 1996 года,1,11.61,Тому нравятся свои хобби,"Луисенштрассе, 48",Мёнстер,,44087,Германия
10250,HANAR,4,1996-07-08 00:00:00,1996-08-05 00:00:00,12.07.1996 г.,2,65.83,Ханари Карнес,"Улица Хлеба, 67",Рио-де-Жанейро,РЖ,05454-876,Бразилия
10251,VICTE,3,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-15 00:00:00,1,41.34,Ужин готов,"улица Коммерции, 2",Лион,,69004,Франция
10252,SUPRD,4,1996-07-09 00:00:00,1996-08-06 00:00:00,1996-07-11 00:00:00,2,51.3,Сверхделыси,"Бульвар Тиру, 255",Шарлеруа,,Б-6000,Бельгия
10253,HANAR,3,10 июля 1996 года,1996-07-24 00:00:00,1996-07-16 00:00:00,2,58.17,Ханари Карнес,"Улица Хлеба, 67",Рио-де-Жанейро,РЖ,05454-876,Бразилия
10254,CHOPS,5,1996-07-11 00:00:00,1996-08-08 00:00:00,1996-07-23 00:00:00,2,22.98,Чоп-Сьюй,"Главная улица, 31",Берн,,3012,Швейцария
10255,RICSU,9,12.07.1996 г.,1996-08-09 00:00:00,1996-07-15 00:00:00,3,148.33,Ричтер Супермаркет,Старенвег 5,Женева,,1204,Швейцария
10256,WELLI,3,1996-07-15 00:00:00,1996-08-12 00:00:00,1996-07-17 00:00:00,2,13.97,Уэллингтон Импортадора,"Руа да Маркио, 12",Резенде,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",08737-363,Бразилия
10257,HILAA,4,1996-07-16 00:00:00,13.08.1996 г.,1996-07-22 00:00:00,3,81.91,Хиларион-Абастос,Каррера 22 кон Авенида Карлос Соублете #8-35,Сан-Кристобаль,Чира,5022,Венесуэла
10258,ERNSH,1,1996-07-17 00:00:00,14.08.1996 г. 00:00:00,1996-07-23 00:00:00,1,140.51,Эрнст Хандель,Киршгассе 6,Граз,,8010,Австрия
10259,CENTC,4,1996-07-18 00:00:00,1996-08-15 00:00:00,1996-07-25 00:00:00,3,3.25,Монтеркса Центр,Сьерра-де-Гранада 9993,Мексика ДФ,,5022,Мексика
10260,OTTIK,4,19.07.1996 г.,1996-08-16 00:00:00,1996-07-29 00:00:00,1,55.09,Оффилис Кселаден,"Меерхаймерштрассе, 369",Клин,,50739,Германия
10261,QUEDE,4,19.07.1996 г.,1996-08-16 00:00:00,1996-07-30 00:00:00,2,3.05,Кэ Дэльция,"Улица Пекариу, 12",Рио-де-Жанейро,РЖ,02389-673,Бразилия
10262,RATTC,8,1996-07-22 00:00:00,1996-08-19 00:00:00,1996-07-25 00:00:00,3,48.29,Магазин «Гусеничная долина»,2817 Мильтон-драйв,Альбукерке,НМ,87110,США
10263,ERNSH,9,1996-07-23 00:00:00,1996-08-20 00:00:00,31.07.1996 г.,3,146.06,Эрнст Хандель,Киршгассе 6,Граз,,8010,Австрия
10264,FOLKO,6,1996-07-24 00:00:00,1996-08-21 00:00:00,1996-08-23 00:00:00,3,3.67,Фолк и фб,Керган 24,Брке,,С-844/67,Швеция
10265,BLONP,2,1996-07-25 00:00:00,1996-08-22 00:00:00,1996-08-12 00:00:00,1,55.28,Блондел и сын,24-е место Клебера,Страсбург,,67000,Франция
10266,WARTH,3,1996-07-26 00:00:00,1996-09-06 00:00:00,31.07.1996 г.,3,25.73,Вартиан Херку,"Торикату, 38",Улу,,90110,Финляндия
10267,FRANK,4,1996-07-29 00:00:00,1996-08-26 00:00:00,1996-08-06 00:00:00,1,208.58,Франкенверсанд,"Берлинер Плац, дом 43",Мюнхен,,80805,Германия
10268,GROSR,8,1996-07-30 00:00:00,1996-08-27 00:00:00,1996-08-02T00:00:00,3,66.29,Гроселла-Ресторан,"5-я авеню, Лос-Палос-Грандес",Каркасас,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваш вопрос или просьбу, и я постараюсь помочь вам.",1081,Венесуэла
10269,WHITC,5,31.07.1996 г.,14.08.1996 г. 00:00:00,1996-08-09 00:00:00,1,4.56,Белый Кловер Маркетс,1029 - 12-я авеню ЮЗ,Сиэтл,ВA,98124,США
10270,WARTH,1,1996-08-01,1996-08-29 00:00:00,1996-08-02T00:00:00,1,136.54,Вартиан Херку,"Торикату, 38",Улу,,90110,Финляндия
10271,SPLIR,6,1996-08-01,1996-08-29 00:00:00,1996-08-30 00:00:00,2,4.54,"Пивоварня ""Разбитая колючка""",П.О. Бокс 555,Ландер,В,82520,США
10272,RATTC,6,1996-08-02T00:00:00,1996-08-30 00:00:00,1996-08-06 00:00:00,2,98.03,Магазин «Гусеничная долина»,2817 Мильтон-драйв,Альбукерке,НМ,87110,США
10273,QUICK,3,1996-08-05 00:00:00,1996-09-02 00:00:00,1996-08-12 00:00:00,3,76.07,Быстрый-остановка,"Тауэрштрассе, 10",Куневальде,,1307,Германия
10274,VINET,6,1996-08-06 00:00:00,1996-09-03 00:00:00,1996-08-16 00:00:00,1,6.01,Вина и алкогольные напитки Шевалье,59 улица Аббати,Реймс,,51100,Франция
10275,MAGAA,1,1996-08-07 00:00:00,1996-09-04 00:00:00,1996-08-09 00:00:00,1,26.93,Риуниты снабженные склады,Вия Лудовико Ил Мора 22,Бергамо,,24100,Италия
10276,TORTU,8,1996-08-08 00:00:00,1996-08-22 00:00:00,14.08.1996 г. 00:00:00,3,13.84,Тортуга Ресторан,Авда. Азтекас 123,Мексика ДФ,,5033,Мексика
10277,MORGK,2,1996-08-09 00:00:00,1996-09-06 00:00:00,13.08.1996 г.,3,125.77,Морганштайн Здоровье,Heerstraße 22,Лейпциг,,4179,Германия
10278,BERGS,8,1996-08-12 00:00:00,1996-09-09 00:00:00,1996-08-16 00:00:00,2,92.69,Берглундс быстрая кп,Бергувсвген 8,Луле,,С-958-22,Швеция
10279,LEHMS,8,13.08.1996 г.,1996-09-10 00:00:00,1996-08-16 00:00:00,2,25.83,Лехманнское торговое место,Магазинweg 7,Франкфурт-на-Майне,,60528,Германия
10280,BERGS,2,14.08.1996 г. 00:00:00,11.09.1996 г.,1996-09-12T00:00:00,1,8.98,Берглундс быстрая кп,Бергувсвген 8,Луле,,С-958-22,Швеция
10281,ROMEY,4,14.08.1996 г. 00:00:00,1996-08-28 00:00:00,1996-08-21 00:00:00,1,2.94,ромеро и тимьян,"Гран-Ва, 1",Мадрид,,28001,Испания
10282,ROMEY,4,1996-08-15 00:00:00,1996-09-12T00:00:00,1996-08-21 00:00:00,1,12.69,ромеро и тимьян,"Гран-Ва, 1",Мадрид,,28001,Испания
10284,LEHMS,4,1996-08-19 00:00:00,1996-09-16 00:00:00,1996-08-27 00:00:00,1,76.56,Лехманнское торговое место,Магазинweg 7,Франкфурт-на-Майне,,60528,Германия
10285,QUICK,1,1996-08-20 00:00:00,1996-09-17 00:00:00,1996-08-26 00:00:00,2,76.83,Быстрый-остановка,"Тауэрштрассе, 10",Куневальде,,1307,Германия
10288,REGGC,4,1996-08-23 00:00:00,1996-09-20 00:00:00,1996-09-03 00:00:00,1,7.45,Реггианни Кейсифичи,Provincial Road 124,Реггио-Эмилия,,42100,Италия
10292,TRADH,1,1996-08-28 00:00:00,1996-09-25 00:00:00,1996-09-02 00:00:00,2,1.35,Торговый центр Традао,"Аvenue Инс де Кастро, 414",Сан-Паулу,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",05634-030,Бразилия
10293,TORTU,1,1996-08-29 00:00:00,1996-09-26 00:00:00,11.09.1996 г.,3,21.18,Тортуга Ресторан,Авда. Азтекас 123,Мексика ДФ,,5033,Мексика
10294,RATTC,4,1996-08-30 00:00:00,1996-09-27 00:00:00,1996-09-05 00:00:00,2,147.26,Магазин «Гусеничная долина»,2817 Мильтон-драйв,Альбукерке,НМ,87110,США
10295,VINET,2,1996-09-02 00:00:00,1996-09-30 00:00:00,1996-09-10 00:00:00,2,1.15,Вина и алкогольные напитки Шевалье,59 улица Аббати,Реймс,,51100,Франция
10297,BLONP,5,1996-09-04 00:00:00,16.10.1996 г.,1996-09-10 00:00:00,2,5.74,Блондел и сын,24-е место Клебера,Страсбург,,67000,Франция
10299,RICAR,4,1996-09-06 00:00:00,1996-10-04 00:00:00,1996-09-13 00:00:00,2,29.76,Рикардо Адокикадос,"Авеню Копакабана, 267",Рио-де-Жанейро,РЖ,02389-890,Бразилия
10300,MAGAA,2,1996-09-09 00:00:00,1996-10-07 00:00:00,1996-09-18 00:00:00,2,17.68,Риуниты снабженные склады,Вия Лудовико Ил Мора 22,Бергамо,,24100,Италия
10302,SUPRD,4,1996-09-10 00:00:00,1996-10-08 00:00:00,1996-10-09 00:00:00,2,6.27,Сверхделыси,"Бульвар Тиру, 255",Шарлеруа,,Б-6000,Бельгия
