supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Купер,Менеджер по закупкам,49 Гилберт-стрит.,Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,"Новые Орлеаны, каджунская кухня",Шелли Бёрк,Администратор заказа,П.О. ящик 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#CAJUN.HTML#
3,Дом бабушки Келли,Регина Мёрфи,Продажи Представитель,707 Оксфорд-роуд.,Анн-Арбор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токийские трейдеры,Йоси Нагасе,Маркетинговый менеджер,"9-8 Секаимай
Мусаси-но-си",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив сыров ""Лас Кабра""",Антонио дель Валье Саэд,Администратор экспорта,Calle del Rosal 4,Овьедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Майуми Оно,Представитель по маркетингу,"92 Сетсуко
Чёдо-ку",Осака,,545,Япония,(06) 431-7877,,Майуми's (на Веб-сайте)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
7,"Павлова, ООО",Иан Девлинг,Маркетинговый менеджер,"74 ул. Розы
Мунни Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Спецбулки, Лимитед",Питер Уилсон,Продажи Представитель,29 Кингс-вей,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,ПБ Кнебёрд АБ,Ларс Петров,Продавец,"Калоадагатан, 13",Гётеборг,,С-345/67,Швеция,031-987 65 43,031-987 65 91,
10,Рефрескос Американас Лтда,Карлос Диас,Маркетинговый менеджер,Аvenue Американас 12 890,Сан-Паулу,,5442,Бразилия,(11) 555-4640,,
11,Гельи Сварен ГмбХ & Ко. КГ,Петра Винклер,Менеджер продаж,Тиргартенштрасе 5,Берлин,,10785,Германия,(010) 998-45-10,,
12,Плуцер Продуктовые Рынки AG,Мартин Бейн,Международный менеджер по маркетингу,"Богеналлее, дом 51",Франкфурт,,60439,Германия,(069) 992-755,,http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
13,Северо-Восточная рыба торговое общество,Свен Петерсен,Координатор внешних рынков,Фрахмереддер 112а,Куксгевен,,27478,Германия,(047-21) 87-13,(047-21) 87-14,
14,Сыры Фортини Срл,Элио Росси,Продажи Представитель,"Виале Данте, 75",Равенна,,48100,Италия,(0544) 603-23,(0544) 606-03,#Формаггия.ХТМ#
15,Норве́йские Ме́рьеиер,Беат Вилеид,Маркетинговый менеджер,Хатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953-010,,
16,Бигфут Брейкери,Чэрл Сэйлор,Региональный Репрезентативный специалист,Аvenue 3400 - 8-й,Бенд,О,97101,США,(503) 555-9931,,
17,Свевская Сфда АБ,Майкл Бьорн,Продажи Представитель,Броваллавген 231,Стокгольм,,S-123/45,Швеция,08-123 45 67,,
18,Счастливые церковные пения,Гайлин Нодиер,Менеджер продаж,"ул. Французских Бургиньонов, 203",Париж,,75004,Франция,(1) 03.83.00.68,(1) 03-83-00-62,
19,Консервация морепродуктов Новой Англии,Робб Мерчант,Дистрибьюторный агент счетов,"Отдел обработки заказов
Пространство Пола Ревира, 2100",Бостон,М,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Сераркон Лоу, סט. #402",Сингапур,,0512,Сингапур,555-8787,,
21,Лингби-Сильд,Нильс Петерсен,Менеджер продаж,"Лингбюсилд
Фискебаккен 10",Лингби,,2800,Дания,43844108,43844115,
22,Зaanse Снэп Фабрика,Дирк Люхте,Бухгалтерский менеджер,"Продажа
Рейнвейг 22",Заандам,,9999 ЗЗ,Нидерланды,(12345) 12-12,(12345) 1210 /think,
23,Каркки Ои,Анна Хейконен,Продукт-менеджер,Valta 12,Лаппеенранта,,53120,Финляндия,(953) 10956,,
24,Добрый день!,Венди МакКензи,Продажи Представитель,"Парад принца Эдварда, Хантерс Хилл",Сидней,НЮ,2042,Австралия,(02) 555-5914,(02) 555-4873,"Здравствуй, Мэтт (на Веб-сайте)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#"
25,Моя Домашня,Жан-Гийом Ло,Маркетинговый менеджер,2960 улица Сен-Лоран,Монреаль,Квебек,H1J 1C3 /размышлять,Канада,(514) 555-9022,,
26,Паста Буттини с.р.л.,Иван Джудичи,Администратор заказа,"Вия дэ Желсонми, 153",Салерно,,84100,Италия,(089) 65-47-66-5,(089) 654-7667,
27,Углыши новых,Мари Деламар,Менеджер продаж,"22, улица Х. Веро́н",Монсо,,71300,Франция,85.57.00.07,,
28,Птируга,Элиане Ноц,Продажи Представитель,"Бэт. Б 3, улица Альп",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты д'раблы,Чанталь Гюле,Бухгалтерский менеджер,улица Шампань-Элисе,Стье-Хякинта,Квебек,I7O8,Канада,(514) 555-2955,(514) 555-2921,
