targetid,raceid,driverid,win
19382,384,167,0
54384,645,356,0
54633,652,360,0
67297,938,8,0
47107,779,418,0
10991,221,21,0
7159,302,88,0
51911,805,644,0
63929,344,4,0
64614,851,67,0
65927,897,820,0
20203,412,156,0
11236,184,55,0
55752,601,312,0
68069,966,822,0
13888,48,17,0
63466,723,401,0
9701,287,91,0
12120,109,31,0
66487,270,79,0
68219,972,822,1
12434,90,44,0
18938,371,156,0
56878,570,255,0
21939,464,117,0
56640,564,178,0
66628,900,813,0
65050,865,1,0
22273,473,177,0
13823,45,25,0
64388,842,17,0
3241,166,49,0
3311,169,18,0
62417,763,506,0
51402,707,425,0
54399,645,352,0
51947,805,799,0
45071,813,589,0
45041,813,659,0
10808,214,64,0
55229,618,293,0
22311,474,173,0
57218,529,240,0
47077,778,594,0
58706,520,231,0
54519,649,235,0
46829,790,496,0
10478,251,93,0
52822,688,370,0
53937,620,314,0
67947,964,154,0
64743,854,18,0
67584,949,18,0
11309,187,64,0
5230,233,73,0
4411,197,75,0
48441,731,386,0
58828,524,223,0
19728,396,145,0
12381,122,4,0
48734,737,340,0
3438,34,1,1
48102,739,347,0
57474,536,177,0
54417,646,340,0
52927,658,361,0
13904,49,21,0
16274,332,123,0
58421,559,252,0
8247,1,18,1
57433,535,242,0
6991,296,79,0
18967,371,140,0
53169,633,278,0
54153,627,182,0
48797,692,399,0
52756,687,374,0
21357,447,177,0
22881,487,95,0
17570,319,117,0
44992,812,681,0
66967,915,155,0
44366,821,525,0
13184,69,14,0
45102,814,656,0
55959,604,207,0
44673,824,632,0
1542,86,25,0
7150,301,125,0
57574,539,224,0
23184,494,203,0
22395,476,202,0
57197,528,119,0
10992,221,63,0
20222,413,173,0
56977,572,208,0
10613,255,22,0
44300,820,629,0
45360,816,486,0
66704,904,4,0
11499,147,14,0
65090,866,808,0
68326,977,1,0
46114,793,625,0
20207,412,160,0
55003,612,259,0
51459,708,345,0
51974,806,673,0
10412,249,64,0
9661,286,55,0
50260,755,498,0
