constructorresultsid,raceid,constructorid,points,status
12647,581,3,0.0,
13887,526,56,0.0,
3640,326,39,0.0,
13196,547,56,0.0,
591,73,7,13.0,
737,87,3,0.0,
2135,218,24,0.0,
5950,480,25,0.0,
1844,192,3,2.0,
14374,861,5,4.0,
14211,847,10,0.0,
20,19,3,0.0,
4826,403,18,0.0,
15315,957,210,0.0,
321,48,4,2.0,
6436,511,3,15.0,
5524,453,6,4.0,
2341,237,15,0.0,
593,73,3,3.0,
14765,896,1,10.0,
1520,162,20,0.0,
465,61,9,1.0,
2342,237,25,0.0,
13994,344,166,0.0,
2872,278,22,0.0,
2503,251,15,5.0,
11291,670,66,6.0,
12471,599,63,0.0,
10613,727,172,9.0,
4403,377,37,0.0,
3249,305,40,0.0,
12311,616,57,0.0,
5496,451,6,3.0,
6202,495,51,0.0,
15473,972,4,4.0,
472,62,4,10.0,
3135,297,25,0.0,
868,101,6,10.0,
13437,529,64,0.0,
1793,187,20,0.0,
3801,335,41,0.0,
15408,966,9,27.0,
5369,442,25,0.0,
3354,311,1,4.0,
13142,543,63,0.0,
2456,247,27,3.0,
14226,849,1,12.0,
14742,894,131,16.0,
1327,145,17,3.0,
3967,15,3,4.0,
3182,300,29,0.0,
345,50,5,0.0,
2558,255,28,0.0,
5881,476,3,2.0,
6163,493,27,9.0,
15109,936,208,6.0,
11717,643,37,4.0,
2343,237,18,0.0,
2605,259,25,2.0,
12849,586,74,0.0,
205,37,5,0.0,
13843,523,54,0.0,
5106,424,34,0.0,
6113,490,1,6.0,
15162,941,1,2.0,
5401,444,4,0.0,
13279,552,64,0.0,
502,64,2,0.0,
1135,127,16,0.0,
4645,391,33,0.0,
13379,559,25,4.0,
12106,625,32,6.0,
6274,499,57,0.0,
12058,621,1,9.0,
3923,11,23,12.0,
6244,497,45,0.0,
12560,576,6,3.0,
5446,447,32,0.0,
1281,141,1,6.0,
14372,861,3,8.0,
