constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
9963,423,18,0.0,15,15,0
24446,351,164,0.0,11,11,0
9198,374,42,0.0,15,15,0
11149,489,1,5.0,8,8,0
25217,887,1,37.0,6,6,0
20500,708,66,45.0,2,2,3
20810,684,194,3.0,10,10,0
23659,539,59,14.0,7,7,0
11178,491,27,21.0,4,4,0
9459,389,25,0.0,7,7,0
10292,440,21,3.0,7,7,0
26088,914,3,201.0,3,3,0
8448,316,3,93.0,2,2,5
22362,600,66,10.0,6,6,0
8758,15,10,13.0,9,9,0
8537,2,5,3.0,6,6,0
24138,521,54,0.0,13,13,0
26168,928,209,0.0,10,10,0
8481,318,39,0.0,16,16,0
24142,522,27,55.0,2,2,3
9848,415,1,72.0,2,2,3
5728,151,19,5.0,7,7,0
9442,388,6,3.0,3,3,0
23647,538,21,8.0,9,9,0
8702,11,23,126.0,1,1,7
22811,588,26,0.0,16,16,0
147,31,11,14.0,9,9,0
6517,70,8,0.0,11,11,0
26376,941,6,359.0,2,2,3
25761,38,11,0.0,7,7,0
5565,186,1,106.0,1,1,6
9187,373,35,0.0,16,16,0
10948,479,45,3.0,12,12,0
10078,427,52,0.0,16,16,0
6275,103,17,5.0,9,9,0
18854,758,170,14.0,1,1,1
20684,695,192,0.0,11,11,0
2466,228,29,1.0,8,8,0
10402,447,45,2.0,11,11,0
20348,699,184,0.0,12,12,0
22891,562,67,2.0,7,7,0
19554,733,175,0.0,11,11,0
24174,523,61,0.0,17,17,0
11126,488,6,17.0,3,3,1
9964,423,3,4.0,7,7,0
20745,680,191,12.0,1,1,1
21894,620,32,0.0,8,8,0
18888,761,105,0.0,7,7,0
21036,675,191,10.0,7,7,0
10928,478,27,11.0,8,8,0
20123,714,182,0.0,12,12,0
21928,623,82,1.0,9,9,0
703,85,9,27.0,6,6,0
20678,695,176,2.0,7,7,0
19808,720,6,3.0,5,5,0
25606,263,27,0.0,12,12,0
7834,332,25,15.0,5,5,0
19049,748,104,0.0,6,6,0
22192,618,1,55.0,3,3,3
10835,473,25,10.0,8,8,0
8492,318,36,0.0,17,17,0
23355,556,56,11.0,9,9,0
6503,69,7,35.0,6,6,0
8540,2,9,1.5,7,7,0
6146,90,17,0.0,9,9,0
11450,507,54,0.0,12,12,0
19037,747,170,14.0,1,1,1
21360,664,6,5.0,5,5,0
5567,186,18,0.0,11,11,0
22969,566,70,0.0,15,15,0
22056,608,32,31.0,1,1,3
7897,335,21,2.0,9,9,0
11481,509,32,10.0,8,8,0
7852,333,1,118.0,1,1,6
5935,136,16,5.0,7,7,0
10121,430,45,0.0,11,11,0
22337,598,57,0.0,14,14,0
24892,868,3,47.0,7,7,1
10850,474,3,26.0,4,4,0
24029,515,59,0.0,11,11,0
22939,565,37,6.0,5,5,0
3356,295,17,0.0,13,13,0
19932,728,98,0.0,10,10,0
9775,410,3,48.0,1,1,3
10585,458,51,1.0,10,10,0
8642,7,23,96.0,1,1,6
20985,671,190,0.0,13,13,0
6272,103,15,28.0,6,6,0
3409,299,1,58.0,2,2,3
8331,310,17,8.0,6,6,0
25121,878,207,0.0,11,11,0
10502,453,4,0.0,7,7,0
5045,241,22,17.0,1,1,1
5876,131,18,2.0,8,8,0
8877,361,25,7.0,7,7,0
19358,742,174,0.0,9,9,0
10918,478,3,40.0,4,4,0
5266,208,17,0.0,7,7,0
21909,621,1,15.0,1,1,1
5825,126,16,0.0,9,9,0
10227,437,1,24.0,1,1,2
11104,487,25,3.0,10,10,0
9296,380,1,117.0,1,1,9
20832,685,82,0.0,17,17,0
8305,309,6,16.0,4,4,0
5591,188,16,0.0,11,11,0
11305,498,3,9.0,1,1,1
