year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1975,NHL,BOS,12,5,7,0,38,33,209,0,14,54,0,6,52,2
1955,NHL,MTL,10,8,2,0,42,18,159,,,,,,,
1993,NHL,CAL,7,3,4,0,20,23,173,8,5,44,1,6,41,1
1917,NHL,MTL,2,1,1,0,7,10,59,,,,,,,
1937,NHL,BOS,3,0,3,0,3,6,28,,,,,,,
1994,NHL,DET,18,12,6,0,61,44,264,0,22,89,1,14,78,3
1945,NHL,BOS,10,5,5,0,29,29,47,,,,,,,
1982,NHL,MTL,3,0,3,0,2,8,51,0,1,13,0,2,7,0
2006,NHL,VAN,12,5,7,0,21,26,190,4,4,67,0,8,76,0
1936,NHL,TOR,2,0,2,0,1,5,21,,,,,,,
2011,NHL,PHI,11,5,6,0,41,44,225,2,15,42,1,13,47,4
1931,NHL,NYR,7,3,4,0,23,27,98,,,,,,,
1997,NHL,DAL,17,10,7,0,36,32,300,4,10,100,2,11,93,1
1981,NHL,NYR,10,5,5,0,39,42,216,4,13,46,4,11,43,0
1993,NHL,TOR,18,9,9,0,50,47,375,0,22,74,1,13,86,4
1991,NHL,PIT,21,16,5,0,83,63,339,2,25,102,3,13,92,3
1914,NHA,MOW,2,1,1,0,1,4,,,,,,,,
1924,NHL,TRS,2,0,2,0,2,5,21,,,,,,,
2002,NHL,PHI,13,6,7,0,34,33,152,4,5,50,4,9,50,1
1997,NHL,MTL,10,4,6,0,28,32,148,0,6,50,3,9,58,0
1988,NHL,STL,10,5,5,0,35,34,216,6,8,56,,6,38,1
1978,NHL,CHI,4,0,4,0,3,14,45,0,0,9,0,2,11,0
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
2009,NHL,PHO,7,3,4,0,18,26,81,0,6,33,0,8,34,1
1996,NHL,EDM,12,5,7,0,32,37,204,0,8,55,1,10,61,3
1959,NHL,DET,6,2,4,0,16,20,45,,,,,,,
1941,NHL,NYR,6,2,4,0,12,13,60,,,,,,,
1975,WHA,SDM,11,5,6,0,36,39,,,,,,,,
2011,NHL,NAS,10,5,5,0,22,21,92,2,5,41,0,5,35,0
1929,NHL,MTL,6,5,0,1,14,6,100,,,,,,,
1987,NHL,DET,16,9,7,0,69,57,550,0,21,80,,20,104,3
1969,NHL,DET,4,0,4,0,8,16,44,,3,,0,5,,1
1935,NHL,DET,7,6,1,0,24,12,36,,,,,,,
1975,NHL,PIT,3,1,2,0,3,8,25,0,1,13,0,2,9,0
1997,NHL,COL,7,3,4,0,16,19,209,0,5,35,0,7,46,1
1913,NHA,TBS,2,1,1,0,6,2,,,,,,,,
1979,NHL,NYI,21,15,6,0,88,66,550,0,25,96,3,14,88,7
2001,NHL,STL,10,5,5,0,24,19,150,0,9,45,1,5,42,2
2003,NHL,TOR,13,6,7,0,27,28,201,0,6,59,1,6,58,0
1932,NHL,MTL,2,0,1,1,5,8,16,,,,,,,
1930,NHL,NYR,4,2,2,0,8,4,35,,,,,,,
1939,NHL,NYR,12,8,4,0,29,20,137,,,,,,,
1974,NHL,TOR,7,2,5,0,13,21,108,0,4,36,0,5,20,0
1985,NHL,WAS,9,5,4,0,36,24,209,0,9,40,1,7,36,2
1939,NHL,TOR,10,6,4,0,21,19,123,,,,,,,
2009,NHL,CHI,22,16,6,0,78,62,223,8,18,80,2,15,90,4
1964,NHL,TOR,6,2,4,0,14,17,136,,,,,,,
1943,NHL,MTL,9,8,1,0,39,14,102,,,,,,,
2003,NHL,DAL,5,1,4,0,10,19,56,4,4,22,2,6,21,0
1999,NHL,SJS,12,5,7,0,27,37,164,2,10,63,2,13,61,2
1942,NHL,DET,10,8,2,0,36,22,87,,,,,,,
1963,NHL,CHI,7,3,4,0,18,24,129,,,,,,,
2003,NHL,CAL,26,15,11,0,60,53,444,0,15,108,0,21,121,3
1978,NHL,VAN,3,1,2,0,9,15,47,0,2,19,0,4,11,0
1995,NHL,MTL,6,2,4,0,17,19,72,2,3,31,1,8,31,2
1939,NHL,NYA,3,1,2,0,7,9,18,,,,,,,
1925,NHL,MTM,4,2,0,2,8,5,40,,,,,,,
1967,NHL,STL,18,8,10,0,42,50,323,,10,,3,12,,5
1988,NHL,MNS,5,1,4,0,15,23,144,0,3,16,,5,30,1
1979,NHL,NYR,9,4,5,0,21,22,194,0,5,39,2,4,40,1
1930,NHL,BOS,5,2,3,0,13,13,66,,,,,,,
1999,NHL,PHO,5,1,4,0,10,17,75,0,3,19,0,7,27,0
1974,NHL,PIT,9,5,4,0,27,27,126,0,5,32,1,7,36,2
1972,WHA,OTN,5,1,4,0,17,24,,,5,27,0,8,30,0
2007,NHL,NJD,5,1,4,0,12,19,56,0,5,24,1,4,17,0
2010,NHL,BOS,25,16,9,0,81,53,396,4,10,88,1,15,96,4
2008,NHL,NYR,7,3,4,0,11,19,120,2,4,31,1,6,33,0
1984,NHL,BOS,5,2,3,0,17,19,97,0,1,15,0,5,21,0
1927,NHL,MTM,9,5,3,1,12,8,164,,,,,,,
1978,NHL,PIT,7,2,5,0,16,25,84,0,2,28,1,4,19,0
1916,NHA,OT1,2,1,1,0,6,7,,,,,,,,
1974,NHL,STL,2,0,2,0,6,9,56,2,2,6,1,3,10,0
1958,NHL,TOR,12,5,7,0,32,39,173,,,,,,,
1987,NHL,CAL,9,4,5,0,41,36,310,2,12,60,,14,65,4
1928,NHL,TOR,4,2,2,0,8,5,42,,,,,,,
1966,NHL,TOR,12,8,4,0,35,30,150,,,,,,,
1975,NHL,ATF,2,0,2,0,1,3,21,0,0,8,0,0,6,0
1970,NHL,MNS,12,6,6,0,35,42,195,,11,,1,9,,0
1938,NHL,DET,6,3,3,0,16,15,51,,,,,,,
1941,NHL,BOS,5,2,3,0,10,16,30,,,,,,,
2011,NHL,WAS,14,7,7,0,29,30,122,2,7,39,0,6,48,0
1939,NHL,DET,5,2,3,0,11,12,51,,,,,,,
1999,NHL,DET,9,5,4,0,23,19,132,0,10,43,0,5,49,1
2005,NHL,MTL,6,2,4,0,17,15,68,0,6,27,0,6,30,0
1995,NHL,TBL,6,2,4,0,13,26,190,0,3,35,0,10,43,2
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
1949,NHL,MTL,5,1,4,0,7,15,77,,,,,,,
1981,NHL,NYI,19,15,4,0,85,52,458,0,23,77,0,16,84,4
1975,NHL,NYI,13,7,6,0,43,39,247,0,9,49,2,7,60,1
2006,NHL,DAL,7,3,4,0,12,13,104,4,4,40,0,3,38,0
1988,NHL,MTL,21,14,7,0,67,51,456,6,16,97,,9,88,2
1991,NHL,DET,11,4,7,0,29,30,206,0,7,51,0,9,61,3
1976,NHL,MNS,2,0,2,0,3,11,25,0,0,6,0,1,5,0
1978,WHA,NEW,10,5,5,0,39,45,,,,,,,,
1935,NHL,CHI,2,1,1,0,5,7,8,,,,,,,
1926,NHL,MTM,2,0,1,1,1,2,18,,,,,,,
1940,NHL,BOS,11,8,3,0,27,23,81,,,,,,,
1969,NHL,STL,16,8,8,0,46,46,301,,19,,2,12,,2
1976,NHL,LAK,9,4,5,0,35,37,158,0,12,40,2,7,33,0
1982,NHL,STL,4,1,3,0,10,16,116,0,5,22,0,3,23,0
1992,NHL,PIT,12,7,5,0,50,37,200,0,12,52,5,9,61,2
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
1980,NHL,STL,11,5,6,0,42,50,281,4,14,53,3,10,47,0
2008,NHL,CHI,17,9,8,0,54,54,297,6,19,68,1,14,65,1
1989,NHL,CAL,6,2,4,0,24,29,149,6,2,33,1,10,46,2
