playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
mcelhcu01,,,Curtis,McElhinney,,,,74,193,L,20717,62849,mcelhcu01,2007,2011,,,G,1983,5,23,Canada,ON,London,,,,,,
crowlpa01,,,Paul,Crowley,,Paul,,69,182,R,,6421,crowlpa01,,,1975,1975,R,1955,12,26,Canada,QC,Montreal,,,,,,
martifo01,,,Foley,Martin,,Foley Alexander,,68,150,L,,60192,,,,,,C,1901,1,4,Canada,AB,Banff,,,,,,
howsedo01,,,Don,Howse,,Donald Gordon,,72,182,L,13014,6635,howsedo01,1979,1979,,,L,1952,7,28,Canada,NL,Grand Falls,,,,,,
burkema01,,,Marty,Burke,,Martin Alphonsus,,68,160,L,12152,673,burkema01,1927,1937,,,D,1905,1,28,Canada,ON,Toronto,1968,3,7,,,
leduced01,,,Edgar,Leduc,,Edgar,,66,150,L,,,,,,,,L,1888,2,4,Canada,QC,Valleyfield,,,,,,
toneljo01,,,John,Tonelli,,John A.,,73,200,L,11649,5430,toneljo01,1978,1991,1975,1977,L,1957,3,23,Canada,ON,Hamilton,,,,,,
chriske01,,,Keith,Christiansen,,Keith,Huffer,66,155,R,,11894,chriske01,,,1972,1973,C,1944,7,14,USA,MN,International Falls,,,,,,
mackeal01,,,Al,MacKenzie,,Allan,,70,165,R,,8583,mackeal01,,,1973,1973,D,1952,2,2,Canada,ON,Windsor,,,,,,
eccleti01,,,Tim,Ecclestone,,Timothy James,,70,195,R,12532,1530,eccleti01,1967,1977,,,R,1947,9,24,Canada,ON,Toronto,,,,,,
ouelled01,,,Eddie,Ouellette,,Adelard Edward,,69,181,L,13904,20029,ouelled01,1935,1935,,,L,1911,3,9,Canada,ON,Ottawa,,,,,,
mummeha01,,,Harry,Mummery,,Harold,Mum,71,220,L,13798,29890,mummeha01,1917,1922,,,D,1889,8,25,USA,IL,Chicago,1945,12,9,,,
webstjo01,,,John,Webster,,John Robert,Chick,71,160,L,14655,12116,webstjo01,1949,1949,,,C,1920,11,3,Canada,ON,Toronto,,,,,,
hamelhe01,,,Herb,Hamel,,Herbert A.,Hap,71,155,R,12826,22882,hamelhe01,1930,1930,,,R,1904,6,8,Canada,ON,New Hamburg,2001,8,20,Canada,ON,Kitchener
kerrti01,,,Tim,Kerr,,Timothy E.,,75,230,R,10777,2699,kerrti01,1980,1992,,,R,1960,1,5,Canada,ON,Windsor,,,,,,
,mayorbo01c,,Boris,Mayorov,,,,69,158,R,,,mayorbo99c,,,,,L,1938,2,11,Russia,,Moscow,,,,,,
heinzri01,,,Rick,Heinz,,Richard D.,Heinzy,70,165,L,18545,7534,heinzri01,1980,1984,,,G,1955,5,30,Canada,ON,Essex,,,,,,
baraniv01,,,Ivan,Baranka,,,,75,205,L,20978,72680,baraniv01,2007,2007,,,D,1985,5,19,Slovakia,,Ilva,,,,,,
axelspj01,,,P.J.,Axelsson,,Anders Per-Johan,Pebben,73,175,L,11460,15995,axelspj01,1997,2008,,,L,1975,2,26,Sweden,,Kungalv,,,,,,
boninma01,,,Marcel,Bonin,,Marcel Jacques,,70,170,L,12040,471,boninma01,1952,1961,,,L,1932,9,12,Canada,QC,Montreal,,,,,,
gossegu01,,,Guy,Gosselin,,Guy Gordon,,70,185,R,10547,1975,gossegu01,1987,1987,,,D,1964,1,6,USA,MN,Rochester,,,,,,
kolesvi01,,,Vitaly,Kolesnik,,,,74,198,L,21874,90134,kolesvi01,2005,2005,,,G,1979,8,20,Kazakhstan,,Ust-Kamenogorsk,,,,,,
chouima02,,,Mathieu,Chouinard,,,,73,211,L,18974,29641,chouima02,2003,2003,,,G,1980,4,11,Canada,QC,Laval,,,,,,
bathgan01,bathgan01c,bathgan01h,Andy,Bathgate,,Andrew James,Handy Andy,72,180,R,P197801,241,bathgan01,1952,1970,1974,1974,R,1932,8,28,Canada,MB,Winnipeg,,,,,,
,,gibsoja02h,Jack,Gibson,,John Liddell MacDonald,Doc,72,185,,B197601,,gibsoja01,,,,,D,1880,9,10,Canada,ON,Glen Allen,1955,10,7,,,
vautoyv01,,,Yvon,Vautour,,Yvon Jean,,72,200,R,14603,5554,vautoyv01,1979,1984,,,R,1956,9,10,Canada,NB,Saint John,,,,,,
lahacfl01,,,Floyd,Lahache,,Floyd,,70,185,L,,8064,lahacfl01,,,1977,1977,D,1957,9,17,Canada,QC,Caughnawaga,,,,,,
devinke01,,,Kevin,Devine,,Kevin,Spuddy,68,165,L,12449,7484,devinke01,1982,1982,1974,1978,L,1954,12,9,Canada,ON,Toronto,,,,,,
landobr01,,,Bruce,Landon,,Bruce Norman,,70,175,L,,2939,landobr01,,,1972,1976,G,1949,10,5,Canada,ON,Kingston,,,,,,
lyonst01,,,Steve,Lyon,,Steven,,70,169,R,13447,7717,lyonst01,1976,1976,,,R,1952,5,16,Canada,ON,Toronto,,,,,,
kukulag01,,,Aggie,Kukulowicz,,Adolph Frank,,75,175,L,13239,11324,kukulag01,1952,1953,,,C,1933,4,2,Canada,MB,Winnipeg,2008,9,26,Canada,ON,Toronto
bykovdm01,,,Dmitri,Bykov,,,,70,169,L,20430,56786,bykovdm01,2002,2002,,,D,1977,5,5,Russia,,Izhevsk,,,,,,
milleja03,,,Jason,Miller,,Jason,,73,190,L,11119,3725,milleja03,1990,1992,,,C,1971,3,1,Canada,AB,Edmonton,,,,,,
moranpa01,,moranpa01h,Paddy,Moran,,Patrick Joseph,,71,180,R,P195815,3788,moranpa01,,,,,G,1877,3,11,Canada,QC,Quebec City,1966,,,,,
herrma01,,,Matt,Herr,,Mathew,,74,204,L,15069,22016,herrma01,1998,2002,,,C,1976,5,26,USA,NJ,Hackensack,,,,,,
cookema01,,,Matt,Cooke,,Matt David,,71,205,L,17798,24173,cookema01,1998,2011,,,L,1978,9,7,Canada,ON,Stirling,,,,,,
smithcl01,,smithcl01h,Clint,Smith,,Clinton James,Snuffy,68,165,L,P199104,13316,smithcl01,1936,1946,,,C,1913,12,12,Canada,SK,Assiniboia,2009,5,19,Canada,BC,Vancouver
humphed01,,,Ed,Humphreys,,Edward,,73,170,L,,8657,humphed01,,,1975,1976,G,1953,6,5,Canada,SK,Eston,,,,,,
inglibi01,inglibi01c,,Billy,Inglis,,William John,,69,160,L,13057,2462,inglibi01,1967,1970,,,C,1943,5,11,Canada,ON,Ottawa,,,,,,
lloydow01,,,Owen,Lloyd,,Owen George,,71,195,L,,7555,lloydow01,,,1977,1977,D,1957,4,30,Canada,BC,Vancouver,,,,,,
straine01,,,Neil,Strain,,Neil Gilbert,,69,165,L,14467,11422,straine01,1952,1952,,,L,1926,2,24,Canada,ON,Kenora,1975,,,,,
dingmch01,,,Chris,Dingman,,Chris,,76,235,L,10631,11365,dingmch01,1997,2005,,,L,1976,7,6,Canada,AB,Edmonton,,,,,,
ritchda01,,,Dave,Ritchie,,David,,67,180,R,14131,29873,ritchda01,1917,1925,,,D,1892,1,12,Canada,QC,Montreal,9999,,,,,
klassra01,,,Ralph,Klassen,,Ralph L.,,71,175,L,13206,2742,klassra01,1975,1983,,,C,1955,9,15,Canada,SK,Muenster,,,,,,
fritsja01,,,Jamie,Fritsch,,,,74,195,L,22982,93658,fritsja01,2008,2008,,,D,1985,2,25,USA,MD,Odenton,,,,,,
,,dudlege01h,George,Dudley,,George S.,,,,,B195801,,,,,,,,1894,4,19,Canada,ON,Midland,1960,5,8,,,
