playerid,year,stint,tmid,s,g,gdg
suthebr01,2005,1,WAS,1,0,0
armstco01,2008,1,ATL,1,0,0
boyesbr01,2006,2,STL,1,0,0
burnsbr01,2010,1,MIN,3,1,0
eliaspa01,2008,1,NJD,7,3,1
korpila01,2009,1,PHO,17,7,2
jokinol01,2009,2,NYR,1,0,0
pahlssa01,2008,1,AND,1,0,0
okposky01,2011,1,NYI,0,2,0
berglpa01,2011,1,STL,0,4,0
lehtije01,2005,1,DAL,1,0,0
reinpst01,2010,1,FLO,1,0,0
kovalal01,2005,1,MTL,4,1,0
boothda01,2009,1,FLO,2,1,0
miettan01,2011,1,WPG,0,1,0
kostian01,2008,1,MTL,5,0,0
parkri01,2005,1,VAN,1,0,0
fleisto01,2006,1,WAS,1,0,0
latengu01,2009,1,MTL,1,0,0
muellpe01,2009,1,PHO,7,2,0
perrier01,2007,1,ATL,4,2,2
crosbsi01,2008,1,PIT,10,3,2
duchema01,2009,1,COL,7,2,1
marlepa01,2010,1,SJS,3,0,0
forsbpe01,2006,2,NAS,1,0,0
mcdonan01,2009,1,STL,9,4,1
grabomi01,2008,1,TOR,3,1,0
verstkr01,2011,1,FLO,1,8,0
prongch01,2007,1,AND,1,0,0
erikslo01,2006,1,DAL,2,0,0
mcdonan01,2005,1,ANA,6,2,0
selante01,2010,1,AND,3,0,0
subbapk01,2010,1,MTL,2,0,0
parisza01,2011,1,NJD,8,16,0
bochebr01,2006,2,BOS,3,0,0
getzlry01,2005,1,ANA,2,0,0
lundmja01,2009,2,TOR,1,0,0
conrocr01,2005,1,LAK,1,0,0
tenkrpe01,2006,1,BOS,3,2,1
kovalil01,2009,1,ATL,7,2,1
murragl01,2005,1,BOS,5,1,0
poulima01,2010,1,TBL,1,0,0
clowery01,2006,1,SJS,4,2,1
alfreda01,2011,1,OTT,5,6,1
fiddlve01,2008,1,NAS,6,2,0
boyleda01,2010,1,SJS,3,3,0
crosbsi01,2007,1,PIT,7,2,2
phanedi01,2007,1,CAL,3,0,0
vanekth01,2005,1,BUF,6,2,1
parisza01,2009,1,NJD,11,5,1
havlama01,2005,1,OTT,1,0,0
maddejo01,2005,1,NJD,2,0,0
eliaspa01,2005,1,NJD,5,2,0
havlama01,2007,1,CHI,4,1,0
widemde01,2005,1,STL,6,2,1
perrema01,2010,1,WAS,2,0,0
langeja01,2006,1,NJD,5,3,1
oleszro01,2009,1,FLO,9,2,1
bradlma01,2006,1,WAS,1,0,0
potito01,2006,1,NYI,2,0,0
hewarja01,2005,1,WAS,1,0,0
