playerid,year,stint,tmid,w,l,sa,ga
toivoha01,2007,1,STL,1,2,9,2
rolosdw01,2008,1,EDM,4,4,24,5
priceca01,2008,1,MTL,5,6,35,13
thomati01,2005,1,BOS,2,6,31,9
lundqhe01,2007,1,NYR,6,7,42,13
noronmi01,2005,1,BUF,0,0,1,1
aubinje01,2005,1,TOR,0,2,5,2
bironma01,2005,1,BUF,2,3,12,5
osgooch01,2008,1,DET,4,2,21,6
markkju01,2006,1,EDM,0,1,3,2
smithmi02,2006,1,DAL,1,0,3,0
schneco01,2010,1,VAN,1,0,3,0
niemian02,2011,1,SJS,8,4,40,9
millery01,2008,1,BUF,8,2,40,9
reimeja01,2010,1,TOR,1,3,11,3
theodjo01,2005,1,MTL,1,1,6,1
josepcu01,2005,1,PHO,3,2,19,6
khabini01,2005,1,CHI,2,1,15,5
schaeno01,2005,1,SJS,1,0,4,1
auldal01,2007,2,BOS,2,3,15,5
smithmi02,2007,1,DAL,2,0,6,0
conklty01,2010,1,STL,0,2,7,6
emeryra01,2011,1,CHI,1,3,13,5
leclapa01,2007,1,CBS,3,4,23,10
brodema01,2007,1,NJD,8,4,43,11
elliobr01,2009,1,OTT,2,4,21,7
nabokev01,2005,1,SJS,0,4,13,8
priceca01,2009,1,MTL,2,3,17,5
budajpe01,2008,1,COL,7,4,35,13
brodema01,2010,1,NJD,1,1,9,2
luongro01,2006,1,VAN,5,3,31,10
clemmsc01,2007,1,TOR,1,0,3,1
bryzgil01,2011,1,PHI,3,5,25,13
leclapa01,2006,1,CBS,1,1,15,4
wardca01,2011,1,CAR,1,4,14,6
johnsbr02,2005,1,WAS,3,1,13,2
leclapa01,2008,1,CBS,0,1,3,2
varlasi01,2010,1,WAS,1,2,8,3
lehtoka01,2006,1,ATL,7,4,30,10
cloutda01,2007,1,LAK,1,0,4,1
vokouto01,2010,1,FLO,2,1,13,2
andercr01,2006,1,FLO,1,0,2,0
millery01,2011,1,BUF,5,4,34,11
gustajo01,2011,1,TOR,1,3,11,4
johnsbr02,2006,1,WAS,0,5,20,7
norrefr01,2006,1,CBS,3,3,22,8
irvinle01,2011,1,CAL,0,1,4,2
brodema01,2005,1,NJD,8,3,38,9
nabokev01,2007,1,SJS,6,6,40,18
hardijo01,2009,1,MIN,2,0,10,1
dubiewa01,2005,1,NYI,1,0,3,0
burkese01,2005,1,TBL,2,3,11,5
kolziol01,2007,1,WAS,2,4,34,11
holmqjo01,2007,1,TBL,1,0,4,1
kolesvi01,2005,1,COL,1,0,7,0
hasekdo01,2007,1,DET,3,2,12,3
masonst01,2010,1,CBS,4,5,31,10
sabouda01,2006,1,VAN,0,1,4,2
clemmsc01,2011,1,FLO,2,3,20,7
conklty01,2009,1,STL,2,2,10,5
smithmi02,2008,1,TBL,2,7,27,15
valiqst01,2008,1,NYR,1,2,12,3
nabokev01,2011,1,NYI,5,1,18,4
emeryra01,2005,1,OTT,0,2,5,2
niemian02,2010,1,SJS,3,5,28,8
huetcr01,2009,1,CHI,3,4,38,13
sabouda01,2007,1,PIT,4,1,26,6
bernijo01,2011,1,LAK,0,1,2,2
smithmi02,2010,1,TBL,1,0,4,0
johnsbr02,2010,1,PIT,2,1,11,1
ramoka01,2007,1,TBL,0,1,2,2
legacma01,2008,1,STL,3,1,13,4
wardca01,2010,1,CAR,5,4,25,6
