charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
1866742,9056,265,9,1999-09-08T10:48:45,1585.0,19056,
704505,4878,474,6,1999-09-23T10:43:58,588.0,24878,
776470,5143,470,3,1999-07-03T10:49:31,3591.0,5143,
60449,5175,450,9,1999-09-02T10:48:15,3362.0,15175,
815116,9466,311,8,1999-07-03T10:44:45,1441.0,9466,
889846,6546,460,8,1999-07-04T10:50:33,3005.0,6546,
1080515,5775,449,7,1999-09-15T10:49:49,393.0,25775,
1971162,8763,306,7,1999-08-02T10:49:05,3842.0,8763,
1764006,8899,377,5,1999-06-20T10:48:32,970.0,8899,
1416187,4724,495,3,1999-08-01T10:44:50,4677.0,4724,
1964415,9575,302,5,1999-07-24T10:48:34,337.0,9575,
1394767,4541,471,4,1999-07-19T10:50:56,1854.0,4541,
1263751,9980,219,4,1999-09-29T10:48:30,3566.0,29980,
766674,6552,467,2,1999-08-02T10:48:44,762.0,6552,
1334350,9777,499,9,1999-07-09T10:46:16,4925.0,9777,
1508150,4425,450,4,1999-09-07T10:44:14,4753.0,14425,
813820,8256,465,5,1999-07-06T10:44:39,704.0,8256,
1435113,9597,444,2,1999-07-26T10:46:19,2441.0,9597,
1770595,3656,485,5,1999-07-07T10:49:03,4032.0,3656,
988344,9728,485,8,1999-08-02T10:50:26,3622.0,9728,
1476512,6732,460,2,1999-08-08T10:49:31,3267.0,6732,
500093,9174,311,2,1999-09-12T10:43:38,58.0,19174,
1612556,8279,500,7,1999-09-10T10:44:33,4362.0,18279,
1696407,8067,499,6,1999-08-22T10:51:04,2065.0,18067,
1215391,9401,497,5,1999-10-08T10:44:46,1559.0,29401,
882938,8258,489,9,1999-07-09T10:50:00,1197.0,8258,
1907962,9582,277,3,1999-07-22T10:44:12,3239.0,9582,
818197,6024,482,7,1999-09-13T10:44:59,2933.0,26024,
1324567,7834,495,4,1999-09-13T10:45:30,2642.0,27834,
825283,9312,434,10,1999-07-11T10:45:33,3660.0,9312,
1024124,9593,184,8,1999-10-07T10:45:28,1999.0,29593,
568124,9412,450,4,1999-09-27T10:48:52,2843.0,29412,
1269052,9471,490,7,1999-08-06T10:48:56,3633.0,9471,
1955380,4671,416,5,1999-09-28T10:47:52,3233.0,24671,
827545,8818,446,10,1999-06-19T10:45:43,1069.0,8818,
1040665,9745,413,5,1999-07-02T10:46:45,1098.0,9745,
1591676,8995,383,6,1999-09-18T10:50:41,935.0,28995,
665718,8868,452,4,1999-09-04T10:48:40,543.0,18868,
836162,4946,487,4,1999-09-02T10:46:24,2060.0,14946,
82030,7626,432,8,1999-08-21T10:49:56,3277.0,17626,
75271,8566,462,2,1999-08-31T10:49:25,2041.0,18566,
760796,9360,498,4,1999-09-10T10:48:17,1944.0,19360,
735901,295,399,2,1999-10-03T10:46:23,1666.0,20295,
1777624,7206,495,3,1999-07-24T10:49:36,3872.0,7206,
4383,6792,488,7,1999-07-19T10:43:57,1144.0,6792,
606584,6582,462,9,1999-07-25T10:44:06,453.0,6582,
9912,8364,499,6,1999-07-03T10:44:21,3531.0,8364,
1731650,9922,345,8,1999-08-08T10:46:02,311.0,9922,
1635380,9768,451,10,1999-09-27T10:46:20,3735.0,29768,
1138666,9637,295,6,1999-09-04T10:46:36,3708.0,19637,
1449630,9936,491,3,1999-10-10T10:47:26,1573.0,29936,
1263002,7161,430,9,1999-09-13T10:48:27,2227.0,27161,
1358016,8379,477,8,1999-09-12T10:48:04,832.0,18379,
566128,2821,486,10,1999-07-16T10:48:42,1967.0,2821,
1774528,6569,347,3,1999-08-30T10:49:21,4074.0,16569,
1346560,8388,171,9,1999-08-19T10:47:12,292.0,18388,
836431,9383,492,7,1999-06-24T10:46:26,1135.0,9383,
926436,9496,498,7,1999-08-31T10:45:38,4558.0,19496,
65150,9219,483,5,1999-09-19T10:48:37,4482.0,29219,
1131322,7842,443,10,1999-07-13T10:46:01,1469.0,7842,
1533922,9804,352,10,1999-08-24T10:46:14,1423.0,19804,
96779,8809,458,5,1999-09-19T10:51:05,4568.0,28809,
520383,1565,360,7,1999-06-19T10:45:09,4772.0,1565,
790830,8480,446,9,1999-08-28T10:50:37,4722.0,18480,
1131102,1848,320,3,1999-06-25T10:46:00,1269.0,1848,
1608488,7326,500,10,1999-08-13T10:44:15,2883.0,17326,
697785,8926,350,9,1999-06-22T10:51:10,3688.0,8926,
1295649,7340,354,3,1999-09-27T10:51:00,399.0,27340,
729397,4814,402,9,1999-09-15T10:45:52,386.0,24814,
1085601,3942,382,10,1999-08-19T10:50:13,264.0,13942,
763086,9658,345,8,1999-08-28T10:48:27,1077.0,19658,
1722575,3593,465,5,1999-08-08T10:45:19,367.0,3593,
838992,9384,494,3,1999-09-15T10:46:37,3968.0,29384,
1188134,8971,426,6,1999-07-21T10:50:25,3208.0,8971,
1957863,8924,435,9,1999-10-07T10:48:03,1497.0,28924,
611112,8894,489,8,1999-08-27T10:44:27,1163.0,18894,
1541006,7852,497,10,1999-10-01T10:46:46,1615.0,27852,
1270427,9809,490,2,1999-07-12T10:49:02,974.0,9809,
1418457,9375,445,3,1999-10-12T10:45:00,3066.0,29375,
927390,9679,440,4,1999-07-02T10:45:43,705.0,9679,
1267258,1542,432,10,1999-06-25T10:48:47,1871.0,1542,
1417489,8149,497,4,1999-08-04T10:44:56,2953.0,8149,
1123878,7798,380,6,1999-06-30T10:45:25,49.0,7798,
1702160,9082,490,7,1999-08-07T10:43:47,3898.0,9082,
1190017,9626,468,5,1999-07-15T10:50:33,2766.0,9626,
1958893,6756,285,9,1999-08-10T10:48:08,3005.0,6756,
1428078,9302,499,9,1999-08-09T10:45:46,4656.0,9302,
1440674,2825,496,10,1999-09-09T10:46:45,2322.0,12825,
1121402,8969,384,3,1999-09-01T10:45:14,4882.0,18969,
1895891,3450,445,9,1999-10-02T10:51:01,2166.0,23450,
1470,8017,478,5,1999-09-10T10:43:44,1686.0,18017,
950027,6662,477,9,1999-07-18T10:47:28,501.0,6662,
1998248,8091,451,5,1999-08-23T10:51:12,216.0,18091,
1236935,8496,488,6,1999-07-05T10:46:28,75.0,8496,
1720365,9975,441,7,1999-07-23T10:45:09,1699.0,9975,
1865022,4430,329,10,1999-10-03T10:48:37,4369.0,24430,
1835363,9371,492,9,1999-06-21T10:46:20,588.0,9371,
1029792,9888,454,4,1999-07-24T10:45:54,390.0,9888,
1303392,9145,497,9,1999-09-25T10:43:52,325.0,29145,
1601441,8760,313,3,1999-10-07T10:43:44,2096.0,28760,
997583,9976,329,8,1999-07-17T10:51:09,4865.0,9976,
1839788,7401,488,7,1999-07-19T10:46:40,1296.0,7401,
1755422,5945,430,7,1999-08-04T10:47:53,936.0,5945,
684444,9510,438,9,1999-08-26T10:50:08,2612.0,19510,
1606044,9220,220,7,1999-09-16T10:44:04,2210.0,29220,
1636251,8808,500,5,1999-07-06T10:46:25,191.0,8808,
801271,7303,360,8,1999-08-15T10:43:43,3248.0,17303,
1105807,9970,360,7,1999-08-29T10:44:03,3512.0,19970,
1873997,9340,384,3,1999-07-18T10:49:19,1725.0,9340,
1917217,6959,499,10,1999-09-03T10:44:55,4477.0,16959,
939122,7324,325,4,1999-06-20T10:46:38,467.0,7324,
1713522,8809,417,8,1999-08-11T10:44:38,373.0,8809,
1982250,9824,428,5,1999-08-15T10:49:57,3014.0,19824,
702888,5267,479,10,1999-08-08T10:43:50,386.0,5267,
1995485,6728,487,5,1999-07-15T10:50:59,2004.0,6728,
624906,6096,480,9,1999-09-16T10:45:31,322.0,26096,
698345,5443,499,9,1999-09-06T10:51:12,2204.0,15443,
