id,playerid,year,stint,tmid,lgid,gp,gs,minutes,points,orebounds,drebounds,rebounds,assists,steals,blocks,turnovers,pf,fgattempted,fgmade,ftattempted,ftmade,threeattempted,threemade,postgp,postgs,postminutes,postpoints,postorebounds,postdrebounds,postrebounds,postassists,poststeals,postblocks,postturnovers,postpf,postfgattempted,postfgmade,postftattempted,postftmade,postthreeattempted,postthreemade,note
9,abdulka01,1970,1,MIL,NBA,82,0,3288,2596,0,0,1311,272,0,0,0,264,1843,1063,681,470,0,0,14,0,577,372,0,0,238,35,0,0,0,35,295,152,101,68,0,0,
10,abdulka01,1971,1,MIL,NBA,81,0,3583,2822,0,0,1346,370,0,0,0,235,2019,1159,732,504,0,0,11,0,510,316,0,0,200,56,0,0,0,35,318,139,54,38,0,0,
11,abdulka01,1972,1,MIL,NBA,76,0,3254,2292,0,0,1224,379,0,0,0,208,1772,982,460,328,0,0,6,0,276,137,0,0,97,17,0,0,0,26,138,59,35,19,0,0,
12,abdulka01,1973,1,MIL,NBA,81,0,3548,2191,287,891,1178,386,112,283,0,238,1759,948,420,295,0,0,16,0,758,515,67,186,253,78,20,39,0,41,402,224,91,67,0,0,
14,abdulka01,1975,1,LAL,NBA,82,0,3379,2275,272,1111,1383,413,119,338,0,292,1728,914,636,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,abdulka01,1976,1,LAL,NBA,82,0,3016,2152,266,824,1090,319,101,261,0,262,1533,888,536,376,0,0,11,0,467,381,51,144,195,45,19,38,0,42,242,147,120,87,0,0,
18,abdulka01,1979,1,LAL,NBA,82,0,3143,2034,190,696,886,371,81,280,297,216,1383,835,476,364,1,0,15,0,618,479,51,130,181,46,17,58,55,51,346,198,105,83,0,0,
19,abdulka01,1980,1,LAL,NBA,80,0,2976,2095,197,624,821,272,59,228,249,244,1457,836,552,423,1,0,3,0,134,80,13,37,50,12,3,8,11,14,65,30,28,20,0,0,
22,abdulka01,1983,1,LAL,NBA,80,0,2622,1717,169,418,587,211,55,143,221,211,1238,716,394,285,1,0,21,0,767,502,56,117,173,79,23,45,45,71,371,206,120,90,0,0,
24,abdulka01,1985,1,LAL,NBA,79,0,2629,1846,133,345,478,280,67,130,203,248,1338,755,439,336,2,0,14,0,489,362,26,57,83,49,15,24,42,54,282,157,61,48,0,0,
38,abdulma01,1973,1,SEA,NBA,49,0,571,186,18,39,57,122,26,6,0,78,180,76,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,abdulma02,1992,1,DEN,NBA,81,0,2710,1553,51,174,225,344,84,8,187,179,1407,633,232,217,197,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,abdulza01,1977,2,HOU,NBA,14,0,134,55,13,22,35,7,2,2,11,25,47,20,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,adamsdo01,1976,1,BUF,NBA,77,0,1710,561,130,241,371,150,74,16,0,201,526,216,173,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,adamsge01,1974,1,SDA,ABA,75,0,1605,694,114,213,327,126,44,36,106,164,622,310,86,73,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
217,ajincal01,2009,1,CHA,NBA,6,0,30,10,1,3,4,0,1,1,2,5,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
240,aleksch01,1984,1,GSW,NBA,74,0,1114,377,87,183,270,36,15,15,72,171,337,161,75,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
251,alexaco02,2001,1,WAS,NBA,56,0,1325,549,43,105,148,86,35,7,60,113,474,223,121,98,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
269,allaija01,1961,0,SFS,ABL1,17,0,101,25,0,0,38,5,0,0,0,39,23,10,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
318,allenra02,2011,1,BOS,NBA,46,42,1565,655,14,128,142,109,49,8,68,83,493,226,106,97,234,106,18,10,616,192,8,66,74,18,17,2,17,41,167,66,45,32,92,28,
351,alterch01,1948,0,DNN,NBL,50,0,0,196,0,0,0,0,0,0,0,126,0,67,100,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
387,anderca01,1940,0,HAM,NBL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
389,anderch01,2002,1,DEN,NBA,59,0,907,305,109,165,274,32,30,60,60,90,285,114,140,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
396,anderch01,2010,1,DEN,NBA,45,0,732,250,75,144,219,20,23,58,25,79,137,82,135,86,1,0,5,0,73,24,5,9,14,3,3,7,3,8,11,7,14,10,0,0,
417,anderde01,2002,1,NOH,NBA,76,0,2555,1057,53,211,264,325,90,16,128,141,832,355,269,231,331,116,2,0,22,2,1,0,1,0,0,0,1,1,4,1,1,0,1,0,
452,anderke01,1992,1,NJN,NBA,55,0,2010,927,51,175,226,449,96,11,153,140,850,370,232,180,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
465,anderke01,2002,2,NOH,NBA,23,0,446,139,14,31,45,77,18,4,42,43,150,61,22,16,2,1,5,0,51,11,0,2,2,9,3,0,4,6,12,4,3,3,0,0,
475,anderni01,1993,1,ORL,NBA,81,0,2811,1277,113,363,476,294,134,33,165,148,1054,504,250,168,314,101,3,0,120,43,2,8,10,10,5,2,5,8,34,13,12,9,20,8,
476,anderni01,1994,1,ORL,NBA,76,0,2588,1200,85,250,335,314,125,22,141,124,923,439,203,143,431,179,21,0,814,298,21,79,100,65,33,10,30,49,239,107,63,43,107,41,
537,anslemi01,1991,1,PHI,NBA,8,0,32,15,2,2,4,2,0,0,3,6,11,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
549,anthoca01,2010,1,DEN,NBA,50,50,1774,1259,77,305,382,140,43,31,142,134,967,437,417,343,126,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
580,archina01,1972,1,KCO,NBA,80,0,3681,2719,0,0,223,910,0,0,0,207,2106,1028,783,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
