constructorresultsid,raceid,constructorid,points,status
11904,638,180,0.0,
12421,595,77,0.0,
14543,875,131,0.0,
4777,400,34,0.0,
13949,341,6,26.0,
2704,266,18,0.0,
14273,853,1,30.0,
5287,437,4,4.0,
681,82,6,4.0,
2774,271,1,0.0,
12415,595,66,0.0,
6340,504,4,2.0,
14674,887,9,18.0,
3377,312,35,0.0,
1863,194,1,10.0,
4358,375,6,7.0,
2652,262,29,0.0,
12158,630,34,3.0,
2484,249,30,0.0,
1110,125,6,4.0,
6309,502,4,3.0,
11585,666,196,3.0,
14694,888,206,0.0,
5603,458,21,0.0,
4482,381,45,0.0,
11251,689,11,3.0,
14552,876,10,4.0,
13725,516,6,3.0,
13991,344,3,0.0,
5649,461,21,0.0,
4413,378,32,2.0,
5878,476,1,9.0,
10913,700,170,2.0,
5643,461,6,9.0,
3494,318,39,0.0,
1170,130,15,0.0,
234,40,5,0.0,
5720,465,45,0.0,
13589,538,58,0.0,
1547,165,21,2.0,
13494,532,64,0.0,
5924,478,34,0.0,
6254,498,57,0.0,
4258,369,48,0.0,
5076,422,51,0.0,
1600,170,6,6.0,
5662,462,32,2.0,
11930,641,200,6.0,
3182,300,29,0.0,
5411,445,34,0.0,
12110,625,1,0.0,
5938,479,55,0.0,
11539,658,66,0.0,
3097,295,1,10.0,
10377,735,170,4.0,
13358,557,25,0.0,
5435,446,53,0.0,
12224,610,66,0.0,
12925,562,6,9.0,
12458,598,26,0.0,
14803,899,206,0.0,
539,68,11,8.0,
15404,965,15,0.0,
12280,613,81,0.0,
5546,454,51,0.0,
3009,289,17,0.0,
14902,908,10,4.0,
4621,390,21,3.0,
3957,14,23,7.0,
3225,303,29,0.0,
9650,772,66,0.0,
12499,601,64,4.0,
2261,230,22,6.0,
13722,515,4,0.0,
1578,168,1,10.0,
3814,336,34,0.0,
3614,325,45,0.0,
183,35,11,0.0,
12105,625,25,9.0,
2525,253,22,12.0,
14298,855,9,27.0,
833,97,19,0.0,
3443,316,1,9.0,
15098,934,10,8.0,
4359,375,21,3.0,
14992,916,5,1.0,
1555,166,1,16.0,
11075,690,176,0.0,
2363,239,25,0.0,
12097,624,1,4.0,
