targetid,raceid,driverid,win
43714,827,633,0
53067,664,235,1
16075,326,101,0
65843,893,813,0
58654,518,175,0
58791,523,207,0
18402,362,112,0
59229,507,158,0
55623,599,307,0
54502,648,320,0
52791,688,293,0
15851,321,102,1
10247,243,85,0
46119,793,496,0
19384,384,165,0
18960,371,90,0
18698,369,95,0
52736,686,365,0
6817,291,88,0
18408,362,84,0
22028,465,160,0
53541,667,334,0
65054,865,8,0
21655,455,188,0
18729,369,161,0
52961,660,362,0
56312,586,238,0
49918,750,532,0
19928,403,118,0
52769,687,388,0
10577,254,81,0
44287,820,725,0
11825,127,22,0
20928,433,156,0
53676,672,346,0
274,31,8,0
66429,268,92,0
64629,851,815,0
67,21,10,0
47009,777,573,0
57130,575,283,0
51387,707,304,0
10739,211,15,0
65922,897,818,0
20246,414,102,0
12728,104,10,0
45390,816,630,0
49567,774,482,0
53085,665,306,0
48147,741,476,0
65485,878,154,0
11344,189,44,0
65185,869,5,0
65771,890,824,0
57391,534,241,0
49456,773,592,0
54390,645,280,0
54501,648,327,0
11745,157,54,0
56956,572,275,0
17537,318,99,0
55137,616,182,0
64250,353,807,0
17350,313,94,0
62509,764,449,0
51353,706,402,0
48602,735,458,0
19904,402,167,0
66509,270,107,0
53941,620,307,0
19425,385,94,0
52079,807,518,0
63410,721,356,0
20379,418,123,0
56590,563,197,0
1554,87,32,0
66261,264,94,0
50115,753,507,0
19666,394,166,0
44527,823,609,0
44105,832,786,0
9638,285,120,0
50297,755,520,0
49111,768,596,0
49732,748,403,0
12521,95,21,0
55008,613,328,0
47351,782,558,0
44479,822,660,0
56339,586,270,0
20226,413,105,0
55666,599,283,0
17968,9,6,0
46685,788,498,0
54143,627,328,0
21120,439,175,0
11291,187,23,0
