constructorresultsid,raceid,constructorid,points,status
5097,424,6,15.0,
1173,130,7,0.0,
1459,157,22,0.0,
2132,218,22,1.0,
11755,647,86,0.0,
13916,338,10,6.0,
2847,276,25,0.0,
2423,244,28,0.0,
9901,757,121,0.0,
11172,680,11,0.0,
15320,958,6,20.0,
3271,306,17,0.0,
3117,296,29,0.0,
4085,361,32,3.0,
13335,556,37,0.0,
14500,872,15,20.0,
5046,420,21,0.0,
14027,347,5,0.0,
10376,735,66,9.0,
2780,271,25,0.0,
659,80,1,8.0,
3222,303,6,2.0,
13877,525,54,0.0,
3081,294,1,10.0,
4177,365,27,0.0,
2560,255,30,0.0,
13636,541,57,0.0,
4215,367,21,0.0,
13474,531,55,0.0,
4016,357,27,0.0,
1318,144,16,0.0,
11786,650,85,0.0,
11872,635,82,0.0,
3657,327,46,0.0,
2401,242,31,0.0,
14424,865,207,0.0,
1795,187,18,0.0,
12562,576,67,0.0,
13310,554,32,0.0,
4960,414,32,8.0,
2648,262,18,0.0,
2762,270,27,0.0,
14080,352,9,43.0,
3,18,3,9.0,
14310,856,6,18.0,
11791,651,37,0.0,
10536,720,6,0.0,
5033,419,22,0.0,
4296,371,33,0.0,
12870,588,64,2.0,
4974,415,26,5.0,
2006,207,1,14.0,
15146,940,6,27.0,
2429,245,6,10.0,
631,77,9,5.0,
14304,855,5,0.0,
5383,443,50,0.0,
4110,362,32,0.0,
1404,152,22,5.0,
6031,485,32,1.0,
6352,505,3,13.0,
13403,527,55,0.0,
941,108,4,6.0,
5783,469,55,0.0,
15469,972,131,37.0,
981,112,7,3.0,
1705,179,21,0.0,
12133,627,32,0.0,
12638,581,202,1.0,
3910,9,2,0.0,
5609,458,6,0.0,
471,62,6,18.0,
15291,955,15,0.0,
14366,860,207,0.0,
14980,915,5,0.0,
4510,383,39,0.0,
3580,323,41,0.0,
11253,689,167,1.0,
13410,528,25,1.0,
11352,675,195,0.0,
5414,445,21,0.0,
10566,723,176,1.0,
4612,389,21,0.0,
365,52,7,1.0,
11539,658,66,0.0,
4607,389,1,3.0,
10907,699,184,0.0,
5537,453,45,0.0,
3446,316,17,0.0,
2905,281,29,1.0,
790,93,3,8.0,
11162,679,176,0.0,
1689,178,17,3.0,
14384,862,6,2.0,
13169,545,32,0.0,
13789,520,25,4.0,
6089,488,21,0.0,
11889,637,200,6.0,
10920,701,66,6.0,
4831,404,27,7.0,
4641,391,1,0.0,
2722,267,17,0.0,
815,95,18,0.0,
6006,483,54,0.0,
1712,180,3,3.0,
2203,224,17,0.0,
14844,903,10,10.0,
4442,379,45,0.0,
163,33,11,0.0,
13519,534,56,1.0,
2733,268,22,0.0,
14018,346,166,0.0,
3248,305,33,1.0,
3213,302,18,0.0,
4325,373,21,0.0,
1442,155,18,0.0,
1297,142,19,0.0,
2564,256,1,3.0,
13164,545,1,3.0,
