type,code,fullname
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Отдел,КА,Канадский отдел
Воспроизведение,DF,Проигранные финалы по разделу NHL
Круглая,СКФ,Кубок Стэнли Полуфинал
Круглая,CQF,Квартира-финансы конференций
Круглая,Предварительно,Предварительные данные
Отдел,НО,Северо-западный отдел
Воспроизведение,ПФ,Потерянные финалы PCHA
Отдел,АМ,Американский отдел
Воспроизведение,QF,Потерянный четвертьфинал NHL
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Воспроизведение,WF,Потерянные финалы WCHL
Круглая,ПКФ,Финал Кубка Стэнли
Отдел,ПК,Тихоокеанский отдел
Круглая,РВК,Финал Кубка Авто
Воспроизведение,SF,Потерянные полуфиналы NHL
Круглая,DF,Окончательные результаты по разделу
Воспроизведение,F,Проиграл финал Кубка Стэнли
Круглая,QF,Четверо-финал
Отдел,АД,Отдел Адамса
Круглая,СФК,Полуфинал Конференции
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Отдел,WW,WHA West Division
Круглая,CF,Заключительные документы Конференции
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Отдел,ХО,Отдел по делам женщин Канады
Отдел,Нет,Отдел Норриса
Отдел,Ред.,Восточный отдел
Круглая,РГ,Западный плейофф
Отдел,СЕ,Центральный отдел
Круглая,DSF,Полуфинал
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Воспроизведение,AVC,Выиграл Кубок АВКО
Отдел,SE,Юго-восточный отдел
Отдел,Нет,Северо-восточный отдел
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Отдел,WD,Западный отдел
Круглая,SF,Полуфинал
Круглая,F,Финал
Отдел,SM,Отдел Смайта
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Зал,ВК,Западная конференция
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Воспроизведение,НФЧМ,Проигранные финалы NHL
Зал,ЕС,Восточная конференция
Воспроизведение,ПК,Выиграл Кубок Стэнли
Зал,WA,Конференция в Уэльсе
Отдел,PT,Отдел Патрика
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Отдел,АТ,Атлантический отдел
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Отдел,ЭВ,Восточная дивизия WHA
Воспроизведение,НКАФ,Проигранные финалы NHA
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
