qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
4479,73,27,18,21,19,1:34.005,1:36.417,
6451,933,826,9,26,8,1:12.092,1:10.187,1:09.694
3141,8,21,10,21,16,1:19.802,,
5669,891,8,208,7,8,2:01.151,1:48.296,2:03.390
7179,970,839,10,31,20,1:35.496,,
499,41,27,12,21,21,1:19.196,,
593,46,3,3,16,5,1:20.547,1:20.188,1:20.632
2214,241,69,18,24,13,1:57.167,,
5632,888,16,10,15,15,1:31.320,1:31.010,
2507,253,87,1,7,10,1:20.909,,
6071,908,824,206,17,12,1:41.169,1:38.709,
4525,76,14,9,14,7,1:15.329,1:18.538,
3002,1,12,4,8,17,1:26.598,,
595,46,9,2,10,7,1:20.366,1:20.703,1:20.876
2405,249,77,6,28,4,1:18.059,,
2390,248,63,25,4,13,1:47.507,,
4741,849,808,4,10,14,1:34.428,1:32.734,
383,36,25,3,17,15,1:27.479,1:27.393,
4016,120,35,16,16,16,1:24.100,,
1495,156,49,20,22,15,1:13.281,,
6657,944,154,208,8,15,1:13.056,1:13.913,
4841,854,5,205,20,19,1:50.948,,
5281,873,17,9,2,7,1:48.717,1:47.513,1:47.475
6331,927,826,9,26,5,1:40.546,1:41.665,1:51.951
1078,68,30,6,5,6,1:47.366,1:45.660,1:45.775
4826,854,1,1,3,4,1:47.014,1:46.829,1:44.809
7089,966,828,15,9,15,1:21.062,1:21.536,
2746,263,105,18,24,21,1:18.890,,
3089,6,20,9,15,4,1:15.915,1:14.879,1:15.271
3351,338,17,9,6,2,1:25.286,1:24.276,1:24.035
242,29,17,9,10,14,1:38.559,1:38.515,
3871,113,23,3,4,10,1:10.279,,
7230,973,825,210,20,11,1:21.945,1:21.329,
5801,897,13,6,4,8,1:41.254,1:40.989,1:41.015
1283,84,15,7,16,5,1:27.501,,
6457,933,817,9,3,14,1:11.973,1:10.482,
1417,104,47,18,20,19,1:24.808,,
6250,916,821,15,21,16,1:39.555,,
1083,68,26,5,21,11,1:46.222,1:45.851,
5519,883,815,1,6,12,1:34.310,1:33.914,
2240,242,63,25,4,13,1:31.035,,
5615,887,824,206,22,20,1:34.108,,
5153,867,37,164,22,21,1:42.171,,
721,52,13,6,5,1,1:12.303,1:12.374,1:11.931
6745,950,835,4,30,19,1:39.528,,
2129,228,64,27,10,16,1:29.989,,
3506,344,30,131,3,13,1:16.598,1:16.492,
570,45,2,2,9,4,1:31.889,1:31.652,1:31.840
3718,353,30,131,3,9,1:37.980,1:37.077,1:36.950
3727,353,24,10,15,18,1:38.955,,
170,26,17,9,10,2,1:20.982,1:19.710,1:21.554
6583,940,834,209,53,20,1:47.114,,
7374,980,838,1,2,15,1:45.441,,
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748
4790,851,22,3,11,15,1:23.075,1:22.684,
2766,264,44,27,26,15,1:27.785,,
920,61,21,4,2,2,1:15.917,1:15.295,1:15.178
832,57,30,6,5,2,1:31.235,1:30.013,1:30.028
1347,87,13,15,12,9,1:13.151,,
4940,858,816,166,25,22,1:44.699,,
1057,67,37,1,4,7,1:22.422,1:21.878,1:22.280
