coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
jacksph01,2001,LAL,NBA,1,58.0,24.0,15.0,4.0
biancal01,1970,VIR,ABA,1,55.0,29.0,6.0,6.0
karlge01,2008,DEN,NBA,1,54.0,28.0,10.0,6.0
isselda01,2001,DEN,NBA,1,9.0,17.0,0.0,0.0
bristal01,1992,CHH,NBA,1,44.0,38.0,4.0,5.0
carlepj01,1996,POR,NBA,1,49.0,33.0,1.0,3.0
sloanje01,1991,UTA,NBA,1,55.0,27.0,9.0,7.0
rileypa01,1998,MIA,NBA,1,33.0,17.0,2.0,3.0
collido01,1986,CHI,NBA,1,40.0,42.0,0.0,3.0
lynamji01,1989,PHI,NBA,1,53.0,29.0,4.0,6.0
thomais01,2001,IND,NBA,1,42.0,40.0,2.0,3.0
joneskc01,1987,BOS,NBA,1,57.0,25.0,9.0,8.0
brownla01,1996,IND,NBA,1,39.0,43.0,0.0,0.0
maclejo01,1976,PHO,NBA,1,34.0,48.0,0.0,0.0
ramsaja01,1983,POR,NBA,1,48.0,34.0,2.0,3.0
auerbre01,1957,BOS,NBA,1,49.0,23.0,6.0,5.0
hamblfr01,2004,LAL,NBA,2,10.0,29.0,0.0,0.0
kerrjo01,1967,CHI,NBA,1,29.0,53.0,1.0,4.0
holzmre01,1971,NYK,NBA,1,48.0,34.0,9.0,7.0
moedo01,1979,SAS,NBA,1,33.0,33.0,0.0,0.0
wilkele01,1992,CLE,NBA,1,54.0,28.0,3.0,6.0
calipjo01,1996,NJN,NBA,1,26.0,56.0,0.0,0.0
russebi01,1968,BOS,NBA,1,48.0,34.0,12.0,6.0
unselwe01,1993,WSB,NBA,1,24.0,58.0,0.0,0.0
mullajo01,1970,LAL,NBA,1,48.0,34.0,5.0,7.0
rothsro01,1990,MIA,NBA,1,24.0,58.0,0.0,0.0
eganjo01,1973,HOU,NBA,1,32.0,50.0,0.0,0.0
brownla01,1973,CAR,ABA,1,47.0,37.0,0.0,4.0
pailehe01,1947,NOL,PBLA,1,3.0,5.0,,
pollaji01,1961,CHP,NBA,1,18.0,62.0,0.0,0.0
karlge01,2011,DEN,NBA,1,38.0,28.0,3.0,4.0
maclejo01,1983,PHO,NBA,1,41.0,41.0,9.0,8.0
shuege01,1988,LAC,NBA,1,10.0,28.0,0.0,0.0
bassbo01,1970,FLO,ABA,2,19.0,17.0,2.0,4.0
mcmilna01,2009,POR,NBA,1,50.0,32.0,2.0,4.0
wilkele01,1998,ATL,NBA,1,31.0,19.0,3.0,6.0
riverdo01,2010,BOS,NBA,1,56.0,26.0,5.0,4.0
evansmi01,2001,DEN,NBA,2,18.0,38.0,0.0,0.0
jacksph01,1995,CHI,NBA,1,72.0,10.0,15.0,3.0
cheekma01,2006,PHI,NBA,1,35.0,47.0,0.0,0.0
rodgeji01,1992,MIN,NBA,1,6.0,23.0,0.0,0.0
fordch01,1997,MIL,NBA,1,36.0,46.0,0.0,0.0
jacksph01,1999,LAL,NBA,1,67.0,15.0,15.0,8.0
adelmri01,2004,SAC,NBA,1,50.0,32.0,1.0,4.0
fitzsco01,1996,PHO,NBA,1,0.0,8.0,0.0,0.0
mchalke01,2004,MIN,NBA,2,19.0,12.0,0.0,0.0
juliaal01,1948,BOS,NBA,1,25.0,35.0,0.0,0.0
popovgr01,2006,SAS,NBA,1,58.0,24.0,16.0,4.0
brownla01,1999,PHI,NBA,1,49.0,33.0,5.0,5.0
mikkeve01,1968,MNP,ABA,2,6.0,6.0,0.0,0.0
skilesc01,2003,CHI,NBA,3,19.0,47.0,0.0,0.0
pfundra01,1993,LAL,NBA,1,27.0,37.0,0.0,0.0
mitchsa01,2005,TOR,NBA,1,27.0,55.0,0.0,0.0
gottled01,1951,PHW,NBA,1,33.0,33.0,1.0,2.0
pollaji01,1967,MNM,ABA,1,50.0,28.0,4.0,6.0
clossbi01,1947,HMV,PBLA,1,2.0,0.0,,
nelsodo01,2001,DAL,NBA,1,57.0,25.0,4.0,4.0
rhodege01,1969,KEN,ABA,1,45.0,39.0,5.0,7.0
brownla01,1990,SAS,NBA,1,55.0,27.0,1.0,3.0
saundfl01,2004,MIN,NBA,1,25.0,26.0,0.0,0.0
mottadi01,1978,WSB,NBA,1,54.0,28.0,9.0,10.0
meschto01,1971,CAR,ABA,1,35.0,49.0,0.0,0.0
wilkele01,1971,SEA,NBA,1,47.0,35.0,0.0,0.0
leonasl01,1974,INA,ABA,1,45.0,39.0,9.0,9.0
stutzst01,1961,WNY,ABL1,1,31.0,50.0,2.0,1.0
kundljo01,1948,MNL,NBA,1,44.0,16.0,8.0,2.0
mccarba01,1970,MMP,ABA,1,41.0,43.0,0.0,4.0
brownla01,1976,DEN,NBA,1,50.0,32.0,2.0,4.0
debusda01,1964,DET,NBA,2,29.0,40.0,0.0,0.0
mcmilna01,2000,SEA,NBA,2,38.0,29.0,0.0,0.0
biancal01,1973,VIR,ABA,1,28.0,56.0,1.0,4.0
gatesfr01,1950,AND,NPBL,1,,,,
carliri01,2009,DAL,NBA,1,55.0,27.0,2.0,4.0
jacksst03,1989,NYK,NBA,1,45.0,37.0,4.0,6.0
