playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
danieme01,Мэл,Мелвин,Joe,Дэниелс,,,,Мэл,C,0.0,0.0,81.0,220,Новая Мексика,Бёрлингтон Джей-Си.,1944-07-20,Детройт,МИ,США,Вскрытие,Детройт,МИ,США,0000-00-00,B
monroea01,Эрл,Вернон,Earl,Монро,,,,"Эрл, Жемчужина, Черный Иисус",G,0.0,0.0,75.0,185,Штат Уинстон-Салем,,1944-11-21,Филадельфия,ПА,США,Джон Бартрам,Филадельфия,ПА,США,0000-00-00,B
millsch01,Крис,Кристофер,Lemonte,Мельницы,,,,Крис,F,0.0,0.0,78.0,215,Аризона,Кентукки,1970-01-25,Лос-Анджелес,КА,США,Фэрфакс,Лос-Анджелес,КА,США,0000-00-00,B
ratlith01,Тео,Теофалия,Curtis,Ратлифф,,,,Тео,Ф-С,0.0,0.0,82.0,225,Вайоминг,,1973-04-17,Демополис,AL,США,Демополис,Демополис,AL,США,0000-00-00,B
debnaru01,,Рудольф,,Дебнар,,,,Руди,G,0.0,0.0,71.0,160,Дюкесне,,1916-05-09,ht) Шарлерой,ПА,США,,,,,0000-00-00,W
robinch01,Крис,Кристофер,Sean,Робинсон,,,,Крис,G,0.0,0.0,77.0,200,Западный Кентукки,,1974-04-02,Колумб,GA,США,Юго-запад,Мейсон,GA,США,0000-00-00,B
risenar01,Арни,Арнольд,D.,Изобретение,,,,"Арни, Стилтс",С-Ф,0.0,0.0,81.0,200,Штат Огайо,Восточный Кентукский штат,1924-10-09,Вильямстаун,KY,США,Вильямстаун,Вильямстаун,KY,США,0000-00-00,W
liebesa01,,Сэм,,Либерман,,,,,C,0.0,0.0,80.0,0,Лоуренс Тех,,0000-00-00,,,,,,,,0000-00-00,W
kleindi01,,Дик,Oland,Кляйн,,,,,С-Ф,0.0,0.0,75.0,215,Северо-западный,,1920-09-16,Форт Мэдисон,IA,США,,,,,2000-10-10,W
russefr01,Фрэнк,Фрэнк,,Рассел,,,,,G,0.0,0.0,75.0,180,Детройт,Оклендский CC,1949-04-17,,,,Центральный,Понтиак,МИ,США,0000-00-00,B
hendecu01,,Курт,,Хендерсон,,,,,G,0.0,0.0,68.0,150,Южный Иллинойс,,0000-00-00,,,,,,,,0000-00-00,W
burroju01,Младший,Томас,Harold,Берроу,,,,Младший,F,0.0,0.0,80.0,242,Вирджиния,,1973-01-18,Шарлотта,НС,США,Академия Западной Шарлотты/Оук Хилл,Шарлотта / Рот Уилсона,НЦ/ВА,США,0000-00-00,B
morrijo01,Джон,Джон,Russell,Моррисон,,,,,G,0.0,0.0,74.0,190,Каниций,,1945-05-02,(ht) Парк Розель,NJ,США,Подготовка к сето-холлу,Западный апельсин,NJ,США,0000-00-00,W
morelja01,Джеки,Джек,Wade,Морленд,,,,Джеки,Ф-Г,0.0,0.0,79.0,215,Луизиана Технология,штат Северная Каролина,1938-03-11,Минден,Лос-Анджелес,США,Харрис/Минден,Харрис/Минден,Лос-Анджелес,США,1971-12-19,W
gregocl01,Клод,Клод,Andre,Грегори,,,,,F,0.0,0.0,80.0,205,Висконсин,,1958-12-26,Вашингтон,РС,США,Кулидж,Вашингтон,РС,США,0000-00-00,B
critcru01,Расс,Рассел,Dean,Кричфилд,,,,"Расти, Расти.",G,0.0,0.0,70.0,150,Калифорния,,1946-06-27,Салины,КА,США,Салины,Салины,КА,США,0000-00-00,W
macklru01,Руди,Дюран,,Маклин,,,,Руди,Ф-Г,0.0,0.0,79.0,205,Государство Луизиана,,1958-02-19,Луисвилль,KY,США,Шоуни,Луисвилль,KY,США,0000-00-00,B
stoudam01,Амаре,Амаре,Carsares,Штудемир,,,,AKA Amare Studemir,Ф-С,0.0,0.0,82.0,245,нет,,1982-11-16,озеро Уэльс,ФЛ,США,Ципресс Крик,Орландо,ФЛ,США,0000-00-00,B
drollra01,Ральф,Ральф,Kim,Дроллингер,,,,,C,0.0,0.0,86.0,250,ОАКЛА,,1954-04-20,Ла-Меса,КА,США,Гросмонт,Ла-Меса,КА,США,0000-00-00,W
wilkeja02,Джеймс,Джеймс,Robert,Уилкс,,,,,F,0.0,0.0,79.0,195,ОАКЛА,,1958-03-12,Нэшвилл,TN,США,Дорси,Лос-Анджелес,КА,США,0000-00-00,B
ingeral01,,Альберт,R.,Ингерман,,,,"Альби, Альби",G,0.0,0.0,69.0,160,Храм,,1925-12-04,Филадельфия,ПА,США,Центральный,Филадельфия,ПА,США,2010-04-05,W
pruitga01,Гейб,Габриэль,Michael,Пруитт,,,,Гейб,G,0.0,0.0,76.0,170,USC,,1986-04-19,Лос-Анджелес,КА,США,Вестчестер,Лос-Анджелес,КА,США,0000-00-00,B
smithis01,Ишмаэль,Ишмаэль,Larry,Смит,,,,Иш,G,0.0,0.0,72.0,175,Уэйк Форест,,1988-07-05,Шарлотта,НС,США,Центральный Кабаррус,Конкорд,НС,США,0000-00-00,B
wintevo01,Войс,Войс,Lee,Зимы,,,,,F,0.0,0.0,80.0,200,Брэдли,,1962-10-12,Чикаго,Ил,США,Гейдж Парк,Чикаго,Ил,США,0000-00-00,B
laneje01,Иероним,Иероним,,Лейн,,,,,F,0.0,0.0,78.0,230,Питтсбург,,1966-12-04,Акрон,Ооо.,США,Сент-Винсент-Сент-Мэри,Акрон,Ооо.,США,0000-00-00,B
maxeyma01,Марлон,Марлон,Lee,Макси,,,,,F,0.0,0.0,80.0,250,UTEP,Миннесота,1969-02-19,Чикаго,Ил,США,Перси Л. Джулиан,Чикаго,Ил,США,0000-00-00,B
warriha01,Хаким,Хаким,Hanif,Уоррик,,,,,F,0.0,0.0,81.0,219,Сиракуз,,1982-07-08,Филадельфия,ПА,США,Центральная группа друзей,Уиннвуд,ПА,США,0000-00-00,B
corchch01,Крис,Кристофер,,Корчиани,,,,"Крис, огонь",G,0.0,0.0,71.0,185,штат Северная Каролина,,1968-03-28,Коралловые гейблы,ФЛ,США,Озера Майами,Хиалея,ФЛ,США,0000-00-00,W
hugheri01,Рик,Рик,,Хьюз,,,,,F,0.0,0.0,81.0,235,Томас Мор,,1973-08-22,Цинциннати,Ооо.,США,Грецкие холмы,Цинциннати,Ооо.,США,0000-00-00,B
lochmbo01,Боб,Роберт,L.,Лохмюллер,,,,Боб,F,0.0,0.0,77.0,185,Луисвилль,,1927-06-05,,,,Элберфельд,Элберфельд,ВНУТРЕННИЕ,США,0000-00-00,W
lacefre01,Реджи,Реджи,,Лэйсфилд,,,,,G-F,0.0,0.0,77.0,230,Западный Мичиган,,1945-04-10,Гэри,ВНУТРЕННИЕ,США,Рузвельт,Гэри,ВНУТРЕННИЕ,США,0000-00-00,B
stuckro01,Родни,Родни,Norvell,Стаки,,,,Горячий Род,G,0.0,0.0,77.0,205,Восточный Вашингтон,,1986-04-21,Сиэтл,WA,США,Кентвуд,Кент,WA,США,0000-00-00,B
kerbeot01,,Отто,,Кербер,,,,,G,0.0,0.0,74.0,175,Де Поль,,0000-00-00,,,,Lane Tech,Чикаго,Ил,США,0000-00-00,W
trianja01,Джей,Джей,,Триано,,,,,,0.0,0.0,0.0,0,,,0000-00-00,,,,,,,,0000-00-00,
hassebi01,Билли,Уильям,Joseph,Хассетт,,,,Билли,G,0.0,0.0,70.5,180,Нотр-Дам,Джорджтаун,1921-10-21,,,,Академия &lt; &lt; ЛаСалле &gt; &gt;,Нью-Йорк,Нью-Йорк,США,1992-11-18,W
cashsa01,Сэм,Сэм,,Наличность,,,,,F,0.0,0.0,80.0,230,Калифорния-Риверсайд,Сан-Бернадино Долина,1950-11-13,,,,Тихоокеанский регион,Сан-Бернадино,КА,США,0000-00-00,B
fowleje01,Джерри,Джерри,A.,Фаулер,,,,,C,0.0,0.0,79.5,228,Миссури,,1927-06-20,(ht) Бунвилль,МО,США,,,,,2008-06-15,W
jeskobi01,,Уильям,,Джеско,,,,Билл,G-F,0.0,0.0,70.0,170,Питтсбург,,0000-00-00,,,,Южное,Питтсбург,ПА,США,0000-00-00,W
kendrfr01,Фрэнк,Фрэнк,Edward,Кендрик,,,,,F,0.0,0.0,78.0,198,Задолженность,,1950-09-11,Индианаполис,ВНУТРЕННИЕ,США,Индианаполис Технология,Индианаполис,ВНУТРЕННИЕ,США,0000-00-00,B
grossmi01,Майк,Майкл,James,Гроссо,,,,Майк,C,0.0,0.0,81.0,230,Луисвилль,Южная Каролина,1947-09-07,Раритан,NJ,США,Бриджвотер-Раритан,Раритан,NJ,США,0000-00-00,W
gardnea01,Эрл,Эрл,Baker,Гарднер,,,,Красный,F,0.0,0.0,75.0,190,ДеПоу,Вабаш,1923-09-18,,,,Новый рынок,Новый рынок,ВНУТРЕННИЕ,США,2005-10-15,W
edwarke01,Кевин,Кевин,Durell,Эдвардс,,,,,G,0.0,0.0,75.0,190,Де Поль,Лэйкленд К.К.,1965-10-30,Кливлендские высоты,Ооо.,США,Академия Св. Иосифа,Кливленд,Ооо.,США,0000-00-00,B
slaugjo01,Хосе,Хосе,Dan,Убийство,,,,,G,0.0,0.0,77.0,205,Портленд,,1960-09-09,Лос-Анджелес,КА,США,Комптон,Комптон,КА,США,0000-00-00,B
glovecl01,Кларенс,Кларенс,,Гловер,,,,,F,0.0,0.0,80.0,210,Западный Кентукки,,1947-11-01,Лошадиные пещеры,KY,США,Каверна,Лошадиные пещеры,KY,США,0000-00-00,B
smithbi01,Билл,Уильям,F.,Смит,,,,Билл,G-F,0.0,0.0,77.0,190,Святого Петра,,1939-04-26,,,,Дикинсон/Нейтская военная академия,Джерси-Сити/Корнуолл-на-Гудсон,НДЖ/Нью-Йорк,США,0000-00-00,W
ivoryel01,Элвин,Элвин,Dennis,Слоновая кость,,,,Маленький Е,F,0.0,0.0,79.5,210,Юго-западная Луизиана,,1948-07-02,Бирмингем,AL,США,К.В. Хейс,Бирмингем,AL,США,0000-00-00,B
gibsomi01,Майк,Майкл,Jerome,Гибсон,,,,Майк,F,0.0,0.0,82.0,205,СК-Спартанбург,,1960-10-27,Вильямсбург Ко.,ПК,США,Хемингуэй,Хемингуэй,ПК,США,0000-00-00,B
brownle02,Льюис,Льюис,,Коричневый,,,,,C,0.0,0.0,82.0,225,ПООНО,,1955-02-19,Лос-Анджелес,КА,США,Верхний адрес Dei,Лос-Анджелес,КА,США,2011-09-14,B
masinal01,Al,Альфред,Albert,Масино,,,,Al,G,0.0,0.0,70.0,174,Каниций,,1928-02-05,,,,Восточный,Рочестер,Нью-Йорк,США,2006-08-16,W
bassbr01,Брендон,Брендон,Sam,Басс,,,,B Басс.,F,0.0,0.0,80.0,240,Государство Луизиана,,1985-04-30,&lt; &lt; Батон красный &gt; &gt;,Лос-Анджелес,США,Капитолий,&lt; &lt; Батон красный &gt; &gt;,Лос-Анджелес,США,0000-00-00,B
mcdonro01,Род,Родерик,William,Макдональд,,,,Род,F,0.0,0.0,78.0,205,Уитворт,,1945-04-09,Джексонвилль,ФЛ,США,Парк Кловера,Такома,WA,США,0000-00-00,W
dillami01,Микки,Микки,Anthony,Диллард,,,,,G,0.0,0.0,75.0,170,Флорида,,1958-10-15,Голливуд,ФЛ,США,Нова,Форт Лодердейл,ФЛ,США,0000-00-00,B
perigbi01,,Уильям,J.,Периго,,,,Билл,F,0.0,0.0,72.0,180,Западный Мичиган,,1911-09-17,,,,Дельфи,Дельфи,ВНУТРЕННИЕ,США,1990-02-07,W
rambiku01,Курт,Даррелл,Kurt,Рамби,,,,"Курт, Рэмбо",F,0.0,0.0,80.0,213,Санта-Клара,,1958-02-25,Купертино,КА,США,Купертино,Купертино,КА,США,0000-00-00,W
ochseru01,,Рассел,W.,Охсенхирт,,,,Расс,F,0.0,0.0,75.0,195,Питтсбург,,1912-04-16,,,,Перри,Питтсбург,ПА,США,2002-10-04,W
warneco01,Корнелл,Корнелл,,Уорнер,,,,Мемфис,Ф-С,0.0,0.0,81.0,220,Государство Джексон,,1948-08-12,Джексон,MS,США,Ланье,Джексон,MS,США,0000-00-00,B
lloydbi01,,Билл,,Ллойд,,,,,G-F,0.0,0.0,74.0,180,Сент-Джонс (НЙ),,0000-00-00,,,,,,,,0000-00-00,W
