season,slot,strongseed,weakseed
1998,R1X3,X03,X14
2006,R3Z2,R2Z2,R2Z3
1986,R3X1,R2X1,R2X4
1997,R2Y2,R1Y2,R1Y7
1999,R3Y1,R2Y1,R2Y4
2010,R1Z6,Z06,Z11
2005,R1W3,W03,W14
2001,R1Z6,Z06,Z11
1988,R2Y4,R1Y4,R1Y5
2008,R1Z8,Z08,Z09
1994,R1W2,W02,W15
2009,R2Y1,R1Y1,R1Y8
2014,R4X1,R3X1,R3X2
2001,R1X3,X03,X14
1993,R4W1,R3W1,R3W2
2013,R3W2,R2W2,R2W3
2011,R4W1,R3W1,R3W2
2003,R2W2,R1W2,R1W7
2011,R3W2,R2W2,R2W3
2010,R1Z1,Z01,Z16
2006,R4W1,R3W1,R3W2
2011,R2X1,R1X1,R1X8
2000,R1Z4,Z04,Z13
1991,R1Y2,Y02,Y15
1994,R3Y1,R2Y1,R2Y4
1991,R1W5,W05,W12
2014,R1Z7,Z07,Z10
1987,R1X8,X08,X09
2013,R1W8,W08,W09
2007,Z16,Z16a,Z16b
1993,R1Z3,Z03,Z14
2011,R1W5,W05,W12
1996,R2Y4,R1Y4,R1Y5
2002,R2Y1,R1Y1,R1Y8
2006,R1Y2,Y02,Y15
1991,R2Y3,R1Y3,R1Y6
1987,R1Y6,Y06,Y11
2000,R1Z5,Z05,Z12
1994,R1X3,X03,X14
1989,R1Z7,Z07,Z10
2012,R1Z3,Z03,Z14
2013,R2Z2,R1Z2,R1Z7
1992,R3X1,R2X1,R2X4
1993,R1Y8,Y08,Y09
1993,R3X1,R2X1,R2X4
2000,R2Z2,R1Z2,R1Z7
2011,R1X6,X06,X11
1985,R1Y7,Y07,Y10
2003,R1X4,X04,X13
1985,R2Z3,R1Z3,R1Z6
1995,R1Z7,Z07,Z10
2000,R4Z1,R3Z1,R3Z2
1997,R1X5,X05,X12
2001,R1W7,W07,W10
1999,R2X4,R1X4,R1X5
2007,R3Z2,R2Z2,R2Z3
1986,R1W8,W08,W09
2004,R2W1,R1W1,R1W8
2007,R1W1,W01,W16
1997,R1X6,X06,X11
1991,R5WX,R4W1,R4X1
1987,R1Z7,Z07,Z10
1986,R2W1,R1W1,R1W8
1991,R2Y2,R1Y2,R1Y7
2013,R2W3,R1W3,R1W6
1997,R5WX,R4W1,R4X1
1990,R1W4,W04,W13
2005,R2Z4,R1Z4,R1Z5
2000,R2W4,R1W4,R1W5
1997,R1X7,X07,X10
1998,R3X2,R2X2,R2X3
1985,R3X1,R2X1,R2X4
1987,R1Z5,Z05,Z12
1995,R1Z2,Z02,Z15
2004,R1X6,X06,X11
2012,R1X6,X06,X11
2005,R1Y8,Y08,Y09
1998,R4W1,R3W1,R3W2
2012,R1Z1,Z01,Z16
1987,R1W6,W06,W11
