playerid,year,ppa,sha
macivno01,1988,19,
butchga01,1990,3,2
kontoch01,1987,6,
mckegto01,1990,7,
hullbr01,1987,10,
halwado01,1988,1,
adamsgr01,1989,1,
wellsja01,1989,3,2
vaiveri01,1988,15,
mcbeawa01,1988,1,
charbjo01,1988,1,
courtru01,1988,2,
huntema01,1990,4,
klimape01,1989,11,
maclebr01,1988,8,
grahadi01,1987,7,1
wilsoca01,1987,9,3
krushmi01,1990,3,
lawtobr01,1988,4,
simpscr01,1987,10,1
malondo01,1988,2,
laughcr01,1987,3,
zezelpe01,1990,5,1
goulemi01,1989,15,1
tantito01,1989,9,
donnemi01,1987,2,
kaspest01,1988,6,2
tantito01,1990,5,
brookbo01,1989,1,2
creigad01,1988,7,
frycemi01,1988,3,
pederma01,1990,7,
norwole01,1990,3,
sandsto01,1989,20,
hardyma01,1988,5,
skrikpe01,1990,5,
ledyagr01,1987,5,
mckegto01,1989,3,
foligmi01,1990,1,
murphla01,1990,19,
courtge01,1987,7,
manthmo01,1987,15,1
adamsgr01,1988,1,
duguaro01,1987,2,
loisecl01,1990,1,1
quinnda01,1990,18,
libaig01,1988,6,
broteaa01,1989,3,
zezelpe01,1988,17,
mcdonhu01,1989,1,
chrisda01,1989,7,
hunteda01,1987,1,4
joycebo01,1989,3,
momesse01,1990,1,
larsore01,1988,14,
allismi01,1987,5,
wilsoca01,1988,19,
pavesji01,1987,1,
brownro01,1990,10,
tuckejo01,1990,1,
nichobe01,1989,37,1
rousebo01,1988,,1
