year,lgid,tmid,oppid,w,l,t,otl
2001,NHL,MIN,MTL,1,1,0.0,0
1990,NHL,MNS,PHI,1,1,1.0,
2001,NHL,OTT,NAS,1,1,0.0,0
1970,NHL,BUF,CLF,3,3,0.0,
2007,NHL,NYI,BUF,2,2,,0
1997,NHL,EDM,ANA,2,4,0.0,
2010,NHL,BOS,SJS,0,1,,0
2000,NHL,VAN,TOR,1,1,1.0,0
1999,NHL,CHI,VAN,2,2,0.0,0
1973,NHL,VAN,LAK,2,3,0.0,
2010,NHL,PHO,NYI,1,0,,0
1993,NHL,FLO,DAL,0,1,1.0,
2011,NHL,BUF,NAS,1,0,,0
2001,NHL,NYR,PHO,0,1,0.0,0
1969,NHL,MTL,BOS,3,2,3.0,
1973,WHA,EDO,LAS,4,4,0.0,
1948,NHL,DET,NYR,7,4,1.0,
1973,NHL,PHI,VAN,3,1,1.0,
1995,NHL,PHI,TBL,2,1,2.0,
1993,NHL,VAN,PIT,0,2,0.0,
1989,NHL,STL,MNS,4,4,0.0,
2009,NHL,OTT,NAS,0,0,,1
1992,NHL,NJD,WAS,5,2,0.0,
1983,NHL,BUF,MTL,8,0,0.0,
1976,WHA,EDO,WIJ,4,8,0.0,
2002,NHL,LAK,EDM,1,3,0.0,0
1999,NHL,CAL,NJD,1,0,1.0,0
1973,WHA,NYJ,MFS,4,2,0.0,
1999,NHL,WAS,CHI,1,0,1.0,0
1964,NHL,DET,TOR,7,6,1.0,
2002,NHL,NJD,TBL,1,1,2.0,0
2005,NHL,ANA,ATL,1,0,,0
2002,NHL,CAL,OTT,0,1,0.0,0
2011,NHL,DAL,BOS,1,0,,0
1996,NHL,MTL,TBL,2,1,1.0,
1992,NHL,VAN,CHI,1,2,1.0,
1974,NHL,WAS,LAK,0,5,1.0,
1986,NHL,PIT,VAN,1,0,2.0,
1979,NHL,TOR,MTL,1,3,0.0,
1997,NHL,OTT,LAK,1,1,0.0,
2002,NHL,NAS,SJS,2,1,1.0,0
2005,NHL,DET,VAN,2,2,,0
2010,NHL,COL,FLO,0,0,,1
2003,NHL,BOS,FLO,0,2,2.0,0
2007,NHL,PHO,CBS,1,3,,0
2003,NHL,NYI,PIT,3,0,2.0,1
1999,NHL,MTL,SJS,1,1,0.0,0
1973,WHA,WIJ,NYJ,4,2,0.0,
2000,NHL,TOR,CBS,0,0,1.0,0
1948,NHL,NYR,TOR,3,5,4.0,
2001,NHL,NJD,BOS,2,1,0.0,1
2011,NHL,MTL,AND,0,1,,0
2008,NHL,CBS,TOR,1,0,,0
2005,NHL,DET,NJD,1,0,,0
1998,NHL,TOR,NJD,2,1,1.0,
1974,NHL,LAK,STL,3,0,1.0,
1962,NHL,MTL,TOR,3,6,5.0,
1943,NHL,TOR,CHI,4,5,1.0,
2008,NHL,DAL,NJD,1,1,,0
1920,PCHA,VA2,VML,3,9,0.0,
1985,NHL,MNS,NYI,2,0,1.0,
1967,NHL,PIT,DET,1,3,0.0,
1996,NHL,CAL,NYR,1,1,0.0,
1989,NHL,NYR,BOS,3,0,0.0,
2002,NHL,LAK,MIN,1,2,1.0,0
1993,NHL,TOR,DAL,4,1,1.0,
1973,WHA,HOU,TOT,2,4,0.0,
1979,NHL,PHI,COR,2,1,1.0,
1927,NHL,NYA,PIP,2,1,1.0,
2002,NHL,MTL,ANA,0,1,1.0,0
1972,NHL,BOS,BUF,4,1,1.0,
2006,NHL,TOR,FLO,2,2,,0
2006,NHL,DET,OTT,0,1,,0
1975,NHL,DET,KCS,3,1,0.0,
1977,NHL,CLE,MTL,1,4,0.0,
1978,WHA,BIR,CIN,7,7,1.0,
2001,NHL,NAS,FLO,1,0,1.0,0
2008,NHL,DAL,NYI,1,0,,0
1964,NHL,NYR,BOS,8,5,1.0,
1996,NHL,DAL,PHI,0,1,1.0,
1983,NHL,EDM,DET,3,0,0.0,
1999,NHL,FLO,VAN,1,1,0.0,0
2007,NHL,LAK,NJD,0,1,,0
1969,NHL,MNS,LAK,2,2,4.0,
1975,WHA,HOU,QUN,1,3,0.0,
1980,NHL,LAK,VAN,4,0,0.0,
2010,NHL,NYI,MTL,2,2,,0
1994,NHL,SJS,CHI,2,2,0.0,
