playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
harrism01,1920,VML,PCHA,L,5,2,1,3,6
roachjo01,1921,TRS,NHL,G,5,0,0,0,0
cleghod01,1924,MTL,NHL,R/C,4,0,0,0,0
mcgifro01,1913,TBS,NHA,F,3,2,0,2,25
berlilo01,1916,MOC,NHA,L,4,0,0,0,0
mackami01,1914,VML,PCHA,L,3,4,2,6,6
lehmahu01,1914,VML,PCHA,G,3,0,0,0,0
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
harrism01,1915,PO1,PCHA,L,5,4,2,6,23
poulisk01,1915,MOC,NHA,C,5,1,1,2,6
gerared01,1914,OT1,NHA,L,3,1,2,3,14
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
morenho01,1924,MTL,NHL,C,4,4,1,5,4
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
taylocy01,1914,VML,PCHA,R/L,3,7,3,10,3
corbeco01,1913,TBS,NHA,D,2,0,0,0,0
meekiha01,1925,VIC,WCHL,L,4,0,0,0,6
dinsmch01,1925,MTM,NHL,F,4,0,0,0,2
denneco01,1922,VAM,PCHA,C,3,0,0,0,0
pitredi01,1916,MOC,NHA,R,4,5,0,5,6
halljo01,1918,MTL,NHL,D,5,0,0,0,6
vezinge01,1916,MOC,NHA,G,4,0,0,0,0
broadpu01,1920,OTS,NHL,R,4,2,0,2,0
mackeja01,1919,OTS,NHL,F,5,0,0,0,0
frasego01,1925,VIC,WCHL,D,4,0,0,0,14
coutubi01,1923,MTL,NHL,D,4,0,0,0,0
hartgi01,1924,VIC,WCHL,R,4,2,1,3,0
reidch01,1923,CAT,WCHL,G,2,0,0,0,0
camerha01,1913,TBS,NHA,D,2,1,0,1,4
frasego01,1924,VIC,WCHL,D,4,2,1,3,6
moranpa01,1912,QU1,NHA,G,3,0,0,0,0
hartgi01,1925,VIC,WCHL,R,4,0,0,0,2
gerared01,1919,OTS,NHL,D,5,2,1,3,3
halljo01,1912,QU1,NHA,D,3,0,0,0,7
oatmaed01,1923,CAT,WCHL,C,2,0,1,1,0
darraja01,1919,OTS,NHL,R/L,5,5,2,7,3
smithto01,1916,MOC,NHA,C,4,2,0,2,3
poulisk01,1913,VA1,PCHA,L,3,2,0,2,17
noblere01,1917,TOA,NHL,L,5,2,1,3,0
denneco01,1921,TRS,NHL,L/C,5,3,2,5,2
foystfr01,1925,VIC,WCHL,L,4,0,0,0,2
fredrfr01,1924,VIC,WCHL,C,4,3,3,6,6
lavioja01,1916,MOC,NHA,L,4,1,2,3,9
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
ulricja01,1913,VA1,PCHA,R,3,0,0,0,3
marshja02,1913,TBS,NHA,D,3,1,0,1,2
patrile01,1912,VA1,PCHA,D,3,4,0,4,4
mackami01,1923,VAM,PCHA,L,2,0,0,0,0
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
lehmahu01,1921,VML,PCHA,G,5,0,0,0,0
rickero01,1916,SEA,PCHA,D,4,0,1,1,23
gardihe01,1923,CAT,WCHL,D,2,1,0,1,0
cleghod01,1918,MTL,NHL,C,5,2,0,2,9
vezinge01,1924,MTL,NHL,G,4,0,0,0,0
rowebo01,1919,SEA,PCHA,D,5,2,1,3,13
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
oatmaed01,1915,PO1,PCHA,C,5,3,1,4,16
mcnamho01,1915,MOC,NHA,D,5,0,1,1,21
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
wilsocu01,1916,SEA,PCHA,R,4,1,2,3,0
brandru01,1922,EDE,WCHL,L,1,0,0,0,0
skinnal01,1921,VML,PCHA,R,5,0,1,1,12
smyliro01,1921,TRS,NHL,L,5,1,3,4,0
bouchbi01,1923,MTL,NHL,R,4,5,1,6,6
morribe01,1923,CAT,WCHL,C,2,0,0,0,2
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
morribe01,1919,SEA,PCHA,C,5,0,2,2,0
denneco01,1917,TOA,NHL,L/C,5,3,1,4,0
mcdonra01,1917,VML,PCHA,L,3,2,1,3,9
merriho01,1914,OT1,NHA,D,3,0,0,0,0
barboal01,1915,PO1,PCHA,C,5,0,0,0,0
trappbo01,1922,EDE,WCHL,D,2,0,0,0,2
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
lavioja01,1915,MOC,NHA,L,2,0,0,0,6
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
walkeja01,1924,VIC,WCHL,L,4,4,2,6,0
gerared01,1921,TRS,NHL,D,1,0,0,0,0
bellbi01,1923,MTL,NHL,F,3,0,0,0,0
rossar01,1914,OT1,NHA,D,3,0,0,0,12
marksja01,1912,QU1,NHA,R,3,2,0,2,2
brucemo01,1920,OTS,NHL,F,5,0,0,0,0
taylocy01,1920,VML,PCHA,L,3,0,1,1,5
bouchfr01,1922,VAM,PCHA,C,4,2,0,2,0
bouchge01,1922,OTS,NHL,D,6,2,1,3,6
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
walkeja01,1919,SEA,PCHA,C,5,1,3,4,0
foystfr01,1913,TBS,NHA,C,3,2,0,2,3
dundeto01,1912,VA1,PCHA,C,3,3,0,3,8
matzjo01,1924,MTL,NHL,F,4,0,0,0,2
adamsbi01,1920,VML,PCHA,R,4,0,0,0,0
oatmaed01,1921,VML,PCHA,R,5,1,1,2,14
munrodu01,1925,MTM,NHL,D,4,1,0,1,6
hitchli01,1922,OTS,NHL,D,5,1,0,1,4
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
headlfe01,1924,MTL,NHL,D,4,0,0,0,0
meekiha01,1924,VIC,WCHL,L,4,0,1,1,2
camerha01,1917,TOA,NHL,D,5,3,1,4,0
gagnear01,1922,EDE,WCHL,R,2,0,0,0,2
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
davidal01,1913,TBS,NHA,R,2,1,0,1,7
coutubi01,1918,MTL,NHL,D,5,0,1,1,0
arbouam01,1915,MOC,NHA,L,4,3,0,3,8
dennecy01,1920,OTS,NHL,L,5,2,2,4,10
dundeto01,1915,PO1,PCHA,C,5,1,0,1,9
