year,lgid,tmid,oppid,w,l,t,otl
1987,NHL,EDM,BOS,1,1,1.0,
2009,NHL,LAK,SJS,3,2,,1
2007,NHL,EDM,ATL,1,0,,0
1936,NHL,MTM,TOR,4,3,1.0,
2006,NHL,CAR,BOS,3,0,,1
1979,NHL,HAR,NYR,1,2,1.0,
2009,NHL,ATL,CHI,0,0,,1
1997,NHL,DET,WAS,2,0,0.0,
1995,NHL,MTL,BOS,4,1,1.0,
1924,WCHL,EDE,VMR,3,2,0.0,
1994,NHL,BOS,NJD,3,1,0.0,
2001,NHL,ATL,NYI,1,3,0.0,0
1994,NHL,OTT,TBL,3,1,0.0,
1999,NHL,STL,PHO,3,1,0.0,0
1999,NHL,VAN,FLO,1,1,0.0,0
1977,NHL,NYI,LAK,2,0,2.0,
1978,NHL,DET,TOR,2,2,0.0,
2005,NHL,WAS,PHI,1,3,,0
1984,NHL,NJD,PHI,2,5,0.0,
1980,NHL,BOS,CHI,3,1,0.0,
1990,NHL,CAL,CHI,2,1,0.0,
1972,WHA,WIJ,ALB,3,5,2.0,
2003,NHL,STL,VAN,1,3,0.0,0
1997,NHL,MTL,CHI,1,1,0.0,
1941,NHL,DET,TOR,2,5,1.0,
1981,NHL,NYR,WAS,3,2,3.0,
1972,NHL,STL,PHI,1,3,1.0,
1985,NHL,CAL,WIN,6,1,1.0,
2001,NHL,NYI,MTL,1,2,1.0,0
1941,NHL,TOR,MTL,5,3,0.0,
1977,NHL,ATF,CHI,1,2,2.0,
1998,NHL,WAS,EDM,1,1,0.0,
1985,NHL,PIT,CHI,1,1,1.0,
1979,NHL,MNS,LAK,0,2,2.0,
2007,NHL,BOS,TBL,2,2,,0
2009,NHL,STL,MTL,1,0,,0
2000,NHL,EDM,NAS,3,1,0.0,0
2009,NHL,LAK,VAN,1,2,,1
2006,NHL,AND,MIN,2,1,,1
2009,NHL,STL,NYI,2,0,,0
1965,NHL,BOS,CHI,4,8,2.0,
1957,NHL,CHI,MTL,3,10,1.0,
1990,NHL,EDM,NYI,3,0,0.0,
1980,NHL,LAK,CHI,2,0,2.0,
1991,NHL,VAN,PHI,1,0,1.0,
1993,NHL,PIT,CAL,0,1,1.0,
1973,WHA,VAB,CHC,1,4,1.0,
2008,NHL,TOR,BOS,1,4,,1
1997,NHL,TOR,CHI,4,1,1.0,
1971,NHL,CHI,NYR,1,2,3.0,
2002,NHL,PIT,VAN,0,1,0.0,0
1988,NHL,TOR,MNS,4,3,1.0,
1929,NHL,PIP,BOS,0,6,0.0,
2008,NHL,AND,BUF,2,0,,0
2006,NHL,MTL,DET,0,1,,0
2008,NHL,LAK,PHO,2,4,,0
1929,NHL,MTM,TOR,3,2,1.0,
2001,NHL,STL,OTT,1,1,0.0,0
2008,NHL,NJD,TBL,4,0,,0
1978,NHL,PIT,ATF,0,3,1.0,
2011,NHL,WPG,CAL,0,1,,0
1996,NHL,NJD,PHI,2,3,0.0,
1980,NHL,TOR,COR,1,1,2.0,
1990,NHL,VAN,WAS,1,2,0.0,
1991,NHL,QUE,CHI,0,3,0.0,
1997,NHL,MTL,VAN,1,0,1.0,
1979,NHL,STL,NYI,1,3,0.0,
2002,NHL,MTL,NAS,1,0,0.0,0
2003,NHL,COL,EDM,4,2,0.0,0
2001,NHL,STL,LAK,1,2,1.0,0
1998,NHL,EDM,NYI,1,0,0.0,
1986,NHL,TOR,BOS,1,2,0.0,
1977,NHL,NYI,PHI,2,1,3.0,
2005,NHL,NYI,BUF,0,3,,1
1988,NHL,LAK,EDM,4,4,0.0,
1980,NHL,VAN,BUF,1,1,2.0,
2005,NHL,FLO,STL,1,0,,0
2005,NHL,WAS,ANA,1,0,,0
2010,NHL,DAL,DET,3,1,,0
2000,NHL,CAR,TBL,3,2,0.0,0
1995,NHL,BOS,CHI,0,2,0.0,
2007,NHL,AND,DAL,3,5,,0
1976,NHL,LAK,NYR,3,0,1.0,
1980,NHL,PIT,NYR,2,1,1.0,
1982,NHL,LAK,EDM,1,5,2.0,
1983,NHL,NJD,STL,0,3,0.0,
2009,NHL,EDM,ATL,0,1,,0
2005,NHL,PHO,LAK,5,3,,0
1972,NHL,DET,LAK,2,2,1.0,
2011,NHL,WPG,TOR,2,1,,1
1999,NHL,VAN,PHI,1,0,0.0,1
2000,NHL,STL,PIT,1,1,0.0,0
1996,NHL,BOS,OTT,2,4,0.0,
1926,NHL,BOS,CHI,3,2,1.0,
2003,NHL,MIN,PHO,1,1,1.0,1
1973,WHA,TOT,NYJ,4,3,1.0,
1992,NHL,LAK,TOR,1,2,1.0,
2009,NHL,CAL,BUF,0,0,,1
1997,NHL,NYR,DAL,0,1,1.0,
2011,NHL,DET,AND,3,1,,0
2008,NHL,CHI,LAK,2,2,,0
2011,NHL,CAL,NAS,1,3,,0
1983,NHL,TOR,WAS,0,3,0.0,
1975,NHL,CHI,DET,1,2,1.0,
1984,NHL,CAL,BOS,3,0,0.0,
1985,NHL,PHI,PIT,6,0,1.0,
1976,NHL,BOS,CHI,4,0,0.0,
