coachid,award,year,lgid,note
lemaija01c,Jack Adams,1993,NHL,
barbebi01c,Jack Adams,2000,NHL,
irvindi01c,First Team All-Star,1945,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
patrile01c,First Team All-Star,1933,NHL,
boudrbr01c,Jack Adams,2007,NHL,
rossar01c,Second Team All-Star,1942,NHL,
francbo01c,Jack Adams,2001,NHL,
weilaco01c,First Team All-Star,1940,NHL,
quinnpa01c,Jack Adams,1979,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
wattto01c,Jack Adams,1981,NHL,
dayha01c,Second Team All-Star,1943,NHL,
burnspa01c,Jack Adams,1997,NHL,
sherofr01c,Jack Adams,1973,NHL,
thomppa01c,First Team All-Star,1939,NHL,
tessior01c,Jack Adams,1982,NHL,
demerja01c,Jack Adams,1986,NHL,
kelleja01c,Baldwin,1972,WHA,
irvindi01c,Second Team All-Star,1940,NHL,
martija02c,Jack Adams,1998,NHL,
duttore01c,Second Team All-Star,1938,NHL,
adamsja01c,First Team All-Star,1942,NHL,
murdobo01c,Jack Adams,1989,NHL,
juliecl01c,Jack Adams,2008,NHL,
tippeda01c,Jack Adams,2009,NHL,
arboual01c,Jack Adams,1978,NHL,
quinnpa01c,Jack Adams,1991,NHL,
sathegl01c,Jack Adams,1985,NHL,
harribi01c,Baldwin,1973,WHA,
irvindi01c,Second Team All-Star,1934,NHL,
berenre01c,Jack Adams,1980,NHL,
rossar01c,Second Team All-Star,1937,NHL,
ruffli01c,Jack Adams,2005,NHL,
patrile01c,First Team All-Star,1934,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
burnspa01c,Jack Adams,1988,NHL,
lemaija01c,Jack Adams,2002,NHL,
krommbo01c,Jack Adams,1977,NHL,
murrabr01c,Jack Adams,1983,NHL,
burnspa01c,Jack Adams,1992,NHL,
tortojo01c,Jack Adams,2003,NHL,
huculsa01c,Schmertz,1974,WHA,
irvindi01c,Second Team All-Star,1931,NHL,
gormato01c,Second Team All-Star,1935,NHL,
keenami01c,Jack Adams,1984,NHL,
irvindi01c,First Team All-Star,1944,NHL,
cherrdo01c,Jack Adams,1975,NHL,
irvindi01c,First Team All-Star,1943,NHL,
dineebi01c,Schmertz,1976,WHA,
bowmasc01c,Jack Adams,1995,NHL,
vigneal01c,Jack Adams,2006,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
hartce01c,Second Team All-Star,1936,NHL,
rossar01c,First Team All-Star,1938,NHL,
patrile01c,First Team All-Star,1930,NHL,
bylsmda01c,Jack Adams,2010,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
dineebi01c,Schmertz,1977,WHA,
patrile01c,First Team All-Star,1935,NHL,
patrile01c,First Team All-Star,1931,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
pulfobo01c,Jack Adams,1974,NHL,
demerja01c,Jack Adams,1987,NHL,
nolante01c,Jack Adams,1996,NHL,
suttebr01c,Jack Adams,1990,NHL,
brophjo01c,Schmertz,1978,WHA,
bouchfr01c,First Team All-Star,1941,NHL,
patrile01c,First Team All-Star,1932,NHL,
hitchke01c,Jack Adams,2011,NHL,
crawfma01c,Jack Adams,1994,NHL,
bowmasc01c,Jack Adams,1976,NHL,
