territoryid,territorydescription,regionid
60179,Hoffman Estatements,2
7960,Морристаун,1
33607,Тампа,4
10019,Нью-Йорк,1
40222,Луисвилль,1
6897,Уилтон,1
98104,Сиэтл,2
80909,Колорадо Спрингс,2
48075,Саутфилд,3
48084,Трой,3
3801,Портсмут,3
72716,Бентонвилль,4
20852,Роквилль,1
60601,Чикаго,2
2184,Мозги,1
95008,Кэмпбелл,2
27403,Гринсборо,1
95054,Санта-Клара,2
78759,Остин,4
94105,Сан-Франциско,2
48304,Блумфилдские холмы,3
98052,Редмонд,2
75234,Даллас,4
53404,Расин,3
44122,Бичвуд,3
11747,Мельвиль,1
10038,Нью-Йорк,1
2139,Кембридж,1
1833,Жоржтоу,1
1581,Вестборо,1
55439,Миннеаполис,3
19428,Филадельфия,3
19713,Ньюард,1
8837,Эдисон,1
80202,Денвер,2
1730,Бедфорд,1
3049,Холлис,3
32859,Орландо,4
85251,Скоттсдейл,2
2903,Провидение,1
29202,Колумбия,4
95060,Санта-Круз,2
30346,Атланта,4
14450,Фейрпорт,1
31406,Саванна,4
85014,Феникс,2
2116,Бостон,1
94025,Парк Менло,2
45839,Финдлей,3
27511,Кэри,1
98004,Бельвью,2
55113,Роузвилль,3
90405,Санта-Моника,2
