payment_no,member_no,payment_dt,payment_amt,statement_no,payment_code
12795,7218,1999-10-03T00:00:00,11522.0,0,
1024,2371,1999-09-02T00:00:00,3311.0,0,
11846,6212,1999-10-03T00:00:00,1055.0,0,
7324,9005,1999-09-02T00:00:00,37200.0,0,
5960,7641,1999-09-02T00:00:00,6740.0,0,
6452,8133,1999-09-02T00:00:00,10283.0,0,
9498,3287,1999-10-03T00:00:00,3486.0,0,
2471,4076,1999-09-02T00:00:00,3726.0,0,
6378,8059,1999-09-02T00:00:00,21095.0,0,
15332,9778,1999-10-03T00:00:00,6320.0,0,
2481,4088,1999-09-02T00:00:00,8890.0,0,
3773,5433,1999-09-02T00:00:00,4320.0,0,
9736,3634,1999-10-03T00:00:00,7477.0,0,
12542,6951,1999-10-03T00:00:00,4237.0,0,
2222,3809,1999-09-02T00:00:00,8618.0,0,
8734,1895,1999-10-03T00:00:00,3741.0,0,
7206,8887,1999-09-02T00:00:00,27494.0,0,
2288,3881,1999-09-02T00:00:00,8844.0,0,
11087,5357,1999-10-03T00:00:00,10030.0,0,
8563,1440,1999-10-03T00:00:00,2231.0,0,
14661,9107,1999-10-03T00:00:00,10444.0,0,
12846,7269,1999-10-03T00:00:00,15131.0,0,
14532,8978,1999-10-03T00:00:00,16449.0,0,
3369,5019,1999-09-02T00:00:00,16821.0,0,
7526,9207,1999-09-02T00:00:00,46209.0,0,
3410,5062,1999-09-02T00:00:00,7017.0,0,
13842,8283,1999-10-03T00:00:00,5827.0,0,
8371,658,1999-10-03T00:00:00,639.0,0,
6925,8606,1999-09-02T00:00:00,31323.0,0,
13956,8398,1999-10-03T00:00:00,7451.0,0,
11188,5474,1999-10-03T00:00:00,2070.0,0,
4390,6063,1999-09-02T00:00:00,534.0,0,
14812,9258,1999-10-03T00:00:00,7704.0,0,
2223,3810,1999-09-02T00:00:00,8612.0,0,
8882,2212,1999-10-03T00:00:00,239.0,0,
10656,4853,1999-10-03T00:00:00,12749.0,0,
534,1638,1999-09-02T00:00:00,11936.0,0,
10579,4765,1999-10-03T00:00:00,8107.0,0,
13307,7741,1999-10-03T00:00:00,15020.0,0,
12413,6819,1999-10-03T00:00:00,5638.0,0,
4711,6388,1999-09-02T00:00:00,14075.0,0,
7957,9638,1999-09-02T00:00:00,43079.0,0,
12994,7422,1999-10-03T00:00:00,6048.0,0,
