actor_id,film_id,last_update
152,968,2006-02-15T04:05:03
188,311,2006-02-15T04:05:03
45,680,2006-02-15T04:05:03
197,628,2006-02-15T04:05:03
142,875,2006-02-15T04:05:03
82,838,2006-02-15T04:05:03
158,32,2006-02-15T04:05:03
41,203,2006-02-15T04:05:03
120,255,2006-02-15T04:05:03
151,167,2006-02-15T04:05:03
91,982,2006-02-15T04:05:03
144,668,2006-02-15T04:05:03
174,352,2006-02-15T04:05:03
199,541,2006-02-15T04:05:03
33,489,2006-02-15T04:05:03
103,130,2006-02-15T04:05:03
155,249,2006-02-15T04:05:03
13,162,2006-02-15T04:05:03
30,262,2006-02-15T04:05:03
195,769,2006-02-15T04:05:03
32,219,2006-02-15T04:05:03
97,342,2006-02-15T04:05:03
118,136,2006-02-15T04:05:03
7,900,2006-02-15T04:05:03
102,329,2006-02-15T04:05:03
12,540,2006-02-15T04:05:03
23,536,2006-02-15T04:05:03
52,664,2006-02-15T04:05:03
170,758,2006-02-15T04:05:03
59,772,2006-02-15T04:05:03
185,510,2006-02-15T04:05:03
47,737,2006-02-15T04:05:03
109,863,2006-02-15T04:05:03
139,229,2006-02-15T04:05:03
83,873,2006-02-15T04:05:03
170,358,2006-02-15T04:05:03
111,737,2006-02-15T04:05:03
157,326,2006-02-15T04:05:03
16,271,2006-02-15T04:05:03
146,117,2006-02-15T04:05:03
121,884,2006-02-15T04:05:03
129,640,2006-02-15T04:05:03
