country_id,country,last_update
3,Американское Самоа,2006-02-15T03:44:00
15,Бразилия,2006-02-15T03:44:00
17,Австралия,2006-02-15T03:44:00
19,Камерун,2006-02-15T03:44:00
22,Чили,2006-02-15T03:44:00
27,Доминиканская Республика,2006-02-15T03:44:00
30,Литва,2006-02-15T03:44:00
34,Франция,2006-02-15T03:44:00
36,Французская Полинезия,2006-02-15T03:44:00
39,Греция,2006-02-15T03:44:00
40,Гренландия,2006-02-15T03:44:00
42,Гонконг,2006-02-15T03:44:00
45,Индонезия,2006-02-15T03:44:00
46,Иран,2006-02-15T03:44:00
47,Ирак,2006-02-15T03:44:00
51,Казахстан,2006-02-15T03:44:00
52,Кения,2006-02-15T03:44:00
53,Кувейт,2006-02-15T03:44:00
56,Литва,2006-02-15T03:44:00
57,Мадагаскар,2006-02-15T03:44:00
59,Малайзия,2006-02-15T03:44:00
62,Марокко,2006-02-15T03:44:00
65,Науру,2006-02-15T03:44:00
69,Нигерия,2006-02-15T03:44:00
73,Парагвай,2006-02-15T03:44:00
74,Перу,2006-02-15T03:44:00
75,Филиппины,2006-02-15T03:44:00
78,Румыния,2006-02-15T03:44:00
86,Южная Корея,2006-02-15T03:44:00
89,Судан,2006-02-15T03:44:00
93,Танзания,2006-02-15T03:44:00
98,Туркменистан,2006-02-15T03:44:00
100,Украина,2006-02-15T03:44:00
101,Объединенные Арабские Эмираты,2006-02-15T03:44:00
103,Соединенные Штаты,2006-02-15T03:44:00
104,Венесуэла,2006-02-15T03:44:00
109,Замбия,2006-02-15T03:44:00
