film_id,title,description
1,АКАДЕМИЯ ДИНСАУР,"Эпическая драма феминистки и безумного учёного, который должен сражаться с учителем в канадских скалах"
6,АГЕНТ ТРУМАН,"Вспыльчивая панорама робота и мальчика, который должен сбежать из сумо-рестлера в Древнем Китае"
34,АРАБИЯ ДОМА,"Прикосновение к безумцу и безумной корове, которая должна поразить студента в Нигерии"
37,АРИЗОНА БАНГ,"Блестящая панорама безумного учёного и безумного коровы, которая должна встретить пионера в монастыре"
54,БАНГЕР ПИНОКЧИО,"Тревожная драма машины и пастор-повара, который должен отследить крокодил на первой пилотируемой космической станции"
56,ЧЕЛОВЕЧЕСКИЙ БАРЕФОТ,"Беспокойная история о кошке и студентке, которая должна исцелить девушку в заброшенном парке развлечений"
89,БОРРОУРЫ ЗАПЛАНИРОВАННЫЕ,"Блестящее зрелище учителя и сумо-рестлера, который должен поразить человека в заброшенном доме веселья"
91,ГРУЗОВЫЙ КОЛИЧЕСТВО,"Ужасная панорама администратора базы данных и астронавта, который должен бросить вызов лумберджеку в Балуне"
95,ГОЛДИНГЕР БРЕАКФАСТ,"Прекрасная мысль о студенте и студенте, который должен сражаться с мусой в Берлине"
102,ГРОСКИЙ СТРУКТУР,"Внушающая благоговение панорама крокодила и мухи, которые должны сразиться с девушкой в балуне"
126,СПЕЦИАЛИСТЫ ENCINO,"Знающий ярн акулы и пастор, который должен встретить мальчика в монастыре"
134,ЧАМПИОННЫЕ ФУНКЦИИ,"Удивительная история безумной коровы и собаки, которая должна убить мужа в монастыре."
147,ЧОКОЛАТНЫЙ ХАРРИ,"Упакованная в действие Эпизод Дантиста и мухи, которые должны встретить безумную корову в Древней Японии"
148,ЧОКОЛАТНЫЙ ДУК,"Неверная история безумного учёного и технического писателя, который должен открыть композитора в древнем Китае"
166,ПОЛОР ФИЛАДЕЛЬФИЯ,"Разумная панорама автомобиля и крокодила, который должен выпить обезьяну в пустыне Сахара"
170,Комманд ДАРЛИНГ,"Внушающая благоговение история о судебно-психиатре и женщине, которая должна бросить вызов администратору базы данных в Древней Японии"
218,ОДИН БЫВШИЙ,"Рассказ о музе и белке, которая должна построить мужа в древней Индии"
223,ЖЕНЩИНЫ,"Быстрая история о собаке и судебно-психиатре, который должен встретиться с астронавтом на первой пилотируемой космической станции"
227,УПАКОВКА ЗАДЕРЖАННЫХ,"Эпическая сага официантки и композитора, который должен встретиться с лодкой в U-Boat"
233,Мать-разведчик,"Прикосновение к безумному учёному и лодке, который должен встретиться с музой в акульем танке"
250,ДРАГОНСКИЙ КВАД,"Великолепное воспоминание о мальчике и официантке, которая должна перестрелять учителя в Древнем Китае"
259,ДЮК РАСЕР,"Учительская ярна и белка, которые должны одолеть собаку в акульем танке"
276,ЭЛЕМЕНТЫ,"Потрясающее воспоминание о официантке и белке, которая должна убить безумную корову в джетовом лодке"
297,ВНЕДОПОЛНИТЕЛЬНЫЙ КОНТЕЙЕР,"Потрясающая история о собаке и феминистке, которая должна встретиться с судебно-психиатром в Берлине"
308,Мать ФЕРРИС,"Прикосновение фрисби и фрисби, которые должны убить девушку в Мексиканском заливе"
315,ИТОГИ АНАКОНДА,"Ужасная история об администраторе базы данных и девушке, которая должна сразиться с белочкой в Новом Орлеане"
348,ГАНДИ КВЕЙ,"Разумное представление о безумном учёном и секретном агенте, который должен отследить лодку в Берлине"
349,ГАНГЫ ПРИЗЫВАЕТСЯ,"Изучение персонажей женщины и акулы, которая должна встретить фрисби в Берлине"
350,ГАРДЕН ОСТРОВ,"Неверный характер исследования о женщине и безумце, который должен дотянуться до человека в отставке"
351,ГАЗЛИЧНЫЙ КРУСАД,"Удивительное зрелище мальчика и астронавта, который должен спасти человека в Мексиканском заливе"
355,ГОСТУСТЫ ЭТО,"Разумный порыв собаки и феминистки, которые должны отследить композитора в Берлине"
361,СВЯЗАННЫЙ ДЖАВБРЕКЕР,"Удивительное представление композитора и судебно-психиатра, который должен открыть автомобиль в канадских скалах"
370,ГОРОДСКИЕ БИНПО,"Демонстрация сумо-рестлера и машины, которая должна превзойти официантку на фабрике в Балуне"
378,ДЕВЯТЫЙ НОРТ,"Поразительное исследование о секретном агенте и роботе, который должен построить акулу в Берлине"
383,ПОРЯДОК ПРОВЕДЕНИЯ ПРЕКРАЩЕНИЯ,"Неверное воспоминание о музе и акуле, который должен подавить лумберджека в заброшенном шахтном шафте"
387,ГОН БОННИ,"Скучное представление сумо-рестлера и мужа, который должен построить официантку в Мексиканском заливе"
398,ГАНОВЕР ГАЛАКСИ,"Ошеломляющее воспоминание о девушке и секретном агенте, который должен украсть мальчика на конвенции MySQL"
407,HAWK HILLL,"Драма безумного учёного и композитора, который должен перестрелять автомобиль в Австралии"
409,СЛЕДУЮЩИЕ ТОРМОЗЫ,"Внушающий благоговейный восторг документальный фильм акулы и дантиста, который должен выпустить пастора в канадских скалистых скачках"
419,ГОСУС ФРИДА,"Внушающая благоговение история о девушке и безумце, который должен перестрелять студента в акульем танке"
455,НЕИЗБИРАТЕЛЬНОЕ ПРЕДПРИЯТИЕ,"Ярн обезьяны и охотника, который должен отыскать учителя в Древнем Китае"
464,"СООБЩЕНИЯ, КАСАЮЩИЕСЯ ПРЕКРАЩЕНИЯ","Удивительное зрелище кошки и кошки, которая должна побеждать безумную корову в U-Boat"
486,JET NIGMODORS,"Удивительное представление о мухоловке и учителе, который должен выгнать женщину в U-Boat"
503,КРАМЕРСКИЙ ЧОКОЛАТ,"Удивительная ярна робота и пастора-повара, который должен вернуть сумасшедшего учёного в отставке"
507,АРМАДЖЕДОН,"Ужасное воспоминание о собаке и безумном учёном, который должен встретиться с безумным учёным в Новом Орлеане"
514,ЛЮБОВСКИЕ СОЛДАРЫ,"Прекрасный поступок секретного агента и пионера, который должен отыскать астронавта в Древнем Китае"
542,МУЗЫКА,"Фантастическая панорама охотника и дантиста, который должен встретиться с секретным агентом в пустыне Сахара"
543,Мэдиган Дорадо,"Удивительное изучение акулы и акулы, которая должна открыть крокодил в отставке"
547,МАГИЧЕСКИЕ МАЛРАТЫ,"Дотрагивающийся документальный пасторский шеф-повар и пастор-повар, который должен построить безумного стипендиата в Калифорнии"
552,ОСНОВНЫЕ НАЛОГООБЛОЖЕНИЯ,"Увлекательное исследование музея и студента, который должен сбежать с дворецкого на первой пилотируемой космической станции"
560,МАРС РОМАН,"Скучающая драма машины и собаки, которые должны свалить сумасшедшего в Советской Грузии"
563,ВСЕОБЪЕМЛЮЩАЯ,"Ужасное воспоминание о официантке и крокодиле, который должен бросить вызов судебно-психиатру в Калифорнии"
569,МЕНАГЕРИ РУШМОРЕ,"Неверная панорама композитора и дворецкого, который должен преодолеть администратора базы данных на первой пилотируемой космической станции"
571,МЕТАЛЛОВЫЙ АРМАГЕДОН,"Ужасное представление о люмберджеке и крокодиле, который должен встретить обезьяну на фабрике в Балуне"
574,МИРНОЕ ЗАЖИГАНИЕ,"Тяжелое воспоминание о муже и акуле, который должен вернуть пирожного в монастырь"
582,МИРНАЯ ВИДАТУРА,"Прикосновение к батлеру и мальчику, который должен найти безумного учёного в пустыне Сахара"
583,ЗВОЛЬАНДЕР МИССИИ,"Беспокойная история сумо-рестлера и учителя, который должен встретить акулу в заброшенном доме веселья"
586,МАКИНГБИР ГОЛЛИВЫЙ,"Разумная панорама человека и машины, которая должна выпить композитора в Берлине"
598,МОСКВИТО АРМАГЕДОН,"Разумное изучение официантки и феминистки, которая должна построить учителя в Древней Японии"
600,ДЕЙСТВИЯ ЗАДЕРЖАНЫ,"Тревожное воспоминание о собаке и студенте, который должен убить машину в заброшенном доме веселья"
611,МУЗЫКИ ЖДУТСЯ,"Прикасающийся ярн студента и мус, который должен сражаться с безумной коровой в Австралии"
