name,id,award,year,lgid,note
Джон Циглер,ziegljo01h,Патрик,1983,NHL,
Аль Арбор,arboual01,Патрик,1991,NHL,
Эдди Шор,shoreed01,Патрик,1969,NHL,
Боб Пулфорд,pulfobo01,Патрик,2010,NHL,
Линн Патрик,patrily01,Патрик,1988,NHL,потерянный
Франк Буше,bouchfr01,Патрик,1992,NHL,
Саймон Х. Кноу III,,Патрик,1996,NHL,потерянный
1998 года женская олимпийская сборная США по хоккею,,Патрик,1998,NHL,
Вильям Вирц,wirtzwi01h,Патрик,1977,NHL,
Уильям Дженнингс,jenniwi01h,Патрик,1970,NHL,
Джон Маясич,,Патрик,1997,NHL,
Брайан Лиэтч,leetcbr01,Патрик,2006,NHL,
Гарри Синден,sindeha01c,Патрик,1998,NHL,
Джон Б. Солленбергер,,Патрик,1970,NHL,потерянный
Билл Чадвик,chadwbi01h,Патрик,1974,NHL,
Роберт Ридер,,Патрик,1993,NHL,
Марсель Дион,dionnma01,Патрик,2005,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Род Гилберт,gilbero01,Патрик,1990,NHL,
Хоби Бейкер,bakerho01h,Патрик,1986,NHL,потерянный
Горди Хоу,howego01,Патрик,1966,NHL,
Брюс Макналл,,Патрик,1992,NHL,
Жери Йорк,,Патрик,2009,NHL,
Лу На́нне,nannelo01,Патрик,1988,NHL,
Фред Кусик,,Патрик,1987,NHL,
Брюс Норрис,norribr01h,Патрик,1975,NHL,
Нил Бротен,brotene01,Патрик,1997,NHL,
Джон МакИннес,,Патрик,1985,NHL,
Уолтер Буш,bushwa01h,Патрик,1972,NHL,
Стан Микита,mikitst01,Патрик,1975,NHL,
Майк Илич,ilitcmi01h,Патрик,1990,NHL,
Франк Матерс,mathefr01,Патрик,1986,NHL,
Боби Холл,hullbo01,Патрик,1968,NHL,
Джек Баттертон,butteja01h,Патрик,1984,NHL,
Билл Торре,torrebi01h,Патрик,1982,NHL,
"Джон А. ""Снукс"" Келли",,Патрик,1971,NHL,
Джеймс Д. Норрис,norrija03h,Патрик,1971,NHL,потерянный
Том Фицджеральд,,Патрик,1977,NHL,
Дональд Кларк,,Патрик,1974,NHL,
Кен Морроу,morroke01,Патрик,1995,NHL,
Фил Эспосито,esposph01,Патрик,1977,NHL,
Боби Орр,orrbo01,Патрик,1978,NHL,
Лу Вайро,,Патрик,1999,NHL,
Фред Шеро,sherofr01,Патрик,1979,NHL,
Томми Иван,ivanto01c,Патрик,1974,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Боб Джонсон,johnsbo02c,Патрик,1987,NHL,
Дэвид Поил,,Патрик,2000,NHL,
Томас Локхарт,lockhth01h,Патрик,1967,NHL,
1960 года олимпийская хоккейная команда США,,Патрик,2001,NHL,
Тед Линздейл,lindste01,Патрик,2007,NHL,
Крейг Патрик,patricr01,Патрик,1999,NHL,
Джефф Сёр,,Патрик,2010,NHL,
Буд Пойл,poilebu01,Патрик,1988,NHL,
Эрб Брукс,brookhe01c,Патрик,2001,NHL,
Эмиль Фрэнсис,francem01,Патрик,1981,NHL,
Боб Нейгель,,Патрик,2007,NHL,
Джордж Лидер,,Патрик,1975,NHL,
Артур Вирц,wirtzar01h,Патрик,1984,NHL,
Бобби Кларк,clarkbo01,Патрик,1979,NHL,
Гил Штайн,,Патрик,1992,NHL,
Джо Муллен,mullejo01,Патрик,1994,NHL,
Скотти Боумен,bowmasc01c,Патрик,2000,NHL,
Уолтер Браун,brownwa02h,Патрик,1967,NHL,потерянный
Ред Деттон,duttore01,Патрик,1992,NHL,
Гэри Беттман,,Патрик,2000,NHL,
Джеймс Норрис,norrija02h,Патрик,1966,NHL,потерянный
Алекс Делевьеро,delveal01,Патрик,1973,NHL,
Майк Ричард,richtmi01,Патрик,2008,NHL,
Аркт Росс,rossar01,Патрик,1983,NHL,потерянный
Эд Снайдер,snideed01h,Патрик,1979,NHL,
Мюррей Армстронг,armstmu01,Патрик,1976,NHL,
Рай Мирон,,Патрик,2003,NHL,
Лу Ламореллио,lamorlo01c,Патрик,1991,NHL,
Джим Хендри,hendyji01h,Патрик,1969,NHL,потерянный
Макс Макнаб,mcnabma01,Патрик,1997,NHL,
Уильям Татт,tuttwi01h,Патрик,1977,NHL,
Джек Райли,rileyja01,Патрик,1985,NHL,
Филип Хаусли,houslph01,Патрик,2007,NHL,
Джон Дэвисон,davidjo01,Патрик,2003,NHL,
Брайан Муллен,mullebr01,Патрик,1994,NHL,
Чарльз Адамс,adamsch01h,Патрик,1966,NHL,потерянный
Уилли О'Ри,oreewi01,Патрик,2002,NHL,
Кэм Нили,neelyca01,Патрик,2009,NHL,
Арт Берглунд,,Патрик,1991,NHL,
Уэстон Адамс,adamswe01h,Патрик,1973,NHL,потерянный
Джон Марьючич,mariujo01,Патрик,1976,NHL,
Питер Карманос,,Патрик,1997,NHL,
Джим Девалоно,,Патрик,2008,NHL,
Клэрнс Кэмпбелл,campbcl01h,Патрик,1971,NHL,
Тери Сачук,sawchte01,Патрик,1970,NHL,потерянный
Лен Цегацкий,,Патрик,1989,NHL,
Джордж Гэнд,,Патрик,1995,NHL,
Джон Килпатрик,kilpajo01h,Патрик,1967,NHL,потерянный
Чарльз Л. Кроват,,Патрик,1973,NHL,потерянный
Марк Джонсон,johnsma02,Патрик,2010,NHL,
Кейт Аллен,allenke01,Патрик,1987,NHL,
Мильт Шмидт,schmimi01,Патрик,1995,NHL,
Рид Ларсон,larsore01,Патрик,2005,NHL,
Стан Фишлер,,Патрик,2006,NHL,
Кунни Вийланд,weilaco01,Патрик,1971,NHL,
Марк Мессье,messima01,Патрик,2008,NHL,
Пат Лафонтен,lafonpa01,Патрик,1996,NHL,
Майк Эмерик,,Патрик,2003,NHL,
Билл Кливли,,Патрик,1996,NHL,
Рон ДеГрегорио,,Патрик,2002,NHL,
Стив Йермен,yzermst01,Патрик,2005,NHL,
Джек Паркер,,Патрик,2009,NHL,
Ред Беренсон,berenre01,Патрик,2005,NHL,
Глен Сономор,sonmogl01,Патрик,2005,NHL,
Лэрри Плуа,pleaula01,Патрик,2001,NHL,
Ками Гранато,,Патрик,2006,NHL,
Мюррей Мёрдок,murdomu01,Патрик,1973,NHL,
Брайан Бёрк,,Патрик,2007,NHL,
Марио Лемьо,lemiema01,Патрик,1999,NHL,
Боб Флеминг,,Патрик,1994,NHL,
Дэйв Эндрюс,,Патрик,2009,NHL,
Уэйн Гретцки,gretzwa01,Патрик,1993,NHL,
Джон Холлиган,,Патрик,2006,NHL,
Тони Росси,,Патрик,2010,NHL,
Реймонд Борк,bourqra01,Патрик,2002,NHL,
Джон Букик,bucykjo01,Патрик,1976,NHL,
Эд Джеремия,jeremed01,Патрик,1968,NHL,потерянный
Чарльз М. Шуз,,Патрик,1980,NHL,
