playerid,year,stint,tmid,w,l,sa,ga
neuvimi01,2010,1,WAS,3,3,21,6
luongro01,2006,1,VAN,5,3,31,10
khabini01,2008,1,CHI,2,5,19,9
legacma01,2009,1,CAR,2,2,16,4
poggeju01,2008,1,TOR,0,1,2,2
denisma01,2005,1,CBS,3,1,18,4
brodema01,2009,1,NJD,6,4,31,9
ramoka01,2008,1,TBL,1,3,13,5
brodema01,2008,1,NJD,2,1,10,3
khabini01,2010,1,EDM,1,3,18,4
nabokev01,2009,1,SJS,6,6,50,13
emeryra01,2009,1,PHI,2,1,9,2
budajpe01,2005,1,COL,0,5,14,9
brodema01,2010,1,NJD,1,1,9,2
labarja01,2011,1,PHO,0,2,11,7
auldal01,2007,2,BOS,2,3,15,5
masonch02,2011,1,WPG,1,1,8,3
josepcu01,2006,1,PHO,2,1,13,2
burkese01,2006,1,LAK,2,2,22,11
labarja01,2010,1,PHO,1,1,5,2
macdojo01,2006,2,BOS,0,1,3,2
luongro01,2009,1,VAN,2,3,14,5
pavelon01,2010,1,ATL,3,5,24,9
smithmi02,2008,1,TBL,2,7,27,15
gerbema01,2007,1,OTT,2,2,16,5
lehtoka01,2009,1,DAL,1,0,4,0
sanfocu01,2006,1,STL,0,2,6,5
clemmsc01,2006,1,NJD,0,2,6,3
wardca01,2005,1,CAR,1,0,3,0
brodema01,2011,1,NJD,7,2,26,7
masonst01,2011,1,CBS,2,2,10,4
sanfocu01,2007,1,VAN,0,1,4,2
bryzgil01,2006,1,AND,0,4,13,6
johnsbr02,2011,1,PIT,0,1,3,2
montoal01,2011,1,NYI,2,2,13,5
drouije01,2009,1,EDM,4,3,37,11
halakja01,2007,1,MTL,0,1,3,1
raycran01,2009,1,VAN,2,1,12,6
dunhami01,2006,1,NYI,1,1,8,3
kiprumi01,2006,1,CAL,3,4,16,7
andercr01,2011,1,OTT,6,1,25,7
legacma01,2008,1,STL,3,1,13,4
niemian02,2010,1,SJS,3,5,28,8
bernijo01,2009,1,LAK,1,0,6,0
dubnyde01,2009,1,EDM,2,1,11,3
valiqst01,2008,1,NYR,1,2,12,3
raycran01,2005,1,BOS,0,1,2,1
niittan01,2006,1,PHI,1,4,23,6
bironma01,2010,1,NYR,2,0,7,2
gigueje01,2009,2,TOR,1,2,8,4
danisya01,2008,1,NYI,0,2,5,3
dubiewa01,2005,1,NYI,1,0,3,0
lundqhe01,2009,1,NYR,3,3,22,7
bryzgil01,2010,1,PHO,4,5,32,11
hardijo01,2005,1,MIN,1,0,3,1
masonst01,2010,1,CBS,4,5,31,10
elliobr01,2010,2,COL,2,1,10,1
bouchbr01,2010,1,PHI,2,3,20,8
thomati01,2009,1,BOS,5,5,33,9
gustajo01,2011,1,TOR,1,3,11,4
johnsbr02,2009,1,PIT,2,0,6,0
nabokev01,2007,1,SJS,6,6,40,18
belfoed01,2005,1,TOR,2,4,14,6
andercr01,2010,1,COL,1,0,3,0
schneco01,2008,1,VAN,0,1,3,3
nabokev01,2006,1,SJS,2,1,10,4
sanfocu01,2011,1,CBS,2,3,15,5
peterju01,2011,1,CAR,0,2,6,3
millery01,2005,1,BUF,3,2,17,5
quickjo01,2011,1,LAK,6,8,47,16
denisma01,2007,1,TBL,1,0,3,0
ersbeer01,2008,1,LAK,1,4,20,8
garnemi01,2005,1,ATL,0,2,8,4
auldal01,2010,1,MTL,0,1,4,1
garonma01,2009,1,CBS,2,3,18,8
burkese01,2005,1,TBL,2,3,11,5
holmqjo01,2006,1,TBL,6,1,33,4
cassifr01,2006,1,WAS,0,1,3,2
bouchbr01,2006,1,CHI,0,2,4,4
holtbbr01,2011,1,WAS,0,1,4,2
howarji01,2011,1,DET,7,2,27,5
osgooch01,2005,1,DET,2,1,8,2
auldal01,2010,1,MTL,0,1,4,1
bryzgil01,2006,1,AND,0,4,13,6
emeryra01,2009,1,PHI,2,1,9,2
andercr01,2010,1,COL,1,0,3,0
macdojo01,2011,1,DET,1,1,9,3
clemmsc01,2011,1,FLO,2,3,20,7
masonch02,2008,1,STL,3,4,18,7
smithmi02,2010,1,TBL,1,0,4,0
rolosdw01,2005,1,MIN,0,1,8,2
khabini01,2007,1,CHI,2,4,19,7
lehtoka01,2009,1,DAL,1,0,4,0
garonma01,2008,1,EDM,1,0,3,1
gigueje01,2011,1,COL,1,2,7,5
hedbejo01,2011,1,NJD,5,2,20,7
backsni01,2009,1,MIN,2,7,38,14
weekeke01,2006,1,NYR,0,1,3,1
johnsbr02,2009,1,PIT,2,0,6,0
emeryra01,2006,1,OTT,1,4,19,8
garonma01,2011,1,TBL,1,1,6,1
gerbema01,2006,1,OTT,1,2,10,3
dunhami01,2006,1,NYI,1,1,8,3
dubiewa01,2009,1,MIN,1,0,2,0
bouchbr01,2010,1,PHI,2,3,20,8
garonma01,2008,1,EDM,1,0,3,1
bishobe01,2010,1,STL,1,0,4,2
lundqhe01,2010,1,NYR,7,3,46,7
holtbbr01,2010,1,WAS,1,1,7,3
cloutda01,2005,1,VAN,0,1,2,2
priceca01,2010,1,MTL,3,2,24,6
fleurma01,2006,1,PIT,9,5,39,9
hedbejo01,2011,1,NJD,5,2,20,7
nabokev01,2005,1,SJS,0,4,13,8
johnsbr02,2006,1,WAS,0,5,20,7
budajpe01,2005,1,COL,0,5,14,9
hedbejo01,2008,1,ATL,3,0,13,1
bernijo01,2010,1,LAK,0,2,5,3
nabokev01,2009,1,SJS,6,6,50,13
enrotjh01,2010,1,BUF,3,0,19,5
dipieri01,2006,1,NYI,5,4,44,9
caronse01,2005,1,PIT,0,3,10,6
bryzgil01,2009,1,PHO,8,5,62,17
aubinje01,2007,1,LAK,1,1,4,2
budajpe01,2010,1,COL,3,0,14,1
labarja01,2010,1,PHO,1,1,5,2
weekeke01,2008,1,NJD,2,0,6,2
fernama01,2005,1,MIN,4,2,19,4
gigueje01,2011,1,COL,1,2,7,5
vokouto01,2005,1,NAS,4,3,20,8
gigueje01,2007,1,AND,6,5,30,10
budajpe01,2007,1,COL,1,2,9,4
mclenja01,2006,1,CAL,0,1,11,4
rolosdw01,2010,2,TBL,3,3,24,6
backsni01,2006,1,MIN,3,5,32,15
scrivbe01,2011,1,TOR,1,1,5,2
norrefr01,2006,1,CBS,3,3,22,8
holmqjo01,2007,1,TBL,1,0,4,1
legacma01,2006,1,STL,5,3,25,7
clemmsc01,2006,1,NJD,0,2,6,3
hardijo01,2006,1,MIN,0,1,3,1
bishobe01,2011,1,OTT,0,2,6,3
thomati01,2011,1,BOS,7,1,26,6
millery01,2008,1,BUF,8,2,40,9
clemmsc01,2005,1,NJD,1,1,7,3
lehtoka01,2006,1,ATL,7,4,30,10
priceca01,2009,1,MTL,2,3,17,5
raycran01,2006,1,TOR,3,6,32,13
brodema01,2011,1,NJD,7,2,26,7
dubiewa01,2007,1,NYI,2,1,13,4
leighmi01,2009,2,PHI,1,0,2,0
rasktu01,2011,1,BOS,2,2,14,6
kiprumi01,2007,1,CAL,3,3,17,6
norrefr01,2006,1,CBS,3,3,22,8
thibajo01,2007,1,BUF,0,2,10,3
scrivbe01,2011,1,TOR,1,1,5,2
aubinje01,2006,1,TOR,1,1,11,3
wardca01,2011,1,CAR,1,4,14,6
khabini01,2011,1,EDM,0,5,20,12
leclapa01,2005,1,CBS,4,2,18,4
gigueje01,2011,1,COL,1,2,7,5
montoal01,2010,1,NYI,0,2,9,3
bironma01,2009,1,NYI,2,1,8,3
josepcu01,2006,1,PHO,2,1,13,2
andercr01,2011,1,OTT,6,1,25,7
turcoma01,2009,1,DAL,4,8,53,15
halakja01,2011,1,STL,3,7,32,9
khabini01,2006,1,CHI,4,4,33,11
smithmi02,2009,1,TBL,1,3,14,5
