playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
shoreha01,1914,OT1,NHA,"Добро пожаловать в «Кибербор» — уникальный киберпанк-мир, где технологии и магия сочетаются, создавая атмосферу приключений и таинства. В этом мире люди живут бок о бок с могущественными существами, известными как «киберборы», которые обладают невероятными способностями и часто становятся проводниками между человеческим и машинным миром.

В «Киберборе» правит Император, который поддерживает баланс между технологиями и магией. Он окружает себя верными последователями, которые помогают поддерживать порядок в этом сложном мире. Однако не все довольны императором и его правилами. Группа повстанцев, называющих себя «Систерством», борется за свободу и равноправие для всех существ в «Киберборе», независимо от их происхождения или способностей.

Главный герой истории, молодой человек по имени Люк, неожиданно оказывается втянут в конфликт между императором и повстанцами. Он узнает, что обладает уникальной способностью общаться с киберборами и использовать их силу на благо своих целей. Вместе со своими новыми союзниками, включая таинственную и могущественную кибербору по имени Ария, Люк должен противостоять опасностям и интригам «Кибербора», чтобы в конечном итоге определить будущее этого удивительного мира.

«Кибербор» — это захватывающая смесь фэнтези и научной фантастики, где магия и технологии переплетаются неожиданными способами. Это история о силе дружбы, мужестве и борьбе за свободу в мире, полном опасностей и чудес.",3,0,0,0,3
meekiha01,1925,VIC,WCHL,"Hello! I would be happy to help you translate from English to Russian. Please provide the text that you would like translated, and I will do my best to provide an accurate and natural-sounding translation.",4,0,0,0,6
anderjo03,1924,VIC,WCHL,"Hello! I would be happy to help you translate from English to Russian. Please provide the text that you would like translated, and I will do my best to provide an accurate and natural-sounding translation.",4,1,0,1,10
mackeja01,1920,OTS,NHL,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",4,0,0,0,0
oatmaed01,1921,VML,PCHA,Р,5,1,1,2,14
cookll01,1920,VML,PCHA,"Добро пожаловать в «Кибербор» — уникальный киберпанк-мир, где технологии и магия сочетаются, создавая атмосферу приключений и таинства. В этом мире люди живут бок о бок с могущественными существами, известными как «киберборы», которые обладают невероятными способностями и часто становятся проводниками между человеческим и машинным миром.

В «Киберборе» правит Император, который поддерживает баланс между технологиями и магией. Он окружает себя верными последователями, которые помогают поддерживать порядок в этом сложном мире. Однако не все довольны императором и его правилами. Группа повстанцев, называющих себя «Систерством», борется за свободу и равноправие для всех существ в «Киберборе», независимо от их происхождения или способностей.

Главный герой истории, молодой человек по имени Люк, неожиданно оказывается втянут в конфликт между императором и повстанцами. Он узнает, что обладает уникальной способностью общаться с киберборами и использовать их силу на благо своих целей. Вместе со своими новыми союзниками, включая таинственную и могущественную кибербору по имени Ария, Люк должен противостоять опасностям и интригам «Кибербора», чтобы в конечном итоге определить будущее этого удивительного мира.

«Кибербор» — это захватывающая смесь фэнтези и научной фантастики, где магия и технологии переплетаются неожиданными способами. Это история о силе дружбы, мужестве и борьбе за свободу в мире, полном опасностей и чудес.",5,2,0,2,20
poulisk01,1912,VA1,PCHA,"Hello! I would be happy to help you translate from English to Russian. Please provide the text that you would like translated, and I will do my best to provide an accurate and natural-sounding translation.",3,2,0,2,5
lindsbe01,1912,VA1,PCHA,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время дня и ночи. Я могу ответить на ваши вопросы, помочь с переводом текста или просто пообщаться. Как я могу вам помочь сегодня?",3,0,0,0,0
holmeha01,1917,TOA,NHL,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время дня и ночи. Я могу ответить на ваши вопросы, помочь с переводом текста или просто пообщаться. Как я могу вам помочь сегодня?",5,0,0,0,0
mackami01,1922,VAM,PCHA,"Hello! I would be happy to help you translate from English to Russian. Please provide the text that you would like translated, and I will do my best to provide an accurate and natural-sounding translation.",4,1,0,1,4
dyeba01,1921,TRS,NHL,Р,5,9,1,10,3
mcdonja01,1918,MTL,NHL,С,5,1,1,2,3
