type,code,fullname
Плей-офф,Н/Д,НД - Финалы Кубка Стэнли приостановлены (в связи с эпидемией гриппа)
Разделение,АД,Отделение Адама
Кругло,SFК,Финалы Кубка Стэнли
Разделение,ПТ,Патрик Дивизион
Кругло,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",Конец года
Плей-офф,СЦ,Вон Стэнли Куп
Плей-офф,DFD,Падение НХЛ: полуфиналы
Кругло,ЧСС,Полуфиналы конференции
Кругло,CF,Финал Кубка
Конференция,ВВ,Западная конференция
Плей-офф,ВФ,Потеряные финалы WCHL
Разделение,Компьютер,Тихоокеанский дивизион
Плей-офф,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",Пустые стаканы Кубка Стэнли
Плей-офф,CF,Потерянные финалы конференции НХЛ
Кругло,DFD,Полуфинал
Плей-офф,Авф,Финал Кубка АВСК
Плей-офф,WSF,Утраченные полуфиналы WCHL
Плей-офф,ПФ,Потеряные финалы PCHA
Плей-офф,Предложение:,Пропущенные матчи предварительного раунда НХЛ
Кругло,КФУ,Четвертьфиналы конференции
Плей-офф,КФУ,Удаленные четвертьфиналы Кубка Стэнли НХЛ
Кругло,WP,Западная плей-офф
Плей-офф,НХЛФ,Потерянные финалы НХЛ
Разделение,Калифорния,Канадское отделение
Разделение,ЕД,Восточный дивизион
Плей-офф,AVК,Вон АВКО Кубок
Плей-офф,ВВС,Пропущенные четвертьфинальные матчи Кубка AVCO
Кругло,КФ,Четвертьфиналы
Кругло,"Предупреждение: следующее содержит спойлеры к фильму «Престиж».

В фильме «Престиж» Кристофер П. Хаммертон описывает сцену, в которой два мага, Роберт Энджер и Альфред Бредли, соревнуются в трюке с исчезновением человека. Энджер использует метод, который включает в себя создание иллюзии, в то время как Бредли на самом деле исчезает с помощью сложного механизма. Эта сцена подчеркивает тему иллюзии против реальности в фильме, поскольку зрители должны различать, что является магией и что является более мрачной наукой.",Предварительный
Кругло,СЦБФ,Полуфиналы Кубка Стэнли
Плей-офф,СЦБФ,Падение Кубка Стэнли
Плей-офф,КФ,Пропущенные четвертьфиналы НХЛ
Разделение,"Да, это правильно. Я - профессиональный переводчик и всегда готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",Северо-Восточный дивизион
Разделение,СЕ,Юго-Восточный отдел
Разделение,НВ,Северо-Западный отдел
Разделение,ВД,Западный дивизион
Разделение,Нет,Норрис-дивизия
Разделение,ВВ,Западный дивизион
Кругло,"Тут не нужно ничего переводить, так как запрос содержит только код или символы, которые не требуют перевода.",Финал дивизиона
Плей-офф,SF,Потерянные полуфиналы НХЛ
Плей-офф,ЛКС,Вы выиграли Кубок Стэнли / проиграли Серию вызовов
Разделение,СМ,Смит-дивизия
Разделение,АТ,Атлантический дивизион
Конференция,Ва,Конференция Уэльса
Плей-офф,AVPR,Утраченная чашка AVCO в предварительном раунде
Плей-офф,"Тут не нужно ничего переводить, так как запрос содержит только код или символы, которые не требуют перевода.",Пропущенные финалы дивизионов НХЛ
Конференция,Эк,Восточная конференция
Разделение,EW,ДВЕД
Конференция,КК,Конференция Кэмпбелла
Плей-офф,Авсф,Половинфинал Кубка АВКО
Кругло,АЧФ,Финал Кубка Авко
Разделение,АМ,Американский дивизион
Плей-офф,НХФ,Потери НГА на финальных испытаниях
Разделение,КВ,ДВCanada
Плей-офф,WSЧ,Вызов серии Won
Разделение,ЦЕ,Центральный дивизион
Плей-офф,ЧСС,Пропущенные полуфинальные матчи НХЛ
Кругло,SF,Полуфиналы
